Mark Haddon, The Curious Incident of the Dog in the Night-Time|... why I like timetables, because they make sure I don't get lost in time.
Mark Helprin, Winter's Tale|[When] he's here, he's always reading. He says books stop time. I myself think he's crazy...Don't tell anyone, but when he reads something that he likes he gets real happy, turns on the music, and dances by himself, or with a broom sometimes.
George S. Clason, The Richest Man in Babylon|As for time, all men have it in abundance.
Eugene B. Sledge, With the Old Breed: At Peleliu and Okinawa|To the non-combatants and those on the periphery of action, the war meant only boredom or occasional excitement, but to those who entered the meat grinder itself the war was a netherworld of horror from which escape seemed less and less likely as casualties mounted and the fighting dragged on and on. Time had no meaning, life had no meaning. The fierce struggle for survival in the abyss of Peleliu had eroded the veneer of civilization and made savages of us all.
W. Oscar Thompson, Concentric Circles of Concern: From Self to Others Through Life-Style Evangelism|Most of our lives are crucified between two thieves, yesterday and tomorrow. We never live today. But the time to live is now. It is today.
Walter Benjamin|Memory is not an instrument for exploring the past but its theatre. It is the medium of past experience, as the ground is the medium in which dead cities lie interred.
Robert Hughes, The Shock of the New|For the machine meant the conquest of horizontal space. It also meant a sense of that space which few people had experienced before – the succession and superimposition of views, the unfolding of landscape in flickering surfaces as one was carried swiftly past it, and an exaggerated feeling of relative motion (the poplars nearby seeming to move faster than the church spire across the field) due to parallax. The view from the train was not the view from the horse. It compressed more motifs into the same time. Conversely, it left less time in which to dwell on any one thing.
W.G. Sebald, Austerlitz|Had I realized at the time that for Austerlitz certain moments had no beginning or end, while on the other hand his whole life had sometimes seemed to him a blank point without duration, I would probably have waited more patiently.
Yevgeny Zamyatin, The Dragon: Fifteen Stories|But clouds bellied out in the sultry heat, the sky cracked open with a crimson gash, spewed flame-and the ancient forest began to smoke. By morning there was a mass of booming, fiery tongues, a hissing, crashing, howling all around, half the sky black with smoke, and the bloodied sun just barely visible.	And what can little men do with their spades, ditches, and pails? The forest is no more, it was devoured by fire: stumps and ash. Perhaps illimitable fields will be plowed here one day, perhaps some new, unheard-of wheat will ripen here and men from Arkansas with shaven faces will weigh in their palms the heavy golden grain. Or perhaps a city will grow up-alive with ringing sound and motion, all stone and crystal and iron-and winged men will come here flying over seas and mountains from all ends of the world. But never again the forest, never again the blue winter silence and the golden silence of summer. And only the tellers of tales will speak in many-colored patterned words about what had been, about wolves and bears and stately green-coated century-old grandfathers, about old Russia; they will speak about all this to us who have seen it with our own eyes ten years - a hundred years! - ago, and to those others, the winged ones, who will come in a hundred years to listen and to marvel at it all as at a fairy tale. ("In Old Russia")
Peter O'Donnell|On the whole I try to keep Modesty and Willie in timeless settings, which is why I avoid all the latest slang and in-words. It won't be long before 'brill' sounds as dated as 'super' does now. [Uncle Happy, 1990]
Victor Lodato, Mathilda Savitch|Time is funny lately, nothing to do with clocks.
Patricia Hampl|Time, we like to say, cures all. But maybe the old saying doesn’t mean time heals. Time cures a secret in its brine, keeping it and finally, paradoxically, destroying it. Nothing is left in that salt solution but the pain or rage, the biting shame that lodged it there. Even they are diluted or denied.
George Sterling, The Thirst of Satan: Poems of Fantasy and Terror|The pathway traced with blood and tears,and dust of all our father's dead,Whose backward footsteps, wandering, red,Fade to the mist of nameless years.(“The Testimony of the Suns”)
Joseph O'Neill, Netherland|No, it was simply that I was uninterested in making, as I saw it, a Xerox of some old emotional state. I was in my mid-thirties, with a marriage more or less behind me. I was no longer vulnerable to curiosity's enormous momentum. I had nothing new to murmur to another on the subject of myself and not the smallest eagerness about being briefed on Danielle's supposedly unique trajectory—a curve described under the action, one could safely guess, of the usual material and maternal and soulful longings, a few thwarting tics of character, and luck good and bad. A life seemed like an old story.
William Shakespeare|Tomorrow, and tomorrow, and tomorrow,Creeps in this petty face from day to day.
George Sterling, The Thirst of Satan: Poems of Fantasy and Terror|A little while, their hunger unfulfilled,The mothlike worlds flit 'round the guttering sun.("Ephemera")
Cecilia Dart-Thornton, Weatherwitch|Time was spinning numerous threads for its tapestry, some to be woven together, some to entangle or fray, others merely to perish and pass away.
Michel de Certeau, The Practice of Everyday Life|Finally, the functionalist organization, by privileging progress (i.e. time), causes the condition of its own possibility--space itself--to be forgotten: space thus becomes the blind spot in a scientific and political technology. This is the way in which the Concept-city functions: a place of transformations and appropriations, the object of various kinds of interference but also a subject that is constantly enriched by new attributes, it is simultaneously the machinery and the hero of modernity.
Daniel Nayeri|You see, Valentin, there is no such thing as time. It's just a road, a path to travel on. Most of the world is on a train, traveling forward all the time, speeding toward death, with a set schedule and someone else in charge.
Jack Schmitt|Time is, in fact, a cross to bear, it passes on inexorably and remorselessly, destroying everything in its wake, save art and works of the intellect.
Gloria Naylor, The Women of Brewster Place|Time's passage through the memory is like molten glass that can be opaque or crystallize at any given moment at will: a thousand days are melted into one conversation, one glance, one hurt, and one hurt can be shattered and sprinkled over a thousand days.
Sanhita Baruah|It's been 12 years now, and I think he still can read my smiles. The way my lips stretch, making my eyes look smaller than they already are. The way my cheeks turn a little red, forming new wrinkles near my eyes. The way the dimple on my face makes a visit whenever I smile meeting someone I haven't seen in ages. It's been 12 years now, and I haven't smiled at him even once.
Mário de Sá-Carneiro|His body and his soul appeared to have the strange ability to repel the hours, just as, inversely, a magnet attracts metal. Everything spun about him and fled; he was always the sole centre of an enormous circumference. He kept moving forwards, body and soul, in the hope of coming close to what fled at his approach. The same thing happened with time – his position remained constant in relation to the thing which, however hard he tried to clasp it to him, stole away from him and bounded into the distance. He was the one who had no incriminating papers in his drawers, who could show his diary to anyone. He was a creator. Perhaps that was why his life did not exist
David Grossman, Falling Out of Time|The passing time is painful. I have lost the art of moving simply, naturally, within it. I am swept back against its flow. Angry, vindictive, it pierces me all the time, all the time with its spikes.
Ralph Linton|[The] tremendous and still accelerating development of science and technology has not been accompanied by an equal development in social, economic, and political patterns...We are now...only beginning to explore the potentialities which it offers for developments in our culture outside technology, particularly in the social, political and economic fields. It is safe to predict that...such social inventions as modern-type Capitalism, Fascism, and Communism will be regarded as primitive experiments directed toward the adjustment of modern society to modern methods
Joseph Conrad, Heart of Darkness|I don't think a single one of them had any clear idea of time, as we at the end of countless ages have. They still belonged to the beginnings of time—
Vladimir Odoyevsky|It’s quite certain there are places to which the whole past is as though attached, on which are traced in secret letters for people who are centuries removed from us their thoughts, their will…
Aishabella Sheikh, Converting The Bad Boy|This is going to take forever.""I wouldn't mind spending forever with you," Zaid winked.
Dennis Sharpe, Saturday Night To Infinity|In the end, Nora, there’s only time. All we have is time…and even if this wasn’t happening, we still don’t ever have much…no one does. We only have the moment we’re in. We have right now.
Eudora Welty, The Collected Stories|Surely even those immune from the world, for the time being, need the touch of one another, or all is lost.
Lailah Gifty Akita|There would be a time, when you will ask for nothing but life.
Marcel Proust, The Captive & The Fugitive|The creation of the world did not occur at the beginning of time, it occurs every day.
Brian Selznick, The Invention of Hugo Cabret|Time can play all sorts of tricks on you. In the blink of an eye, babies appear in carriages, coffins disappear into the ground, wars are won and lost, and children transform, like butterflies, into adults. That's what happened to me. Once upon a time, I was a boy named Hugo Cabret, and I desperately believed that a broken automaton would save my life. Now that my cocoon has fallen away and I have emerged as a magician named Professor Alcofrisbas, I can look back and see that I was right. The automaton my father discovered did save me. But now I have built a new automaton. I spent countless hours designing it. I made every gear myself, carefully cut every brass disk, and fashioned every bt of machinery with my own hands. When you wind it up, it can do something I'm sure no other automaton in the world can do. It can tel you the incredible story of Georges Melies, his wife, their goddaughter, and a beloved clock maker whose son grew up to be a magician. The complicated machinery inside my automaton can produce one-hundred and fifty-eight different pictures, and it can wrote, letter, by letter, an entire book, twenty-six thousand one hundred and fifty-nine words. These words.  THE END
John Green, Paper Towns|I spent the next three hours in classrooms, trying not to look at the clocks over various blackboards, and then looking at the clocks, and then being amazed that only a few minutes had passed since I last looked at the clocks, but their sluggishness never ceased to surprise. If I am ever told that I have one day to live, I will head straight for the hallowed halls of Winter Park High School, where a day has been known to last a thousand years.
Francine Prose, Goldengrove|And there was that trick he did with time, making it speed up when we were together and drag til I saw him again.
Nathaniel Hawthorne|Time flies over us, but leaves its shadow behind.
William Faulkner, Light in August|Time, the spaces of light and dark, had long since lost orderliness.
Bianca Frazier|We spend too much time keeping up with celebrities. They're living their dreams, what about you? Are you where you want to be in life. Get off the couch, turn off the tv and start achieving your goals.
Hermann Hesse|Was then not all sorrow in time, all self-torment and fear in time? Were not all difficulties and evil in the world conquered as soon as one conquered time, as soon as one dispelled time?
E.M. Forster, Aspects of the Novel|we may say that History develops, Art stands still
Farkas Bolyai|Please give it up. Fear it no less than the sensual passion, because it, too, may take up all your time and deprive you of your health, peace of mind and happiness in life.[Having himself spent a lifetime unsuccessfully trying to prove Euclid's postulate that parallel lines do not meet, Farkas discouraged his son János from any further attempt.]
Arnold Bennett, How to Live on 24 Hours a Day|Money is far commoner than time. When one reflects, one perceives that money is just about the commonest thing there is.
Rémy de Gourmont, Philosophic Nights in Paris,: Being Selections from Promenades Philosophiques|And there is neither beginning nor end, nor past nor future; there is only a present, at the same time static and ephemeral, multiple and absolute. It is the vital ocean in which we all share, according to our strength, our needs or our desires.
Roger Zelazny, Power & Light|Then you must reconcile yourself to the fact that something is always hurt by any change. If you do this, you will not be hurt yourself.
Dejan Stojanovic|There is only as much space, only as much time, Only as much desire, only as many words, Only as many pages, only as much ink To accept all of us at light-speed Hurrying into the Promised Land Of oblivion that is waiting for us sooner or later.
Markus Zusak, Fighting Ruben Wolfe|Time will tell, I suppose, or at least, these pages will.
Tahir Shah, In Search of King Solomon's Mines|Contemplation is a luxury, requiring time and alternatives.
Ramona Ausubel, No One is Here Except All of Us|Time was a dazzling lie, a magician worth a bird in his hat. The truth, I felt certain, was that everything happened at once. How old was I? I was every age at the same time. All the days of our lives were today.
Ian McEwan, Solar|He was thinking of that time, the way one does on long journeys when rootlessness and boredom, lack of sleep or routine can summon from out of nowhere random stretches of the past, make them as real as a haunting. --Solar
W.H. Davies|No time to see, in broad daylight,Streams full of stars, like skies at night.No time to turn at Beauty's glance,And watch her feet, how they can dance.No time to wait till her mouth canEnrich that smile her eyes began.
Eric Bredesen, Mythology & History|Light — i.e. space — is the structure of time, the essence of existence. The stuff of physics does not involve time. Orthodox contemporary physics sadly refers to this fact as “the problem of time.
William T. Vollmann, You Bright and Risen Angels|The smoke detectors began to ring; for they were battery-powered and thus still functioned, just as a record can still be played after the death of every member of the orchestra.
H. Rider Haggard, She|Man doeth this and doeth that from the good or evil of his heart; but he knows not to what end his sense doth prompt him; for when he strikes he is blind to where the blow shall fall, nor can he count the airy threads that weave the web of circumstance. Good and evil, love and hate, night and day, sweet and bitter, man and woman, heaven above and the earth beneath--all those things are needful, one to the other, and who knows the end of each?
Anthony Powell, A Question of Upbringing|For some reason, the sight of snow descending on fire always makes me think of the ancient world – legionaries in sheepskin warming themselves at a brazier: mountain altars where offerings glow between wintry pillars; centaurs with torches cantering beside a frozen sea – scattered, unco-ordinated shapes from a fabulous past, infinitely removed from life; and yet bringing with them memories of things real and imagined. These classical projections, and something in the physical attitudes of the men themselves as they turned from the fire, suddenly suggested Poussin’s scene in which the Seasons, hand in hand and facing outward, tread in rhythm to the notes of the lyre that the winged and naked greybeard plays. The image of Time brought thoughts of mortality: of human beings, facing outwards like the Seasons, moving hand in hand in intricate measure: stepping slowly, methodically, sometimes a trifle awkwardly, in evolutions that take recognisable shape: or breaking into seeminly meaningless gyrations, while partners disappear only to reappear again, once more giving pattern to the spectacle: unable to control the melody, unable, perhaps, to control the steps of the dance.
Stephen Baxter, Exultant|The past is a distraction, a source of envy, enmity, bitterness. Only the present matters, for only in the present can we shape the future.Cut loose the past; it is dead weight.Let the Extirpation continue. Let it never end.
Douglas Wilson|We are like fruitflies, measuring everything in terms of our own lifespan. But since our lifespans are so short, our perspective is entirely wrong.God, who inhabits eternity, sees things differently. He knows that our lives are just a mist. We should trust Him. It was not that long ago that Jesus came and it will not be that long before He returns.
Stephen King, Wolves of the Calla|Time, Eddie had decided during this period, was in large part created by external events. When a lot of interesting shit was happening, time seemed to go by fast. If you got stuck with nothing but the usual boring shit, it slowed down. And when everything stopped happening, time apparently quit altogether. Just packed up and went to Coney Island. Weird but true.
İlhan Berk|What is timea November leaf a child's vacillating mouth a rose a left-over, half-drunk glass of water.
Russell Hoban, Soonchild|He was thinking what a long and wide thing time is, to have so many happenings in it.
Jennifer Egan, A Visit from the Goon Squad|I don't know what happened to me," he said, shaking his head. "I honestly don't." ... "You grew up, Alex.
Anita R. Sneed-Carter|Time is precious, so use it wisely in every area of your life including having a relationship with God through"The Door", Jesus Christ! No one knows how much time that they have to live, so don't allow time to run out on you!
Henry Chancellor, The Museum's Secret|Sir Henry fixed him with a keen eye.'Odd name, Tom Skatt - eh?''Thats right''You don't think we could be related?'Tom looked up at his great-great-great-uncle and smiled.'I don't think so''No,' grinned Sir Henry "no, of course not
Sebastian Faulks, Engleby|Until we can navigate in time, I'm not sure that we can prove that what happened is real.
P.D. James, The Private Patient|The city which lay below was a charnel house built on multi-layered bones centuries older than those which lay beneath the cities of Hamburg or Dresden. Was this knowledge part of the mystery it held for her, a mystery felt most strongly on a bell-chimed Sunday on her solitary exploration of its hidden alleys and squares? Time had fascinated her from childhood, its apparent power to move at different speeds, the dissolution it wrought on minds and bodies, her sense that each moment, all moments past and those to come, were fused into an illusory present which with every breath became the unalterable, indestructible past. In the City of London these moments were caught and solidified in stone and brick, in churches and monuments and in bridges which spanned the grey-brown ever-flowing Thames. She would walk out in spring or summer as early as six o'clock, double-locking the front door behind her, stepping into a silence more profound and mysterious than the absence of noise. Sometimes in this solitary perambulation it seenmed that her own footsteps were muted, as if some part of her were afraid to waken the dead who had walked thse streets and had known the same silence.
Rae Armantrout, Money Shot|Ends Meet1Could betime is practice,balance,the actionexecuted in the mindbefore and after.Where does mind end?2We mark a breakwith what has come before,come through the door,down the 
Last Man Standing, WHEN YOU LIVE YOUR LIFE RIGHT, THERE'S NOTHING TO WRITE ABOUT|It turns out there is only one possible thing to do in this circumstance, to wait the only way there is to wait through eternity, and that is through creativity.
Fiddles McMonkeypants, Hidden Chapter Winter 2012|In the first of our conversations, you explained how different time was for you—how it’s an abstraction. Some hours glide past like birds, others are slow, plodding behemoths, stubborn and unwilling to leave.
Alain-Fournier, Le Grand Meaulnes|This evening, which I have tried to spirit away, is a strange burden to me. While time moves on, while the day will soon end and I already wish it gone, there are men who have entrusted all their hopes to it, all their love and their last efforts. There are dying men or others who are waiting for a debt to come due, who wish that tomorrow would never come. There are others for whom the day will break like a pang of remorse; and others who are tired, for whom the night will never be long enough to give them the rest that they need. And I - who have lost my day - what right do I have to wish that tomorrow comes?
Ovid, The Erotic Poems|Brass shines with constant usage, a beautiful dress needs wearing,Leave a house empty, it rots.
Aldous Huxley, The Doors of Perception & Heaven and Hell|And along with indifference to space, there was an even more complete indifference to time. "There seems to be plenty of it", was all I would answer when the investigator asked me to say what I felt about time. Plenty of it, but exactly how much was entirely irrelevant. I could, of course, have looked at my watch but my watch I knew was in another universe. My actual experience had been, was still, of an indefinite duration. Or alternatively, of a perpetual present made up of one continually changing apocalypse.
Joel Salatin, Folks, This Ain't Normal: A Farmer's Advice for Happier Hens, Healthier People, and a Better World|I saw a news report recently that measured average video game use by American men between the ages of twenty-five and thirty-five: twenty hours per week. Do you mean the flower of America's masculinity can't think of anything more important to do with twenty hours a week than sit in front of a video screen? Folks, this ain't normal. Can't we unplug already?
Joe Abercrombie, The Heroes|Names turned over by time, like the plough turning the soil. Bringing up the new while the old were buried in the mud.
Jay Rayner, Eating Crow: A Novel of Apology|Too often we only identify the crucial points in our lives in retrospect. At the time we are too absorbed in the fetid detail of the moment to spot where it is leading us. But not this time. I was experiencing one of my dad’s deafening moments. If my life could be understood as a meal of many courses (and let’s be honest, much of it actually was), then I had finished the starters and I was limbering up for the main event. So far, of course, I had made a stinking mess of it. I had spilled the wine. I had dropped my cutlery on the floor and sprayed the fine white linen with sauce. I had even spat out some of my food because I didn’t like the taste of it.“But it doesn’t matter because, look, here come the waiters. They are scraping away the debris with their little horn and steel blades, pulled with studied grace from the hidden pockets of their white aprons. They are laying new tablecloths, arranging new cutlery, placing before me great domed wine glasses, newly polished to a sparkle. There are more dishes to come, more flavors to try, and this time I will not spill or spit or drop or splash. I will not push the plate away from me, the food only half eaten. I am ready for everything they are preparing to serve me. Be in no doubt; it will all be fine.” (pp.115-6)
Julian Barnes, The Sense of an Ending|Is there anything more plausible than a second hand? And yet it takes only the smallest pleasure or pain to teach us time's malleability. Some emotions speed it up, others slow it down; occasionally, it seems to go missing--until the eventual point when it really does go missing, never to return.
Robertson Davies, Tempest-Tost|Before she continued her search she sat in his revolving desk chair, and wept for the passing of time, and the necessary death of the well-loved, wise old man.
Mark A. Roeder|I had a sneaking suspicion that time was not constant, but I guess I could never prove it. I suppose it didn’t really matter. I even had a theory that time didn’t go in straight line at all. I knew I was no Albert Einstein, but I had the sneaking suspicion that everything had happened, was happening, or would happen was really happening all the time. There was no past, present, and future. Everything was going on all at once and forever. If that was true, then each moment was eternity.
Jennifer Egan, A Visit from the Goon Squad|Soiled, forgotten coats of arms were carved above their massive doorways, and these unsettled Ted: such universal, defining symbols made meaningless by nothing more than time.
John Ciardi, The Monster Den: or Look What Happened at My House — and to It|And the time sundials tellMay be minutes and hours. But it may just as wellBe seconds and sparkles, or seasons and flowers.No, I don't think of time as just minutes and hours.Time can be heartbeats, or bird songs, or miles,Or waves on a beach, or ants in their files(They do move like seconds—just watch their feet go:Tick-tick-tick, like a clock). You'll learn as you growThat whatever there is in a garden, the sunCounts up on its dial. By the time it is doneOur sundial—or someone's— will certainly addAll the good things there are. Yes, and all of the bad.And if anyone's here for the finish, the sunWill have told him—by sundial—how well we have done.How well we have done, or how badly. Alas,That is a long thought. Let me hope we all pass.
Ali Sparkes, Frozen in Time|Good plan," Freddy was saying. "Let's get some decent sleep. Tomorrow we can shake our gravy asses into town and do some sluething.
Stephen King|she might have been pretty when she started out, but the world had moved on since then.
Peter Duncan|What's fame, after all? It can be what someone writes on your tombstone.
Tim Lilburn, Moosewood Sandhills|Dry snow coming down in the hills. Magpies hair-triggered and thuggish in worn trees. A wall has started to fall in you, it will take years to land.
August Wilhelm Schlegel|Our mind has its own ideal time, which is no other but the consciousness of the progressive development of our beings.
Lars Fr. H. Svendsen, A Philosophy of Boredom|For Heidegger, boredom is a privileged fundamental mood because it leads us directly into the very problem complex of being and time.
Ha-Joon Chang, 23 Things They Don't Tell You About Capitalism|Above a certain level of income, the relative value of material consumption vis-a-vis leisure time is diminished, so earning a higher income at the cost of working longer hours may reduce the quality of your life. More importantly, the fact that the citizens of a country work longer than others in comparable countries does not necessarily mean that they like working longer hours. They may be compelled to work long hours, even if they actually want to take longer holidays.
Jeremy Clarkson|No really. If you only have seven years left, that means the Reaper will be dropping round for tea and buns in about 61,000 hours from now. You therefore shouldn’t be wasting time by pootling to the garden centre at walking pace. So come on, grandad. The clock’s ticking. Pedal to the metal. Or you’ll be in your flowerbed before the plants you bought.
Gregory Maguire, Wicked: The Life and Times of the Wicked Witch of the West|Those times are over and gone, and good-riddance to them, too. We were hopelessly high-spirited. Now we're the thick-waisted generation, dragging along our children behind us and carrying our parents on our backs. And we're in charge, while the figures who used to command our respect are wasting away.
Kurt Vonnegut Jr., Slaughterhouse-Five|The guide invited the crowd to imagine that they were looking across a desert at a mountain range on a day that was twinkling bright and clear. They could look at a peak or a bird or cloud, at a stone right in front of them, or even down into a canyon behind them. But among them was this poor Earthling, and his head was encased in a steel sphere which he could never take off. There was only one eyehole through which he could look, and welded to that eyehole were six feet of pipe."This was only the beginning of Billy's miseries in the metaphor. He was also strapped to a steel lattice which was bolted to a flatcar on rails, and there was no way he could turn his head or touch the pipe. The far end of the pipe rested on a bi-pod which was also bolted to the flatcar. All Billy could see was the little dot at the end of the pipe. He didn't know he was on a flatcar, didn't even know there was anything peculiar about his situation. "The flatcar sometimes crept, sometimes went extremely fast, often stopped--went uphill, downhill, around curves, along straightaways. Whatever poor Billy saw through the pipe, he had no choice but to say to himself, 'That's life.
Salley Vickers|There are few things more mysterious than endings. I mean, for example, when did the Greek gods end, exactly? Was there a day when Zeus waved magisterially down from Olympus and Aphrodite and her lover Ares, and her crippled husband Hephaestus ) I always felt sorry for him), and all the rest got rolled up like a worn-out carpet?
Dick Cavett|I think I have many spenglerian moods about the country, and that some day people will look back and think 'this was a really goofy, unadmirable stupid time.
Maureen F. McHugh, Nekropolis|The Second Koran tells us that the darkness in ourselves is a sinister thing. It waits until we relax, it waits until we reach the most vulnerable moments, and then it snares us. I want to be dutiful. I want to do what I should. But when I go back to the tube, I think of where I am going; to that small house and my empty room. What will I do tonight? Make more paper flowers, more wreaths? I am sick of them. Sick of the Nekro
W.H. Auden, The Complete Works of W.H. Auden: Prose, Volume III: 1949-1955|So long as we think of it objectively, time is Fate or Chance, the factor in our lives for which we are not responsible, and about which we can do nothing; but when we begin to think of it subjectively, we feel responsible for our time, and the notion of punctuality arises.
Douglas Coupland, Player One: What Is to Become of Us|And the reason Luke is thinking about time and free will is because he believes that money is the closest human beings have ever come to crystallizing time and free will into a compact physical form. Cash. Cash is a time crystal. Cash allows you to multiply your will, and it allows you to speed up time. Cash is what defines us as a species. Nothing else in the universe has money.
Sorin Cerin, Wisdom Collection: The Book of Wisdom|We pass through Time from birth in order to have from where to come, together with death.
Ernst Jünger, Eumeswil|Bruno withdrew from the field of history more resolutely than Vigo; that is why I prefer the former’s retrospect but the latter’s prospect. As an anarch, I am determined to go along with nothing, ultimately take nothing seriously – at least not nihilistically, but rather as a border guard in no man’s land, who sharpens his eyes and ears between the tides.
Ruiyan Xu, The Lost and Forgotten Languages of Shanghai|Two months in Shanghai, and what does she have to show for herself? She had been full of plans on the plane ride over, had studied her phrase book as if cramming for an exam, had been determined to refine her computational model with a new set of data, expecting insights and breakthroughs, plotting notes for a new article. Only the time has trickled away so quickly. She has meandered through the days chatting with James instead of gathering data. At night, she has gone out to dinners and bars. [James'] Chinese has not improved; her computational model has barely been touched. She does not know what she has been doing with herself, and now an airplane six days away is waiting for her.
Tod Wodicka, All Shall Be Well; And All Shall Be Well; And All Manner of Things Shall Be Well|The schoolroom clock was worn raw by stares; and you couldn't look up at the big Puritanical face of it and not feel the countless years of young eyes reflected in it, urging it onwards. It was a dark, old spirit that didn't so much mark time as bequeath it.
Tod Wodicka, All Shall Be Well; And All Shall Be Well; And All Manner of Things Shall Be Well|It was difficult to imagine that a full day hadn't yet passed since we boarded the airliner in New York. I paused. Medieval man believed that one was placed beyond the touch of time, and therefore aging, while attending Mass. What, I wondered, would he have made of those hours we left up in the sky? I would not change my watch until I gave the matter more thought.
Henry Wiencek, The Hairstons: An American Family in Black and White|Genealogy becomes a mania, an obsessive struggle to penetrate the past and snatch meaning from an infinity of names. At some point the search becomes futile – there is nothing left to find, no meaning to be dredged out of old receipts, newspaper articles, letters, accounts of events that seemed so important fifty or seventy years ago. All that remains is the insane urge to keep looking, insane because the searcher has no idea what he seeks. What will it be? A photograph? A will? A fragment of a letter? The only way to find out is to look at everything, because it is often when the searcher has gone far beyond the border of futility that he finds the object he never knew he was looking for.
Thomas Mann, The Magic Mountain|The diaries of opium-eaters record how, during the brief period of ecstasy, the drugged person's dreams have a temporal scope of ten, thirty, sometimes sixty years or even surpass all limits of man's ability to experience time--dreams, that is, whose imaginary time span vastly exceeds their actual duration and which are characterized by an incredible diminishment of the experience of time, with images thronging past so swiftly that, as one hashish-smoke puts it, the intoxicated user's brain seems "to have something removed, like the mainspring from a broken watch.
Robert A. Bradley, Husband-Coached Childbirth: The Bradley Method of Natural Childbirth|We repeatedly tell patients we are not in a hurry; there are no trains to catch and we don't care when the baby comes, only how! A doctor who is in a hurry does not belong in the field of obstetrics. As my chief pointed out, 'An obstetrician should have a big rear end and the good sense to sit calmly thereupon and let nature take its course.
Carl Sagan|The Earth is a very small stage in a vast cosmic arena. Think of the rivers of blood spilled by all those generals and emperors so that, in glory and triumph, they could become the momentary masters of a fraction of a dot. Think of the endless cruelties visited by the inhabitants of one corner of this pixel on the scarcely distinguishable inhabitants of some other corner, how frequent their misunderstandings, how eager they are to kill one another, how fervent their hatreds.
Jacques Vaché|You know the horrible life of the alarm clock – it’s a monster that has always appalled me because of the number of things its eyes project, and the way that good fellow stares at me when I enter a room.
Gabriel Zaid, So Many Books: Reading and Publishing in an Age of Abundance|Confronted with the choice between having time and having things, we’ve chosen to have things. Today it is a luxury to read what Socrates said, not because the books are expensive, but because our time is scarce.
