Catherine Deneuve|People who know me know I'm strong, but I'm vulnerable.
John Steinbeck, Tortilla Flat|A dying organism is often observed to be capable of extraordinary endurance and strength. ... When any living organism is attacked, its whole function seems to aim toward reproduction.
Maureen Dowd|McChrystal's defenders at the Pentagon were making the case Tuesday that the president and his men—(the McChrystal snipers spared Hillary)—must put aside their hurt feelings about being painted as weak sisters. Obama should not fire the serially insubordinate general, they reasoned, because that would undermine the mission in Afghanistan, and if that happens, then Obama would be further weakened.So the commander in chief can be bad-mouthed as weak by the military but then he can't punish the military because that would make him weak? It's the same sort of pass-the-Advil vicious circle reasoning the military always uses.
Fyodor Dostoyevsky, The Brothers Karamazov|Though these young men unhappily fail tounderstand that the sacrifice of life is, in many cases, the easiest ofall sacrifices, and that to sacrifice, for instance, five or six years oftheir seething youth to hard and tedious study, if only to multiplytenfold their powers of serving the truth and the cause they have setbefore them as their goal--such a sacrifice is utterly beyond the strengthof many of them. 
Jean de Berg, The Image/The Whip Angels|Having recovered from an inexplicable moment of weakness Claire was on the defensive, ready to bite. I had the impression that she was now looking for a chance to demonstrate her strength, or her hard-heartedness.
Paula McLain, The Paris Wife|They’d scared me and had me thinking about what it meant to be really strong, on my own terms—not just fit and brown from the sun, not just flexible and accommodating.
Confucius, The Analects|A legendary horse is praised not for its strength, but for its Integrity.
Bram Stoker, Dracula|Our toil must be in silence, and our efforts all in secret; for this enlightened age, when men believe not even what they see, the doubting of wise men would be his greatest strength.
Johann Wolfgang von Goethe, The Sorrows of Young Werther|When a nation which has long groaned under the intolerable yoke of a tyrant rises at last and throws off its chains, do you call that weakness? The man who, to rescue his house from the flames, finds his physical strength redoubled, so that he lifts burdens with ease which in the absence of excitement he could scarcely move; he who under the rage of an insult attacks and puts to flight half a score of his enemies,—are such persons to be called weak? My good friend, if resistance be strength, how can the highest degree of resistance be a weakness?
Oliver Goldsmith, The Vicar of Wakefield|Conscience is a coward, and those faults it has not strength enough to prevent it seldom has justice enough to accuse.
Francesca Lia Block, Pink Smog|Welcome Beauty, banish fear.
Wael Ghonim, Revolution 2:0: A Memoir and Call to Action|The revolution has no leader, I said. It was more like a raging wild horse that would buck anyone who tried to mount it against its will.
Cornell Woolrich, The Fantastic Stories of Cornell Woolrich|Home? What is home? Home is where a house is that you come back to when the rainy season is about to begin, to wait until the next dry season comes around. Home is where your woman is, that you come back to in the intervals between a greater love - the only real love - the lust for riches buried in the earth, that are your own if you can find them.Perhaps you do not call it home, even to yourself. Perhaps you call them 'my house,' 'my woman,' What if there was another 'my house,' 'my woman,' before this one? It makes no difference. This woman is enough for now.Perhaps the guns sounded too loud at Anzio or at Omaha Beach, at Guadalcanal or at Okinawa. Perhaps when they stilled again some kind of strength had been blasted from you that other men still have. And then again perhaps it was some kind of weakness that other men still have. What is strength, what is weakness, what is loyalty, what is perfidy?The guns taught only one thing, but they taught it well: of what consequence is life? Of what consequence is a man? And, therefore, of what consequence if he tramples love in one place and goes to find it in the next? The little moment that he has, let him be at peace, far from the guns and all that remind him of them.So the man who once was Bill Taylor has come back to his house, in the dusk, in the mountains, in Anahuac. ("The Moon Of Montezuma")
Mollie Marti|As part of humanity, each of us is called to develop and share the unique gifts we are given.
William C. Bullitt|...My deepest personal reason for staying in Paris is that whatever I have as a character, good or bad, is based on the fact that since the age of four I have never run away from anything however painful or dangerous when I thought it was my duty to take a stand -- the American Ambassador to France upon being asked to evacuate Paris by the State Department on the eve of Nazi occupation of Paris in 1940
Tanya Huff, Blood Trail|He read disappointment at his response and wondered if she realized that she expected a certain amount of effusive sympathy from the people she told. Rejecting that sympathy made her feel strong, compensating for what she perceived as her weakness. He suspected that the disease was the first time she hadn't been able to make everything come out all right through the sheer determination that it would be.
Robert Fulghum, Uh-oh - Some Observations From Both Sides Of The Refrigerator Door|There is a tree. At the downhill edge of a long, narrow field in the western foothills of the La Sal Mountains -- southeastern Utah. A particular tree. A juniper. Large for its species -- maybe twenty feet tall and two feet in diameter. For perhaps three hundred years this tree has stood its ground. Flourishing in good seasons, and holding on in bad times. "Beautiful" is not a word that comes to mind when one first sees it. No naturalist would photograph it as exemplary of its kind. Twisted by wind, split and charred by lightning, scarred by brushfires, chewed on by insects, and pecked by birds. Human beings have stripped long strings of bark from its trunk, stapled barbed wire to it in using it as a corner post for a fence line, and nailed signs on it on three sides: NO HUNTING; NO TRESPASSING; PLEASE CLOSE THE GATE. In commandeering this tree as a corner stake for claims of rights and property, miners and ranchers have hacked signs and symbols in its bark, and left Day-Glo orange survey tape tied to its branches. Now it serves as one side of a gate between an alfalfa field and open range. No matter what, in drought, flood heat and cold, it has continued. There is rot and death in it near the ground. But at the greening tips of its upper branches and in its berrylike seed cones, there is yet the outreach of life. I respect this old juniper tree. For its age, yes. And for its steadfastness in taking whatever is thrown at it. That it has been useful in a practical way beyond itself counts for much, as well. Most of all, I admire its capacity for self-healing beyond all accidents and assaults. There is a will in it -- toward continuing to be, come what may.
Muriel Barbery, The Elegance of the Hedgehog|What makes the strength of the soldier isn't the energy he uses trying to intimidate the other guy by sending him a whole lot of signals, it's the strength he's able to concentrate within himself, by staying centered. That Maori player was like a tree, a great indestructible oak with deep roots and a powerful radiance- everyone could feel it. And yet you also got the impression that the great oak could fly, that it would be as quick as the wind, despite, or perhaps because of, its deep roots.
George Eliot|But the vicar of St. Botolph's had certainly escaped the slightest tincture of the Pharisee, and by dint of admitting to himself that he was too much as other men were, he had become remarkably unlike them in this - that he could excuse others for thinking slightly of him, and could judge impartially of their conduct even when it told against him. [from Middlemarch, a quote my mother thinks describes the kind of man my father was]
Paul Brunton, The Spiritual Crisis of Man|(The presence of evil) in his life provokes him into either overcoming it or yielding to it. If the first, it has led him to work for his own improvement; if the second it has led him to acknowledge his own weakness. Sooner or later, the unpleasant consequences of such weakness will lead him to grapple with it, and develop his power of will...Immediately and directly, it may either strengthen him or weaken him. Ultimately, it can only strengthen him.
Rosalind Coward, Sacred Cows: Is Feminism Relevant To The New Millennium?|The old 'qualities' of masculinity - a narrow focus on life, domestic incompetence signalling a mind on higher things, emotional reserve and acts of endurance - have become absurdities, signs more of incompetence, insensitivity, lack of intelligence than of strength.
Steven Erikson, Toll the Hounds|You had the physical bullies and the emotional bullies and they both revelled in destroying lives.No, she had no time for them. But there were others whose strength was of a much rarer kind. Not easy to find, because they revealed nothing. They were quiet. They often believed themselves to be much weaker than they were. But when pushed too hard, they surprised themselves, finding they would not back away another step, that a wall had risen in their souls, unyielding, a barrier that could not be passed. To find one such as this was the most precious of discoveries.
Kayla Krantz, When Night Falls: A Collection of Short Stories and Poems|You pushed me down to the depths of my sorrow until I thought I wouldn’t see the light of day again. You expected me to drown, didn’t you? To be left there for an eternity, waiting for your hand to pull me out? What you didn’t stop to realize is that I live in the shadows, thrive even. When I pull myself from the darkness, I’ll be stronger for it and you’ll regret leaving me for dead.
Melody  Lee, Moon Gypsy|Don't tell a girl with fire in her veins and hurricane bones what she should and shouldn't do. In the blink of an eye, she will shatter that ridiculous cage you attempt to build around her beautiful bohemian spirit.
Lailah Gifty Akita|With the strength of God, we shall overcome every struggle.
Lucifer|A sword wields no strength, unless the hand that holds it has courage.
Laura Roberts, Arrow's Adventure|Keep moving through valleys to find your sight,As the dark becomes the light,Keep moving up mountains to find your strength,As you climb the hardest length.
Peter Bunzl, Cogheart|I know sometimes life can be painful, my tiger. But, remember, if you can’t change what’s happened today, you must bide your time, until you’re strong enough to fight tomorrow.
Latika Teotia|1.	The troubled times that you go through are not meant to break you, instead they are meant to show you the hidden strength that lies within. It is at times like this when you thought you are broke that you suddenly discover that you have a pile of cash stashed away which you had completely forgotten about. Draw upon those hidden reserves that you never knew existed and come out stronger from the experience. It is your ability to brave the storm that is more important.
LJ Shen|If you want to be strong, be.
Lailah Gifty Akita|With grace, we find the strength to reach the goal.
Daniel Woodrell, The Death of Sweet Mister|You wake up in this here world, my sweet li'l mister, you got to wake up tough. You go out that front door tough of a mornin' and you stay tough 'til lights out—have you learned that?
Hrishikesh Agnihotri|The length, the depth and the strength of your relationship is determined more by your compatibility in the difficult times than by your compatibility in the better times.
Mishi McCoy|I encourage you to remember that you are, indeed, as the stars. You glow with the same intensity. The answers that you seek outside of yourself may very well be found within the cosmic intelligence inside you. Go ahead; show the world what you are made of! Sparkle, shine, light the way, and brightly blaze as you are meant to do.
Shūsaku Endō, Wonderful Fool|Not all men are handsome and strong. There are some who are cowards from birth. There are some who are weak by nature. There are even some who cry easily. But for such a man, a man both weak and cowardly, to bear the burden of his weakness and struggle valiantly to live a beautiful life-- that's what I call great. The reason I'm so fond of Gaston is not because he has a strong will or a good head. Rather it's because, weakling and coward that he is, he keeps on fighting in his own way.
Lailah Gifty Akita|No matter what, if you have the strength of life, it is enough to be thankful.
Michelle Madow, Diamonds are Forever|It takes strength to forgive and love unconditionally,a nd you have that strength, Savannah. It´s what makes you shine.
Efrat Cybulkiewicz|Careful! The kraken is wagging its tentacle, again.
Gift Gugu Mona|The weakness of one man is the strength of another, hence we all are different for a reason.
Lailah Gifty Akita|The obstacles are man-made, so we can overcome with divine-strength.
Annette Marie, Dark Tempest|... You did what none of us could do.”“Only because the poison didn’t affect me the same way—”“Does that matter? We couldn’t do it. You did. We saw what you looked like when you got out. How many times did you fall in order to batter your knees like that? But you kept going.”“That makes me stubborn, not strong,” she mumbled.“Strength comes in many forms...
Tiffany Luard|When your steps are destined... you can trust that your journey has a variety of processes. These processes will be disguised with a perfect strife; however, the struggle is pivotal in breeding greatness..." (T.luard)
Levon Peter Poe|Sometimes in this world, all you have is YOU!Stand strong and tall. No one will do it for you
Lailah Gifty Akita|We cannot run away from our problems. We have to pray for strength to conquer,
Gift Gugu Mona|Strength is not determined by the looks, but action.
Rainer Maria Rilke, Letters to a Young Poet|In one creative thought a thousand forgotten nights of love come to life again and fill it with majesty and exaltation. And those who come together in the nights and are entwined in rocking delight perform a solemn task and gather sweetness, depth, and strength for the song of some future poet, who will appear in order to say ecstasies that are unsayable.
Veronica Roth, Carve the Mark|Pain had a way of breaking time down. I thought about the next minute, the next hour. There wasn't enough space in my mind to put all those pieces together, to find words to summarise the whole of it. But the "keep going" part, I knew the words for.P151
Siri Hustvedt, A Woman Looking at Men Looking at Women: Essays on Art, Sex, and the Mind|My purely practical advice: Don't get excited. Don't raise your voice. Bite back. Bite back hard, but never cry.
Ruth Ware, The Woman in Cabin 10|Was this what it was going to be like? Was I turning into someone who had panic attacks about walking home from the tube or staying the night alone in the house without their boyfriend? No, fuck that. I would not be that person.
Sharon Salzberg, Real Love: The Art of Mindful Connection|The practice of loving-kindness is about cultivating love as a trans-formative strength,
Caroline George, The Vestige|Welcome to the apocalypse. Where make-do is a motto and life seems wrong, out-of-place. Where the weak become strong because they have no other choice.
Caroline George, The Vestige|The world doesn’t change because the sun sets and rises. We can either adapt to survive our circumstance or we can change it. And I know we can’t control fate, but I’m sure not going to spend whatever time I have left sitting around and waiting for my life to get better.
Sharon Salzberg, Real Love: The Art of Mindful Connection|Kindness is not a fixed trait that we either have or lack, but more like a muscle that can be developed and strengthened.
Ernest Agyemang Yeboah|Mind your strength! Let people know that you are strong and let them see how strong you are, and who or what makes you strong, but in doing so, be careful showing people the true source of your strength for not all people deserve to know that! You may never know what is behind the mind! Sometimes in life, the day you show people how wise you are, the very day you show them how unwise you are! Get understanding and walk in wisdom!
Laini Taylor, Strange the Dreamer|She had inherited a story that was strewn with corpses and clotted with enmity, and was only trying to stay alive in it.
Michael Chabon, Moonglow|My grandfather often felt frustrated or baffled by my grandmother's illness, but when it came to the origins of the Skinless Horse he thought he understood. The Skinless Horse was a creature sworn to pursue my grandmother no matter where she went on the face of the globe, whispering to her in the foulest terms of her crimes and the blackness of her soul. There was a voice like that in everyone's head, he figured; in my grandmother's case it was just a matter of degree. You could almost see the Skinless Horse as a clever adapation, a strategy for survival evolved by a proven survivor. If you kept the voice inside your head, the way most people did, there could really be only one way to silence it. He admired the defiance, the refusal to surrender, involuntary but implicit in the act of moving that reproachful whisperer to a shadowy corner of a room, an iron furnace in a cellar, the branches of a grand old tree.
Pierce Brown, Red Rising|The foolish families worry over blood. I care nothing for purity of family or ancestry. That is a vain thing. I care only for strength. What a man can do to other men, women.
Katie Alender, From Bad to Cursed|That's the whole problem, isn't it?" He turned his face toward the night sky and let out a horrible laugh, like a gasp of pain. "Why are you the only person who's allowed to be strong?
Sunday Adelaja|If you do not have any problems, it means you have stopped being of interest to the devil; you are not dangerous to him
Paddick Van Zyl|To have wisdom whilst young, to have strength whilst old, therein lies the secret to life on earth
Sunday Adelaja|God knows your abilities, and he also knows how to turn your weak points into strong ones
Sunday Adelaja|Through solving problems we improve and develop ourselves, reach maturity and strengthen our will
Sunday Adelaja|Overcoming all obstacles improves us, develops our natural ability and makes us stronger
Sunday Adelaja|If a man realizes who he is, he is confident of his strength
Alfa H|There is lonely, and there is alone time. I have found that both have etched character upon my soul.
Charles   Lee|Believe it or not, I'm stronger than any belief, stereotype, profile, or idea you have of me. I'm driven and self-made with a perception unique to my own. You'll hate that and say I'm not special. I'll allow you to believe it because deep down, you already know I am. My name's Charles Lee. Bound for greatness. Destined to soar.
Lesley Livingston, The Valiant|This oath is the oath we all swear. Not to a god, or a master, or to the Ludu Achillea...but to our sisters who stand here with us. Our sisters. This is the oath that binds us all, one to one, all to all, so that we are no longer free. We belong to each other. We are bound to each other. In swearing to each other, we free ourselves from the outside world, from the world of men, from those who would seek to bind us to Fate and that which would make us slaves. We sacrifice our liberty so that, ultimately, we can be truly free.
Marie Lu, Life Before Legend: Stories of the Criminal and the Prodigy|Your strengths might make you hard to approach, and might make your words sound uglier than what you actually mean, but they also make people look up to you.
Lisa Mischelle Wood, Just Believe: A Collection of Christian Poetry and Photo-Quotes|You don't have to part the waters or move the mountain for me; just help me get across them, Lord, for I can do all things through Thee.
Robin Jenkins, The Changeling|Never to whine; to accept what came; to wait for better; to take what you could; to let no one, not even yourself, know how near to giving in you were.
Tara Estacaan|Growing Up' ----To become someone,to reach outfor things you have dreamt of.There is nogoing back.
Tara Estacaan|She might not be sweetShe might not be upbeatShe is womanHer strength finespun —To the unkind,She changes her mind.Oh woman, solid purebred.Hold high your head.
Erik Pevernagie|When illness and old age are no longer indulgent and strength is irrevocably seeping away, brightness fades insidiously away from the light of the day and time only betrays reckless evanescence. (“Into a new life”)
Maria Dahvana Headley, Aerie|You are strong enough to sing as you wish, not as your pain has forced to. You aren't your hurt. You're other than that. You are not the broken things you've been.
George MacDonald, Mary Marston|the truth she gathered, enlarging her strength, enlarged likewise the composure that comes of strength.
Sunday Adelaja|When Satan begins to particularly attack to persecute you, it should be a sign of your strength
Maria Dahvana Headley, Aerie|You are strong enough to sing as you wish, not as your pain has forced you to. You aren't your hurt. You're other than that. You are not the broken things you've been.
Lisa Mischelle Wood, Just Believe: A Collection of Christian Poetry|Lord, I'm thankful for every stumble because it was then that You lifted me; I'm thankful for every heartache that made me stronger than I knew I could be.
Lailah Gifty Akita|With the strength of God, we shall triumph in any situation.
Lailah Gifty Akita|If we wish for a new strength, we must meditate on the Scriptures.
Haruki Murakami|once your get your hopes up, your mind starts acting on its own. And when your hopes are dashed you get dissapointed, and dissapointment leads to a feeling of helplessness. You get careless and let your guard down. And right now, she though, that si the last thing I can afford.
Lailah Gifty Akita|If you wish to find the strength of being, read the Holy Bible.
Lailah Gifty Akita|If we rest, we shall renewal our strength.
Lailah Gifty Akita|If we rest, we shall renewal our strength
C.S. Lewis|Lucy buried her head in his mane to hide from his face. But there must have been magic in his mane. She could feel lion-strength going into her. Quite suddenly she sat up. "I'm sorry, Aslan," she said. "I'm ready now.""Now you are a lioness," said Aslan. "And now all Narnia will be renewed. But come. We have no time to lose.
Erich Maria Remarque, All Quiet on the Western Front|We are little flames poorly sheltered by frail walls against the storm of dissolution and madness, in which we flicker and sometimes almost go out.
Courtney M. Privett, Mayfly Requiem|The tear-stained letters of my regret will remain forever unread, for I am never going to be strong enough to give them to you.
Farshad Asl, The "No Excuses" Mindset: A Life of Purpose, Passion, and Clarity|Generosity is a strength, not a weakness.
N. K. Jemisin|Many things have broken him. He holds himself together with spit and endless smiling, but all can see the cracks. You, though; you are dented, bruised, but intact.
Kiese Laymon, How to Slowly Kill Yourself and Others in America|The man of courage is not the man who did not face adversity. The man of courage is the man who faced adversity and spoke to it. The man of courage tells adversity, "You're trespassing and I give you no authority to steal my joy, my faith or my hope.
Ann Rinaldi, An Acquaintance with Darkness|Our enemies make us strong, Miss Muffet, not our friends. Our friends will lie to us, tell us what we need to hear. Forgive us. We must keep a few good enemies on hand, always, to keep us sharp and teach us never to do anything that needs forgiveness.
Jewel, Hands|My hands are small, I knowBut they're not yours, they are my ownBut they're not yours, they are my ownAnd I am never broken
Lailah Gifty Akita|All that I can truly have: life, strength and time!
Kierra C.T. Banks|You embody the strength of 10,000 moons and your life will be a testament of it. Ase
John  Myer, John Myer: A Collection of his Sermons and Writing, #1|Only small men parade their learning, talk over their audience and air their superior knowledge. Only brutal men throw their strength about, and vain rich men display their wealth in ostentatious useless luxuries.
Toni Sorenson, The Great Brain Cleanse|True strength isn’t being able to knock your enemies down, it’s being able to hold yourself upright against their blows.
Agatha Christie, Evil Under the Sun|To marry and have children, that is the common lot of women. Only one woman in a hundred--more, in a thousand, can make for herself a name and position as you have done.
Henry Miller, Tropic of Capricorn|It was a crushing defeat, but it put iron in my backbone and sulphur in my blood. I knew at least what it was to fail. I knew what it was to attempt something big.
Sesan Kareem|The singular difference between success and true success is those who achieved true success did not pursue success, they were driven by it. They were those who followed their strengths, they were those who spent each heartbeat to proffer solutions to humanity’s problems, they were those who lived a highly simple and effective life.
Sarah J. Maas, A Court of Mist and Fury|I want them to hear your story. And know that there is a special strength..." As I spoke I realized I needed to hear it, know it, too. "A special strength in enduring such dark trials and hardships... And still remaining warm, and kind. Still willing to trust—and reach out.
Akshay Vasu|Every person I ever knew or had come across always spoke about fallingin love with the rain. They dreamt of dancing in it like there is no tomorrow but I never heard someone speaking about falling in love with a wildfire. No, it is not for the weaker ones. The moment you fall in love with the wildfire, it starts burning everything that you have ever built or grown all these years around you. It changes the way you had always imagined and looked at how the love would be, making you end up homeless. It makes you a weakness intertwined with strength, a love intertwined with hatred. It makes you a puzzle that you yourself could never solve.
Brian K. Vaughan, Saga #40|Most of us think we can hide our weaknesses from the world, and sometimes, we're right. But only if we're very very strong.
N.K. Jemisin, The Obelisk Gate|The way of the world isn't the strong devouring the weak, but the weak deceiving and poisoning and whispering in the ears of the strong until they become weak, too.
Sarah Hepola, Blackout: Remembering the Things I Drank to Forget|That is true strength. To want what you have, and not what someone else is holding.
Jagdish Joghee, In Love and Free: The tale of a woman caught between two men...|The sea is intriguing and exciting. It always reinforces in me a sense of belonging. The waves bring with them a strange kind of peace and calm. The sea has been a silent spectator to many major incidents in my life. The many outings with friends and family; the long walks on the shore with dad, my hero and philosopher; the moments spent with my love, the memories are endless.
Scott Westerfeld, Leviathan|That was the trick - to keep punching, no matter what.
Mother Teresa|Humility is truth, therefore in all sincerity we must be able to look up and say, "I can do all things in Him who strengthens me." By yourself you can do nothing, have nothing but sin, weakness and misery. All the gifts of nature and grace you have them from God.
Lailah Gifty Akita|We are never old with the strength of the spirit, although the body may fail.
Sharath Nazre|A persons emotions should be the strength, should not be the weakness
Lorri Faye|Achieving your goals depends more on the way you manage to push through the bad days, than shine on the good ones.
Karen A. Baquiran|When we have no choice of what is to come, we must find the strength to have trust in what lies ahead. SURRENDER.
Holly Bourne|She has her own brand of strength,brought to the surface by the dim glow of the streetlight and the whisper of night air on her skin.
Vironika Tugaleva|These times are hard, but I won't walk away jaded, darker, different. I feel. I cry to heal. If you saw me in those moments, maybe you'd think I was a mess. But I don't call it a mess. I call it strength.Real strength isn't about building walls. Real strength is about staying open, no matter what. It's about taking life—with all the pleasures that fade and all the pain that sticks around for too long—and not shutting down, not closing down, not building up those walls.Resilience isn't hard, impenetrable, iron. Resilience is flexible, soft, warm. Stay strong. The real kind of strong. Don't let your automatic mind reflexes make you jump away from pain and towards pleasure. Make choices. See clearly. And never, ever, stop feeling.Don't go numb. The world, even with all its horror, is too beautiful to miss.
Zoraida Córdova, Labyrinth Lost|We all get scared and want to turn away, but it isn’t always strength that makes you stay. Strength is also making the decision to change your destiny.
Elise Kova, Crystal Crowned|Every chance worth taking will make you a little scared. That means you're taking a risk. And where there is risk, there is reward.
Akshay Vasu|You are like that spark of fire, that fell on a leaf and burnt the whole tree down gradually. Look at me now, all you can see is the memories and reflections of a tree that stood tall and strong once before. But I will not let you win. I will show you, how life can rise again from just ashes and dust.
Tony Curl, Seriously Simple Stuff to Get You Unstuck|Grounding is most effective when you have some place to go. When you know where you are going, grounding brings strength and confidence, when you’re stagnant you get caught in the past.
John  Altman, In the Nick of Time - The Autobiography of John Altman, EastEnders' Nick Cotton|There is a power within and without. If you ask, it answers. It's just a matter of being calm and wise and listening. It takes years.
Kiersten White, And I Darken|Fire burned in her heart, and her wounded soul spread out, casting a shadow like wings across her country.
Kiersten White, And I Darken|Lada made her face stone, her heart a mountain. A mountain that would never be pierced to let cold, clear water flow. “Nothing holds me here.
Jennifer L. Armentrout, The Problem with Forever|It was me who had to carry myself over the finish line, and all I needed to remember when I felt like not trying was that that feeling wouldn't last forever.
George R.R. Martin, A Clash of Kings|Can you drown in grief? She turned away sharply, angry with her own frailty. She had no time for the luxury of self-pity.
Robert Louis Stevenson, Treasure Island|We must go on, because we can't turn back.
J Ali|More is less, less is more
Lorna Jane Cook, Outside Wonderland|...perhaps it wasn't a matter of strength so much as pliability, a willingness to let life become unpredictable and sometimes even unravel.
Anonymous|The worldly comforts are not for me. I am like a traveler, who takes a rest under a tree in the shade and then goes on his way
Danny Scheinmann, Random Acts Of Heroic Love|Please hear me, you are not alone on this planet hurtling through space, solitude is an illusion, come let me help you, rise up, walk forward, walk tall, walk straight, let nothing stop you.
Anonymous|When two persons are together, two of them must not whisper to each other, without letting the third hear; because it would hurt him
Christina Engela, Blachart|In the process of helping others, I helped myself. In acting out of my own brokeness I became whole again. It's the kind of strength and determination you find when you have hit rock bottom and you realize you could die right now - and want to, but realize that even death won't make the difference you were hoping for.
Sapphire, Push|Some folks got a light around them that shine for other peoples. I think that maybe some of them was in tunnels, and in that tunnel, maybe the only light they had was inside of them. And then, even long after they escaped that tunnel... They still be shining for everybody else.
Ransom Riggs, Hollow City|She had maintained her strength in the face of all this for so long that we had come to take it for granted, but she wasn't bulletproof. She might've been peculiar but she was also human,
Jodi Picoult, My Sister's Keeper|It is a curious thing, watching a strong man fall to pieces.
Ken Liu, The Grace of Kings|The calf is capable of walking quite well now," Dazu said. "He never stumbles.""But I told you to carry him back here," the teacher said. "The first thing a soldier must learn is to obey orders."Every day, the calf grew a little heavier, and every day, Dazu had to struggle a little harder. He would collapse, exhausted, when he finally got to the ranch, and the calf would bound out of his arms, glad to be able to walk on his own and stretch out.When winter rolled around again, Médo handed him a wooden sword and asked him to strike as hard as he could at the practice dummy. Dazu looked with distaste at the crude weapon with no edge, but he swung obediently.The wooden dummy fell in half, cut clean through. He looked at the sword in his hand with wonder."It's not the sword," his teacher said. "Have you looked at yourself lately?" He brought Dazu to stand in front of a brightly polished shield.The young man could hardly recognize the reflection. His shoulders filled the frame of the mirror. His arms and thighs were twice as thick as he remembered, and his chest bulged over his narrow waist."A great warrior trusts not his weapons, but himself. When you possess true strength, you can deal a killing blow even if all you have is a blade of grass."Now you're finally ready to learn from me. But first, go thank the calf for making you strong.
Darren Shan, Bec|Though I’m tempted by the call of the sea, I resist. It can’t claim me.In a way I’m stronger than the waves and I feel good about that.
Starla Huchton, Shadows on Snow|We all eventually find that life is a series of adjustments, but anything can be overcome when there is love around you. Once can be strong on their own, but there is greater strength in knowing when to rely on others.
Andy Flynn|I believe i am hard as a stone, but even a stone breaks if you smash it real hard.....
Anonymous|If you do not feel ashamed of anything, then you can do whatever you like
Anonymous|It is difficult for a man laden with riches to climb the steep path, that leads to bliss
Michael Ende, The Neverending Story|He was handsome and strong, but somehow that wasn't enough for him. He also felt the need to be tough and inured to hardship... But how was he to come by that quality in this luminous garden, where all manner of fruit was to be had for the picking?
Emery Lord, When We Collided|My dark days made me strong. Or maybe I already was strong, and they made me prove it.
Sarah Morgan, Sleepless in Manhattan|Failure is a part of life. Success teaches you nothing, but failure teaches you resilience. It teaches you to pick yourself up and try again.
Michelle Tea, Valencia|I knew what I stood for, even if nobody else did. I knew the piece of me on the inside, truer than all the rest, that never comes out. Doesn't everyone have one? Some kind of grand inner princess waiting to toss her hair down, forever waiting at the tower window. Some jungle animal so noble and fierce you had to crawl on your belly through dangerous grasses to get a glimpse.
Arnold Zable|His life-experiences, and reflections upon them, led Y to believe that the most difficult challenge in life was how to be kind, yet strong. ‘To be kind is not enough,’ he would say. ‘You have to be strong to give to others, and strong to withstand life’s fluctuating fortunes.
Gugu Mona|It is not easy to let go, but when you do; not only do you realize the strength that lies within you, you also create an opportunity to see God perform the best of miracles in your life.
Lailah Gifty Akita|You can only find strength, if you dare conquer the situation
Mina Marial Nicoli, The Magic of Avalon Eyrelin|I am not tough, nor hardened, nor strong. I cannot fight. I do not have what it takes. I can comfort my friends with this gift, but I cannot heal the world with it, and I certainly cannot do battle with an evil sorcerer with it! You are mistaken!
