Unknown Author 365|If you actually want something and are really passionate about it, you will get it no matter what.
Fiona Thrust, Naked and Sexual|I stood in front of him, frustratedly imagining his naked muscular chest, and wanting his hot cock to spear me. My nipples were aroused, feeling as hard and long as coat hooks. They prodded fiercely through the thin blue material at him, like little calling signs of how horny and ready for sex I was. The best advertisement of all: erect nipples!
Fiona Thrust, Naked and Sexual|He looked at me, and then looked away quickly.But I could tell he was interested.I think my tight t-shirt might have had something to do with it. And the way I was pushing my breasts towards him, with an inviting smile on my face.
Fiona Thrust, Naked and Sexual|I traced a finger along my bottom lip as I wondered what his erection would look like, and how I should seduce him. I thought what kind of approach would work best: whether to go in slow and seductively, or whether I should make him notice me in some hard and fast way.
Agnostic Zetetic|Most days, I’ve got this impermanence thing down just great. It doesn’t bother me; what’s to bother? Most days, I sit comfortably with the knowledge that I’ll die alone, and I feel nothing so strongly as my embrace of my nothingness. Most days don’t really matter, because there is only this day, and right now I feel like fear is all I am. I don’t want you to leave. Just let me pretend you won’t.'He wrapped his arms around me and we slept. For that night, we would last forever.
Fiona Thrust, Naked and Sexual|When you’re honest, what compares with the gorgeous thrill of sex? What brings you the same sense of wonder, pleasure, and fulfilment? I can’t think of anything as good.
Esther Perel, Mating in Captivity: Reconciling the Erotic and the Domestic|At the same time, eroticism in the home requires active engagement and willful intent. It is an ongoing resistance to the message that marriage is serious, more work than play; and that passion is for teenagers and the immature. We must unpack our ambivalence about pleasure, and challenge our pervasive discomfort with sexuality, particularly in the context of family. Complaining of sexual boredom is easy and conventional. Nurturing eroticism in the home is an act of open defience.
Fiona Thrust, Naked and Sexual|I love being aroused. I love how that feeling overcomes me, as I look at a man’s erect cock, as I feel his hands ripping my clothes from my body, as the air caresses my naked skin, and how I feel like I’m blossoming like a flower.
Fiona Thrust, Naked and Sexual|You know, when I see a good-looking man, the first thing I think about is sex. I want to see him naked, and I imagine running my hands impatiently over his hot body.I can’t help it: it’s just how I am.
Mark Zuckerberg|If you just work on stuff that you like and you’re passionate about, you don’t have to have a master plan with how things will play out.
Israelmore Ayivor, Shaping the dream|Have a peculiar passion, audacity and boldness that see farther and further into the outer space.
Cody McLain|Follow your dreams, your passions - your obsessions. Persistence will always turn failure into success.
Unarine Ramaru|Follow your purpose with integrity. Live your passion with integrity. If you don't have integrity you live in fear, and as far as I'm concerned living in fear is not enjoying life.
Fiona Thrust, Naked and Sexual|I was hot and horny as hell. Which was typical of me. I’m twenty-five, and I’m healthy, and a healthy girl is always thinking about sex.
Fiona Thrust, Naked and Sexual|He closed the door behind us, and led me through to the back of the shop. ‘If you don’t mind, you can get changed in the stock cupboard,’ he said. ‘We’re not posh enough here to have staff changing rooms, but you’ll soon get used to it.’‘Oh, don’t worry, Chris,’ I said warmly. ‘I’m used to getting my clothes off in unusual places.
David L. King Jr.|We all share three things in common: We are breathing, we have a heart, and most importantly we have twenty four hours to live. With those things, we should not have an excuse as to why the dash between our birth and death dates is so much more smaller than the length in which we walked the Earth. We have the air to live, we have a heart to have passion and care, and we have the time to make the change and better world happen.
Francisco X. Stork, Marcelo in the Real World|If I told you that God speaks to us through our urges so long as these are safe and proper and totally civilized and don't hurt anyone, what would I be saying? If I told you longing is okay as long as it is within the bounds of what our world considers normal, I would be going counter to my whole tradition. My people discovered divine urges, for goodness' sake. Not namby-pamby urges either. It was loincloth-tearing, harlot-marrying, sacrificing, succumbing, and surrendering kinds of urges. Not without bickering and haggling, I'll grant you, but ultimately urges of the worst kind, the kind that demanded everything.
Paul Russell, The Coming Storm|Still, for all that, her life had lacked passion. The demons had never come for her.
Fiona Thrust, Naked and Sexual|Excuse me,’ I said cheerily. ‘Is the job still going?’ I pointed to the notice.‘Of course,’ he said, looking back at me with a warm smile. I think he was as hopeful as I was about where this could lead to. ‘We need all the hands we can get.’I looked at the tight swell of his shirt against his chest, and thought, 'Mmm, yes, I can imagine my hands getting your fucking clothes off right now.
Fiona Thrust, Naked and Sexual|Once I had a wild fling on an otherwise boring weekend holiday in Edinburgh, with a guy I met who turned out to be a psychiatrist. He agreed with me, after hours and hours of our naked cavorting in a hotel, that I was a sex addict; although he did stress he wouldn’t change me for the world. It turned him on that I was so sexual, and we turned a dull weekend in a grey city into something wonderful for the two of us.So, what was the problem?
Israelmore Ayivor, The Great Hand Book of Quotes|Leave no "full stop" in between the sentences that make up your life story. If anything, let "commas" show that when you were brought down by challenges, you rose up with passion and moved on again!
Israelmore Ayivor, Shaping the dream|People are eager to walk in other people's pair of shoes that does not fit them. The result is that, their dreams begin to imitate a "tortoise" walk and that I guess is already uncomfortable!
Mallanaga Vātsyāyana, Kama Sutra|A person acquainted with the true principles of this science, who preserves his Dharma (virtue or religious merit), his Artha (worldly wealth) and his Kama (pleasure or sensual gratification), and who has regard to the customs of the people, is sure to obtain the mastery over his senses. In short, an intelligent and knowing person attending to Dharma and Artha and also to Kama, without becoming the slave of his passions, will obtain success in everything that he may do.
Kantor|This pursuit of unavailable distant people has oedipal roots.… fearing the consequences, they make certain that they fail at the attempt.”―Distancing, Kantor (p.115)
Trish Kaye Lleone, Finding Anna: A Memoir: The True Story of Child Sexual Abuse|I am passionate about the things that I believe in like equality, free will, justice and love.
Roberto Bolaño, 2666|Reading is like thinking, like praying, like talking to a friend, like expressing your ideas, like listening to other people's ideas, like listening to music (oh yes), like looking at the view, like taking a walk on the beach.
Israelmore Ayivor, Shaping the dream|A good coach can be a caring parent, a wise teacher, an exemplary pastor, a passionate friend or a devoted mentor. Keep in touch with all of them especially at the time they are needed.
Israelmore Ayivor, Shaping the dream|The evidence of Martin Luther King Jnr’s “I have a dream” declaration was a passionate confirmation of how a dream meant for liberation, success and fulfilled life can become true.
Pushpa Rana, Just the Way I Feel|Before he could say anything, "I told him; I have had my share of boys".He drew me closer and said "let me your man then".
Loren Mathis, Swift Strike|Since Rose, he’d never wanted to be the right guy for anyone. He hadn’t wanted to carry that extra burden. He liked things nice and simple. But things sure as hell weren’t simple with Lena. They’d never been simple with Lena. Things with Lena had been one hundred shades of unadulterated complication from day one. That fact alone should have sent him running in the opposite direction with all the speed of an Olympic gold medalist. But no, here he stood. Holding on to her as if his life depended on it. Heaven help him, his life probably did depend on it.
Israelmore Ayivor, Shaping the dream|The binding factor between knowing something and doing it is "passion". When your passion is concentrated in what you know, your work output will bind well.
Israelmore Ayivor, Shaping the dream|Do what you choose to do with all your heart, head and hands! Your attitude determines how passionate you do what you chose to do.
Claire Dyer, The Perfect Affair|After all, she knows how painful it can be not to follow your heart and she knows about the obstacles and about loyalty and duty and about the countless kinds of love. If only Eve and Myles were freer to make the right choices, she thinks.
Meeta Ahluwalia|Those who tried to fill the void with passion, were engulfed by it’s flames.
Bruce Crown, Chronic Passions|A perfect example, in matters of life and death, of love and passion, of choice or destiny; options decrease to a singular course.
Pushpa Rana, Just the Way I Feel|Writing is my passion, expression and an incessant obsession.
Jacob Nordby|You can’t know this right now, but…your ragged, rugged honesty…your crazy, passionate, naked vulnerability…your trusting plunge into the unknown of Life at every turn…your journey of love and healing…these change your world, the world of those around you and the world as a whole.Someday you’ll know how important you are.
Michael Bassey Johnson|Its funny when people recently change their attitude to gain entrance into your heart, which may only ignite your passion to close the door.
Aleksandra Ninkovic, Dreaming is for lovers|I had a dream about you. Again. In fact I've had so many dreams about you that I can almost feel your skin under my fingertips and your breath every time we kiss. This time when you pulled me closer, even though I couldn’t see you, I knew it was you. I've heard your footsteps, and recognized them instantly. I’d recognize them anywhere, among many others. The way I yearn for you, you are always expected. And now I expect you to do just that. Kiss me. This time I am asking for it, because I need to make sure I am awake.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Brightly burning passion is the releasing of your essence, your specialness and your gifts to the world.
Heidi Reagan|Sometimes we have one chance, to ride that wave, one opportunity to jump on, take a deep breath and feel the rush of adrenaline. . . don't miss your chance.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|One passionate heart can brighten the world. From person to person the chain reaction burns through us — setting heart to heart ablaze, and lighting the way for us all!
Michael Bassey Johnson|When a woman is romantically subdued, all she does at that moment is under the influence of her desires.
Pooja Ruprell|Live each day like you are celebrating your birthday—that is what life wants for you. Engage with family and friends. Indulge in good food, music and dance. You are precious to life.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Having a purpose is one thing, but the quickening is a total animation of passion.
Marcel Proust, Swann's Way|Bodily passion, which has been so unjustly decried, compels its victims to display every vestige that is in them of unselfishness and generosity, and so effectively that they shine resplendent in the eyes of all beholders.
Jennifer Megan Varnadore|You should find what sets you on fire, what you are passionate about, and then you should do that. No matter the risk.
Friedrich Nietzsche, Thus Spoke Zarathustra|As yet hath his knowledge not learned to smile, and to be without jealously ; as yet hath his gushing passion not become calm in beauty.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Life wants you to live in total alignment with true love, passion and integrity.
Susan Catalano|The kiss grew into so much more than anything that had come before, unfettered by a time that strived to contain passion, born from perceived loss and glorious gain.
Heidi Reagan|When we connect with our personal authenticity and truth, the vitality that is triggered becomes an eternal spring of regenerative passion that continues to expand our experience.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|It is essential that you follow your own idea of passion, even if to others it looks like suffering.
Julie Connor, Dreams to Action Trailblazer's Guide|Your life is enriched with meaning when allow yourself to become inspired, set goals, and charge after them with passion.
Pooja Ruprell|Let your faith in the Universe deepen, purify and strengthen most on your troublesome, dark days. If you close your eyes in prayer, surrendering every problem and desire, you will find a way out without fail.
Pooja Ruprell|From today, may you cease to exist except as an expression of the divine intention of your Creator. May you tune in to the celestial melody of love, compassion and courage each and every moment of the day. May all the relationships in your life represent the perfect opportunities to fulfill your true calling.
Pooja Ruprell|Faith determines your destiny, not your reality.
Pooja Ruprell|When we make appreciation the central theme of our value system, then all the painful elements of our past become meaningful lessons we could not have done without. Acceptance becomes natural when we become adept at finding the silver lining, even in the most challenging circumstances.
Antonin Artaud, The Theater and Its Double|If there is still one hellish, truly accursed thing in our time, it is our artistic dallying with forms, instead of being like victims burnt at the stake, signaling through the flames.
Eric Micha'el Leventhal|In the search for truth,what you believe matters lessthan how you believe.
Alexis de Tocqueville, Democracy in America|The passion for war is so intense that there is no undertaking so mad, or so injurious to the welfare of the State, that a man does not consider himself honored in defending it, at the risk of his life.
Pooja Ruprell|Be the light. Be the love. Not to one or two selectively, but to each person who crosses your path today and every day.
Pooja Ruprell|Look for excuses to celebrate others, and life will find a way to celebrate you.Make your life a prayer and be the light that touches lives far, wide and beyond.
Pooja Ruprell|You are beautiful, brilliant, perceptive and pure beyond compare. Your folly lies in being unaware of your inner power and living a mediocre existence.
Pooja Ruprell|Truly worthy are those who become brighter as the days get cloudier so that their light shines through, regardless of how hard the clouds are working to block their radiance.
Pooja Ruprell|Where there is a blanket of hate, uplift it with the strong arms of love. If there is pain, heal it with your kind words and gentle touch. In the face of anger, stay so calm and unfazed that anger leaves the room.
Pooja Ruprell|Cherish every person and all opportunities. Have no fears, no doubts and no regrets. Focus on what you can give, not on what you can get.
Pooja Ruprell|Practice unfettered living from the heart, abandoning all self-imposed limitations to emerge a new, creativity unleashed, giving of yourself like never before.
Pooja Ruprell|Delivering everyday greatness, or not, is up to you.
Pooja Ruprell|Being a messenger of love is all about caring for every person in your orbit unconditionally and ceaselessly. The harder the other person makes it for you, the more love you need to send their way.
Pooja Ruprell|The instant you take the lead in the tug-of-war with your ego, enlightenment becomes your state of being.
Pooja Ruprell|Prayer is a connection from your heart with a force that is powerful beyond measure, loves unconditionally and impartially, and embraces you whenever you turn to it.
Pooja Ruprell|Within you exists the same power that rests with the Universe, for you are not separate from the source you pray to.
Pooja Ruprell|Do not turn to prayer only in times of grief, suffering and rage. Make prayer a habit whether you are blissful or sorrowful, serene or upset, clear or confused.
Pooja Ruprell|A clear prayer for which you take sole responsibility has no option but to manifest, if not today or tomorrow, then the day after that.
Pooja Ruprell|When in prayer, there is no need to implore, beg or repeat. You have been heard, and your wishes will be granted perfectly at the right time. Relax, be patient and do not fret.
Pooja Ruprell|You have been called. Know that. Understand that. Imprint it deep in your heart and set out on your mission in whatever way you can, here and now! The world is waiting for you.
Pooja Ruprell|If today is the last day of your life, the one thing you want to say is that you showed up for life. You showed up for your dreams. You showed up for the people who mattered to you. And above all, you showed up for yourself.
Rusty Blackwood, Passions In Paris: Revelations Of A Lost Diary|Love, is there even a true description other than knowing your heart will cease to beat without that certain someone in your life?-Rusty Blackwood
Pooja Ruprell|Be thankful for all you gain. Be thankful for what you lose, too. Find a reason each day to celebrate your life.
Pooja Ruprell|Our eternal existence depends not on how much we have, or the network and power structure we have attained, and definitely not on our title or accomplishments at work. It depends on how much courage we exhibit in difficult times, the number of people we bring a smile to, and our sincerity at work, home and in society.
Sandra Cisneros|We're going to right the world and live. I mean live our lives the way lives were meant to be lived. With the throat and wrists. With rage and desire, and joy and grief, and love till it hurts, maybe. But goddamn, girl. Live.
John le Carré, The Constant Gardener|He sees passion in her gray eyes, and it scares him as all passion scares him, his own included.
Willa Cather, The Song of the Lark|Her secret? It is every artist's secret--passion. That is all. It is an open secret, and perfectly safe. Like heroism, it is inimitable in cheap materials.
Mark Denman|When the world asks "what was it like?" Only the photographer can say "See!
Arthur Conan Doyle, The Lost World|The bent head, the averted eye, the faltering voice, the wincing figure- these, and not the unshrinking gaze and frank reply, are the true signals of passion.
Ellen J. Barrier, The Price We Must Pay for Our Father's Sins|Within the nature of every person is a desire to feel appreciated, to feel needed, and to be loved.
Richard J. Borden, Ecology and Experience: Reflections from a Human Ecological Perspective|My passion for human ecology was not a drive for closure—but rather the joy of endless openings and newfound connections. There is no final goal or perfect completion, only the expanding experience of being alive.
Allie Burke, Paper Souls|Now, Emily didn't make a sound. There was something more defining about the soundless reality that condemned the paradigm of passion.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|Attraction is so much more than a pretty face. It’s face is passion, attitude, kindness, & faith.
Sameh Elsayed|For those who were born lovers, falling in love is not neither an option nor a decision. it is a matter of existence.
Tim Kreider, We Learn Nothing|I don't know why we take our worst moods so much more seriously than our best, crediting depression with more clarity than euphoria. We dismiss peak moments and passionate love affairs as an ephemeral chemical buzz, just endorphins or hormones, but accept those 3 a.m. bouts of despair as unsentimental insights into the truth about our lives.
Pooja Ruprell|Be open to surrendering all preconceived notions, well-thought-out plans and annual to-do lists.
Marlena de Blasi, A Thousand Days in Venice|We violate the innocence of things in the name of rationality so we can wander about, uninterrupted, in our search for passion and sentiment.
Sameh Elsayed|For those who were born lovers, falling in love is neither an option nor a decision. it is a matter of existence.
Pooja Ruprell|Success is for those who are persistent in the face of reality. The harsher the truth, the stronger they hold on to their dreams.
Pooja Ruprell|Prayer elevates and transforms you. Nourish your soul using this powerful communication tool every day, and you will never be the same again.
Pooja Ruprell|Life is beautiful. Like a beautiful blue wave, it ebbs and flows, sometimes gushing forth and sometimes receding quietly.
Sameh Elsayed|When you pray to God asking for something, make sure you are asking for the things that are driven by love and passion rather than the ones that are pushed by hate and anger.
Pooja Ruprell|Gratitude heals, cleanses and purifies.
Pooja Ruprell|You are enough exactly as you are, whether you believe it or not.
Yvonne Pierre, The Day My Soul Cried:  A Memoir|Don't be discouraged if people don't see your vision, your harvest. All they see from their perspective is that you're watering a whole lot of dirt. They don't SEE what seeds you've been planting with blood, sweat, tears and lack of sleep. Make sure you don't abandon or neglect it because "they" don't see it. You have to KNOW and believe for yourself. They don't see the roots and what's budding under the dirt. But it's okay, because it's NOT meant for them to see it. While you wait, MASTER it. You continue to do YOUR work and have unwavering faith! Remember why you started planting in the first place. Your harvest WILL come!
Frank Miller, Sin City, Vol. 3: The Big Fat Kill|The fire, baby. It'll burn us both. There's no place in this world for our kind of fire. My warrior woman. My valkyrie. You'll always be mine. Always. And never.
Genevieve Dewey, The Good Life|I want to be with you, Demetria. Go on dates, have sex and pointless arguments, figure out why you like to eat rabbit food, be the person you call first when you’ve had a bad day, come over and hold your hair when you’re sick. How much clearer can I make this?
Thucydides, History of the Peloponnesian War|I think the two things most opposed to good counsel are haste and passion; haste usaully goes hand in hand with folly, passion with coarseness and narrowness of mind.
Lisa Kleypas, Again the Magic|Sturm und Drang?”“Ah…I see that I’ll have to introduce you to the finer points of German literature. It means passionate turmoil—literally translated, ‘storm and stress.’ 
Soar, Yours, poetically: Special Deluxe Edition of Selected Poems and Quotes|Beautiful feelings soar freely, while true care roots deeply. Real love can only bedefined by them both.
Israelmore Ayivor, The Great Hand Book of Quotes|Your intelligence enhances your ability to think and recollect, dream and set realistic goals. Your stamina is built on your passion for progress and willingness to excel... When you have a great stamina, you can make great impact even with a low intelligent quotient!
D.A. Rhine, Vampires of the Chesapeake: Rees Morgan|When her gaze landed upon his lips, he scooted closer and brushed his mouth over hers. Fire ignited low in his belly and desire coursed through his veins. No doubt, his John Thomas was doing all the thinking; he knew he should listen to the head between his shoulders, the one telling him this was a mistake, but the one between his legs was more insistent.
Soar, Yours, poetically: Special Deluxe Edition of Selected Poems and Quotes|If you want the light, like you say you do, then why do you keep it strangled in thedark? If you preach love, like you strive to, why do you run away from practising?My love,the universe you fumble for doesn’t exist, if you don’t start from within. Before you,all that I can be is eyes and heart. And all that I can do is to remain by your side,for I can’t love you any less than the more I do now.
Soar, Yours, poetically: Special Deluxe Edition of Selected Poems and Quotes|At times, love is silent because of too much hurt or too much care. At all times,love is the strongest voice you can always rely on.
Julie Connor, Dreams to Action Trailblazer's Guide|When you imagine and clearly articulate your goals in writing, you access the creative energy of your right brain. Imagination and creativity allow you to find solutions to problems that were not previously available to you and give your left brain an opportunity to be receptive to new ideas.
Soar|Although steady and slow are the trail to love, there is no path to see through without the engine of passionate and true. (Soar)
Pooja Ruprell|Where love is absent, violence is a glaring possibility. Introduce love into any situation and violence gradually evaporates.
Balroop Singh|When you start living under the shadow of somebody, you lose your own personality and your own passions.
Pooja Ruprell|Whatever you do, listen for your inner voice. Do not ignore it.
Pooja Ruprell|Somewhere there is a drummer calling to you too, and playing your special beat.
Nikki Sex, Fate|Fear, anxiety, arousal, and pain; all are emotions and sensations. They are neither right, nor are they wrong; good nor bad. They are simply passions, a most important part of life. Feel them, fully experience them, surrender to them, and learn to accept them. As a submissive, you must let go. André Chevalier
Shannon L. Alder|When you settle for anything short of the best life God wants to offer you, then you have been tempted to remain safe and the accountability for not changing your life becomes your prison of regret.
Catherynne M. Valente, Deathless|Let us be greedy together; let us hoard. Let us hit each other with birch branches and lock each other in dungeons; let us drink each other's blood in the night and betray each other in the sun. Let us lie and lust and take hundreds of lovers; let us dance until snow melts between us. Let us steal and eat until we grow fat and roll in the pleasures of life, clutching each other for purchase.
Amaka Imani Nkosazana|Never chase a person, because if they want to be in your life, they will. It amazes me how people go out their way for someone who does nothing for them, doesn't encourage or support their efforts. Stop seeking attention from people who don't give you the time of day. Value your time, comfort your spirit, have peace of mind. There are people who love you and care about you.Give your smiles to them, Reciprocate!
Lundy Bancroft, Why Does He Do That?: Inside the Minds of Angry and Controlling Men|Outside of my professional life, I have known many couples over the years who had passion and electricity between them and who treated each other well. But unfortunately there is wide acceptance in our society of the unhealthy notion that passion and aggression are interwoven and that cruel verbal exchanges and bomblike explosions are the price you pay for a relationship that is exciting, deep, and sexy. Popular romantic movies and soap operas sometimes reinforce this image.
Israelmore Ayivor, The Great Hand Book of Quotes|Love is an admiration that comes with patience. Lust is an admiration that comes with impatience. In all, admiration is common but patience is not!
Roman Payne|The season was waning fastOur nights were growing cold at lastI took her to bed with silk and song,'Lay still, my love, I won’t be long...I must prepare my body for passion.''O, your body you give, but all else you ration.''It is because of these dreams of a sylvan scene...A bleeding nymph to leave me serene...I have dreams of a trembling wench.''You have dreams,' she said, 'that cannot be quenched.''Our passion,' said I, 'should never be feared...As our longing for love can never be cured...Our want is our way and our way is our will...We have the love, my love, that no one can kill.''If night is your love, then in dreams you’ll fulfill...This love, our love, that no one can kill.'Yet want is my way, and my way is my will,Thus I killed my love with a sleeping pill.
Li-Young Lee, The City in Which I Love You|but in the cityin which I love you,no one comes, no onemeets me in the brick clefts;in the wedged dark,no finger touches me secretly, no mouthtastes my flawless salt,no one wakens the honey in the cells, finds the hummingin the ribs, the rich business in the recesses;hulls clogged, I continue laden
H. Rider Haggard, Allan Quatermain|Passion is like the lightening, it is beautiful and it links the earth to heaven, but it blinds.
Marty McConnell|leaving is not enough; you muststay gone. train your heart like a dog. change the lockseven on the house he’s nevervisited. you lucky, lucky girl. you have an apartment just your size. a bathtubfull of tea. a heart the size of Arizona, but not nearlyso arid. don’t wish away your cracked past, your crooked toes, your problemsare papier mache puppetsyou made or bought because the vendorat the market was so compelling you justhad to have them. you had to have him.and you did. and now you pull down the bridge between your houses,you make him call before he visits, you take a loverfor granted, you take a lover who looks at youlike maybe you are magic. makethe first bottle you consumein this place a relic. place it on whatever altar you fashionwith a knife and five cranberries.don’t lose too much weight.stupid girls are always trying to disappear as revenge. and you are not stupid. you loved a manwith more hands than a parade of beggars, and here you stand. heartlike a four-poster bed. heart like a canvas. heart leaking something so strong they can smell it in the street.
Janet Autherine, Growing into Greatness with God: 7 Paths to Greatness for our Sons and Daughters|Greatness is finding your natural talent, fueling it with passion, planting it in well-nourished soil, and toiling in the garden until it breaks through the earth and reaches for the stars.
Charlotte Beers, I'd Rather Be in Charge: A Legendary Business Leader's Roadmap for Achieving Pride, Power, and Joy at Work|Perfection, in the form of a flawless stream of words delivered with cool composure, is never as persuasive as realness. An impassioned but imperfect speech, which shows you care too much to hide flaws, is far more compelling.
Israelmore Ayivor, The Great Hand Book of Quotes|Good self-esteem comes from positive self-imaging. Positive self-image make you to resist wrong definitions others give about you, guiding you to live life with enthusiasm and will!
Carlos Ruiz Zafón, The Shadow of the Wind|Right then, in a nutshell: this one hasn't a single bone of obedient-little-wife material in her heavenly body.''Hasn't she? Then what kind of bone does your expertise detect?'Fermin came closer, adopting a confidential tone. 'The passionate kind,' he said, raising his eyebrows with an air of mystery. 'And you can be sure I mean that as a compliment.
Mark W. Boyer|A heart given freely is the most vulnerable and selfless thing one can offer another human being. It can be as fragile and needy as a newly born infant, or as solid and self-supporting as a granite pillar, yet it is the hands of the recipient that determines its ultimate fate.
Harshada Pathare|Love blinds me so deep and dark, I see the world full of innocence, thoughts filled with affection, time brimming with hope and future flowing with my dreams.
Kate White, Eyes on You|At forty-one, he was still the quintessential bad boy—charming, at ease in his skin, and great-looking, with deep blue eyes, slicked-back brown hair, and the kind of full, sensuous mouth that bad boys seemed to have an unfair market on.
Ifeanyi Enoch Onuoha|Great men don't strive for greatness, theysimply do great works.
Julie Connor, Dreams to Action Trailblazer's Guide|When you dream, do not worry about how you must orchestrate events to ensure your success. Focus instead on why your dream is important to you. When you define your dream with razor-sharp clarity and articulate why you want to pursue it, answers about how to do it will begin to become clear.
Charles Wheelan, 10 1/2 Things No Commencement Speaker Has Ever Said|Obituaries are just like biographies, only shorter. They remind us that interesting, successful people rarely lead orderly, linear lives. I defy you to find a single obituary that begins, "Jane Doe won the Nobel Prize in large part because she was admitted to a prestigious, highly selective preschool. After that, everything just kind of fell into place." Instead, you will read about dead ends, lucky coincidences, quirky habits, excessive self-confidence (often interspersed with bursts of excessive self-doubt), and a lot of passion for something.
Amaka Imani Nkosazana|Preparation is essential to achieving your goals in life. You don't want to miss a great opportunity because you were not prepared. Determination and motivation will put you on the right track. You've got the passion, that driving desire to be successful. But, you must take certain steps to put you in a position to be readily available for the reward.
