ETC Wanyanwu|I walk, talk and act like a king even though I know there's no royalty in my bloodline
Mark Batterson, All In: You Are One Decision Away From a Totally Different Life|Nine times out of ten, failure is resorting to Plan B when Plan A gets too risky, too costly, or too difficult. That's why most people are living their Plan B. They didn't burn the ships. Plan A people don't have a Plan B...There are moments in life when we need to burn the ships to our past. We do so by making a defining decision that will eliminate the possibility of sailing back to the old world we left behind. You burn the ships named Past Failure and Past Success. You burn the ship named Bad Habit. You burn the ship named Regret. You burn the ship named Guilt. You burn the ship named My Old Way of Life.
Farshad Asl, The "No Excuses" Mindset: A Life of Purpose, Passion, and Clarity|The difference is that instead of turning the reality of your situation into an excuse, a “No Excuses” mindset turns it into a purpose that will propel your career and your life beyond its current state.
Manuel Corazzari|reading books is great, reading pictures much better, especially those that shows you the future #quote
Akansh Malik|To achieve something, you need to be a little selfish...!!
Mark Batterson, All In: You Are One Decision Away From a Totally Different Life|If you aren't willing to look foolish, you're foolish. And that's why so many people have never built an ark, killed a giant, or walked on water.
Abhijit Naskar|You never want one thing at any given moment of life. Your mind always comes up with at least two choices. If your limbic system wins, the choice you make seems to be pleasurable at first but in the long run ends up being the wrong one. And if your prefrontal cortex wins the choice you make may appear rough at first, but in the long run it turns out to be the right one.
Lailah Gifty Akita|As long as we persevere, we shall succeed in any endeavour.
Auliq-Ice|We often don’t realise how much strength we have until challenged to use it. Once tested, we know how strong or weak we are.
Auliq-Ice|Through challenge and difficulty, we learn to see life differently than before.
Connor Franta, A Work in Progress|Success involves failing first. Ask any successful person. Ask any experienced person, really. It's all part of the creative process, so sit back and allow the artist within you to sprout, blossom and flourish. You must accept that your first, second, and third attempt at something might suck. It's a necessary step in improving your skill. Failure is your teacher, not your judge.
Auliq-Ice|Our trials are our greatest teachers, mentors and benefactors.
Farshad Asl, The "No Excuses" Mindset: A Life of Purpose, Passion, and Clarity|Transformation takes place within us when we learn to be intentional and go from focusing on me to others, success to significance, limited to limitless, and scarcity to abundance.
Germany Kent, You Are What You Tweet: Harness the Power of Twitter to Create a Happier, Healthier Life|You can't be jealous of someone else's results. You don't know the prayer, process, sacrifice, and work they endured for it.
Val Uchendu|Success is the ability to turn a pickle, a bump or an epic failure into an opportunity for success
Farshad Asl, The "No Excuses" Mindset: A Life of Purpose, Passion, and Clarity|The "No Excuses" Mindset is an investment in yourself, allowing you to turn your excuses for failure into purposes for progress. The shallowness of your previous failures has become a deep well of recourses for success.
Farshad Asl, The "No Excuses" Mindset: A Life of Purpose, Passion, and Clarity|The home is a place where we show our children that we can communicate, learn, and succeed together.
Pushpendra Mehta, The Suitable Inheritor|Pursue your passion, work with your intuition learn as a child and adapt as water.
Sandeep Sahajpal|People blame their failures on past birth, destiny, surroundings, and rarely to self in the order of their evolved mental state. The converse is rather more true for the successful people.
Pawan Mishra, Coinman: An Untold Conspiracy|...he had also acquired a peculiar academic quirk. During exams, he knew all the answers but wasn’t able to successfully map his answers to the right questions. So as soon as an exam started, he simply started putting his answers in the order in which he remembered them. Every time he moved to a new class, his parents made the new teachers aware of this snag. The teachers acknowledged it and reassured the parents that they’d match his answers against the appropriate questions.
Gabriella Marigold Lindsay, Living F.I.T.: A 40-Day Guide to  Living Faithfully, Intentionally, and Tenaciously|Tenacity is essential for accomplishment in anything you do. Without drive, determination and a strong-willed attitude, one's level of success at many endeavors will be limited in scope.
Santosh Adbhut Kumar|Success is a journey of learning. One who imbibe theLearning, achieves the SUCCESS!!!
Oscar Bimpong|A positive Mindset attracts Success like a magnet and a negative one loves to marry failure, procrastination and comfortable environment that sobs in mediocrity and impossibility.
Oscar Bimpong|In the field of business, you are a hunter. For sure you will not be successful all the time when you go hunting. However, there is the potential that you can have a bumper harvest one day that can turn your life around. It is better to live an unexpected life than to live a life of expectation. Pursue your dream today.
Oscar Bimpong|You cannot influence if you a reserve player. Until you get to the pitch to exhibit the difference you will bring to the team, you cannot influence the team to success.
Farshad Asl, The "No Excuses" Mindset: A Life of Purpose, Passion, and Clarity|A 20/20 mindset produces uncontainable joy and peace. These fruits allow you to live more creatively, effectively, and positively. When your life is in alignment with your purpose and passion, then working hard and creating value are inherent and success becomes a given.
Farshad Asl, The "No Excuses" Mindset: A Life of Purpose, Passion, and Clarity|A 20/20 mindset eradicates any source of fear, doubt, and uncertainty. It produces a balanced life in which you are living your purpose and being fueled with your passion. You are connected directly to the source of greatness. Success is then a graceful gift.
Auliq-Ice|When you resolve to do a thing, you make a decision to act, to go all the way, come hell or high water. It’s something you’re committed to accomplish, having firmly decided to see it through to the end.
Auliq-Ice|Through our trials and tribulations, our stint in the wilderness of our lives, if you will, we come face to face with our darker traits, do battle with them, and round off the rougher edges of our character in the process.
Auliq-Ice|After failure, You must resolve to do whatever the object of your resolution is.
Auliq-Ice|As we go, we become more deeply committed to a life of purpose and meaning and personal decency as we come to feel a broader connection to the shared experience of humanity.
Auliq-Ice|If you want to see your life improve, your dreams come closer to fruition, and happiness deepen in your life, don’t give up on anything you are doing.
Auliq-Ice|Surrender is not an option, keep trying is the answer.
Auliq-Ice|If you stumble, you get back up. If you fall off the wagon, you have the next go at it. And then the next. And the next. And the next.
Craig D. Lounsbrough|My definition of success is not based on achieving the impossible, but rather surviving the probable. And with a threshold that horribly low, simple survival cannot help but become my highest aspiration.
Craig D. Lounsbrough|Far too often the ‘things’ that men define as success do little more than successfully destroy the lives of the very men who achieve those ‘things.’ And while I must admit that there is an authentic element of success in all of that, it’s the kind of success that I would much prefer to successfully avoid.
Janna Cachola|There is no such thing as a weakness, only blindspots. No such thing as failure, they are just detours and scenic routes to remember your success
Izey Victoria Odiase|Change is automatic, but Growth is intentional.
Deepak Burfiwala, Self-Ignorance Is Your Problem. Self-Awareness Is Your Solution.: Success Is Your Birthright! Life Is Yours and You Are the Pilot of It, Do Something about It.|self-education is the education of your inner infinite creative resources and essential to get if you want to live a life of freedom, abundance and fulfillment.
Charlie Houpert|Adele doesn't need any ironic detachment. She can love and appreciate the talent of others without feeling threatened herself. This is often very hard for people. We usually worry that someone else's talent or success is being compared with our own so we take the role of a critic and evaluate people harshly in order to protect our own egos.People like Adele focus on what they like and they ignore the comparisons. Plus, they let the people around them know when they found something that they love about their work or their art.
Idowu Koyenikan, Wealth for All: Living a Life of Success at the Edge of Your Ability|But if you forgive someone for something they did to you, it doesn’t mean you agree with what they did or believe it was right. Forgiving that person means you have chosen not to dwell on the matter anymore; you have moved on with your life.
Avis J. Williams|Ignite the light within you, it will make your world brighter.
Farshad Asl|Happiness attracts success. Happy people perform at a much higher level with less burnout, greater productivity, and more resilience. You can't win being unhappy.
T Jay Taylor|If you're looking for the easy challenge, you're not cut out for success.
Farshad Asl|Success is not achieved, it is attracted.
Farshad Asl|I only have one plan, to give it my all ... I AM AN ENTREPRENEUR.
Rabindranath Tagore, The Home and the World|Life is indefinite--a bundle of contradictions. We men, with our ideas, strive to give it a particular shape by melting it into a particular mould--into the definiteness of success.
Farshad Asl|The triangle of success for an Entrepreneur is not only composed of his Net Worth, but also his Self Worth, and Net Works.
Garry Fitchett|In success, knowledge - In failure, lessons.
Auliq-Ice|Life is not the obstacle to human happiness. Life simply provides the opportunities to learn Life’s lessons and develop in ways, and acquire the necessary characteristics that can only be acquired through those opportunities Life provides.
Ernest Agyemang Yeboah, Religion, Philosophy and life|There are so many lenses through which we look at life. There are so many lenses through which we perceive others. There are so many lenses through which we interpret things that happen to us in life and there are so many lenses that give us not just the different perspectives about life, but how we behave towards life and other people due to the reasons we have! Wealth influences our reasons and poverty directs our actions. Failure shows us a different way to behave and success gives us a different reason for action.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|You are surrounded by ignorance, savagery and fanaticism. You live in a society where everyone thinks he/she knows about everything in the whole universe. If you find yourself among those intellectual idiots, then being good and humble may give rise to doubts in your mind about your own ideas. So, you must first learn to distinguish between real and shallow intellect. Then, as a self- preservation tactic, you need to let your pretence of arrogance grow as big as a Dinosaur, so that the fake intellectuals start to realize their true inferiority in front of you.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|You must hiss at people who intend to undermine your individuality with their false pride and intellectual stupidity. You must frighten them away, lest they should do you harm. Act like you have a lot of venom inside you, but never inject them into anyone.
M.F. Moonzajer, The Journalist: Attack on the Central Intelligence Agency|You can be good at many things, but you can only be great at one thing, until you find that thing, you are an average loser.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Realize yourself. Realize your abilities. Be sincere to nobody else, but yourself. Keep walking on the path of bravery. Keep walking on the path of your passion. Keep walking, and do not stop until you reach your goal.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Never focus your attention on what the world has to say about you. Rather turn your focus inside and listen to what your inner voice has to say to you. You can find the answers to the most complicated questions of life from your deepest self. Pay attention and listen. Your inner self has to say something to you. Listen to that eternal entity within, and you shall discover the way through which you’ll reach your goal.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Have faith in yourself. All the power is in your biology already. Be conscious of that power and bring it out. Remember, truth is indestructible, virtue is indestructible, purity is indestructible.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|All achievements begin with the simple cognitive faculties known as perception and imagination. Expand your perception. Expand your imagination. Be aware of your inner strength. Realize yourself. Realize your abilities. Be sincere to nobody else, but yourself. Keep walking on the path of bravery. Keep walking on the path of your passion. Keep walking, and do not stop until you reach your goal. And remember, there will always be another goal to be achieved. So, have pleasure from the pursuit.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Pay attention and listen. Your inner self has to say something to you. Listen to that eternal entity within, and you shall discover the way through which you’ll reach your goal.
Sola Kosoko|Pain is our salvation 'cos when it's dark enough, a star will reveal itself.
Sola Kosoko|The more you worry about your spending, the less you focus on increasing your capacity.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Light up the radiant flame of conscience, goodwill and compassion in your heart, and go over the length and breadth of your society in the pursuit of shedding light over the whole world. And in time, you’ll become a glorious sun that will shine over the entire human population.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Be brave and upright. Shred the fake mask of humility into pieces. And put on the mask of arrogance if needed. Take the whole responsibility of your surrounding society on your own shoulders. If you consider yourself a human being, who cares for humanity, then, become a brave responsible citizen of the whole world. If not a big banyan tree, at least be like a mango tree under the shade of which a few people can rest. You are the architects of this beautiful world. Build it your way. And nourish it with your modern conscience.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Do not listen to a single soul, but your own inner voice. Foster your will and make it as wild as possible. Dive deep into the mysterious fathoms of the universe and accomplish your purpose by hook or by crook, even if it means going down to the bottom of the ocean to meet your doom.
Allan Rufus|He who takes his eyes off the goal has a good chance of not scoring!" - Allan Rufus -learningcentre (dot)transformationcoach(dot)help/wp
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|With each drop of tear that we shed in our times of excruciating pain, our brain constructs majestic new cellular connections to aid in the pursuit of our passion - in the pursuit of truth.
Manuel Corazzari|The average person will take the excuses, but the leader will always take responsibilities
Jaymin Shah|All the so-called "secrets of success" will not work unless you do.
Noël Coward, Design for Living|Success is far more perilous than failure, isn’t it? You’ve got to be doubly strong and watchful and wary.
Melanie Greenberg, The Stress-Proof Brain: Master Your Emotional Response to Stress Using Mindfulness and Neuroplasticity|When outcomes are uncertain, most of us spend a great deal of energy ruminating, worrying, and second-guessing ourselves. Not only is this a waste of time, but it makes us less likely to succeed
Shadi Kamal Kandil|Sometimes I feel proud of myself, not because of any success I’ve achieved, but because I’m aware of all the difficulties that I have suffered or went through.I’m an eyewitness at all the fear, weakness, frustration, failure, depression, refraction and bad luck moments that I’ve been through alone and which affected significantly but never was able to beat me for so long.This is why I’m proud, because I’m here now stronger that yesterday, I'm still able to stand and continue on my way, still following up my dreams, still trying my best to build better future for me and my family and I will never ever give up!
Robert Wringham, Escape Everything!: Escape From Work. Escape From Consumerism. Escape From Despair.|Comfort and security are all well and good, but not at the cost of liberty, love and lustiness. The Bohemian knows that money, property and status have little to do with the content of one’s character, and that professional success and widespread celebration have little to do with talent. Of value to the Bohemian is spiritual integrity and creative freedom. The Bohemian would sooner live in poverty than submit to an undesirable job.
Sesan Kareem|Each and every one of us has his or her calling. Your calling may spring out of your gifts, potentials, talents, passions or hobby. Every man has his or her own niche, where he can function optimally and this is where his true success lies.
Farshad Asl|I do not know anyone who has gotten to the top without paying the price. It takes an attitude of hard work, commitment and purpose.
Simon Paxton, Man Plan: How to Win at Life, Love, Work and Play by Australia's Only Japanese-speaking Kung Fu Black Belt Magician!|I challenge you to go after whatever it is you want in life. Don't die without trying to be all that you can be. In this book, I'm not encouraging you to sit back, nod and agree with me. I'm strongly encouraging you to go out and live your life to the full, do amazing things and be the best that you can be.
Simon Paxton, Man Plan: How to Win at Life, Love, Work and Play by Australia's Only Japanese-speaking Kung Fu Black Belt Magician!|For me personally, there is one motivating factor more powerful than any other: one day we will all die. Why would you not want to live a full and fun life and be everything that you can be?
Sesan Kareem|The most important ingredient in the soup of life that makes its worthy to relish is the belief that success, greatness, happiness, joy, conquest, victory, triumph, peace and love are indeed achievable.
Sesan Kareem|A man can be richer than Solomon, the richest man that ever lived on our planet earth, or he may be greater than Alexander the Great, the greatest man in history. His name may be felt from the east where the sun rises to the west where it sets. He may travel around the world just like Dhul-Qarnain. Yet, he can still be a loser if he exempts God from his life.
Piyush Negi|This is my time, I don't own anyone but every one wants to get owned by me
Jeanette Coron|Your life may not have gone the way you planned it, but it will go the way it's supposed to.
Santosh Kumar Pyasa|The Truly wasting our personal time is:"Caring About the things; we always says " We don't Care About.
David Sikhosana|Overthinking, also, best known as creating problems that are never there
Rajasaraswathii, I Want to be a Millionaire|The common feature of most of the successful people is, their talent is flexible to suit the needs of time.
David Sikhosana, Time Value of Money: Timing Income|Always put people first, for without them, there is no organization
Roshan Sharma|The law of cause and effect gets clear to you, when you realize the eternal truth within you. The failure or success with life is only because of, getting away and coming closer to the natural process of life.
David Sikhosana|Many people will often say you are a Smart, you are a Genius, give them a chance and they will say it enough for you to start believe it. When you get to that realization, Nothing will ever hold you back
Auliq-Ice|It is better to believe in nothing but success, than to believe in other things without success.
David Sikhosana, Time Value of Money: Timing Income|Customers, Employees and Others in that Order will determine the Success of your Company
Wendell Berry, What Are People For?|Much protest is naïve; it expects quick, visible improvement and despairs and gives up when such improvement does not come. Protesters who hold out longer have perhaps understood that success is not the proper goal. If protest depended on success, there would be little protest of any durability or significance. History simply affords too little evidence that anyone’s individual protest is of any use. Protest that endures, I think, is moved by a hope far more modest than that of public success: namely, the hope of preserving qualities in one’s own heart and spirit that would be destroyed by acquiescence.
Orrin Woodward|Success is simple, but isn't easy because it demands execution, not intentions.
Steve Maraboli|Mindset matters... always. The difference found between the victorious and the envious, the successful and the haters; is mindset.
Steve Maraboli|Emancipate yourself from the impotent mindset of,“It is what it is”. Life does not come labeled; it is what you make it. Dream-Plan-Execute!
Keith Ferrazzi, Never Eat Alone: And Other Secrets to Success, One Relationship at a Time|I remind myself how people with a low propensity for success whose behavior is guided by fear, have a low propensity for success.
Wayne Gerard Trotman|If you're not aiming at perfection, you're not trying hard enough.
Steeven Shaw|Don’t judge people for their success or what they have today, when you don’t know their past.
Roshan Sharma|The true meaning of life lies in learning. When you learn, you understand the things better, when you understand the things better, it reflects in your actions, and when your actions are right, according to the process of life, you are bound to receive the desired result.
Abhijit Naskar, In Search of Divinity: Journey to The Kingdom of Conscience|First visualize your goal in your mind. Then have a leap of faith, and let your passion guide you throughout the process.
Steve Maraboli|You want a great life? Well, greatness is on the other side of that fu**ing wall... don't just go over it, go through it! What are you waiting for?
Samuel Jackson|Life affords no higher pleasure than that of surmounting difficulties, passing from one step of success to another, forming new wishes and seeing them gratified.
Anas Khan|If you know, you are smart then never try to negotiate your intelligence for the inept.
Roshan Sharma|People relates the process of evolution, as growth and success in the material world, rather in reality, the process of evolution, is all about, how you perceive life, with your understanding, in the present moment.
Walter Cronkite|Whatever the cost of our libraries, the price is cheap compared to that of an ignorant nation.
Margaret Mead|Children must be taught how to think, not what to think.
T.H. White, The Once and Future King|The best thing for being sad," replied Merlin, beginning to puff and blow, "is to learn something. That's the only thing that never fails. You may grow old and trembling in your anatomies, you may lie awake at night listening to the disorder of your veins, you may miss your only love, you may see the world about you devastated by evil lunatics, or know your honour trampled in the sewers of baser minds. There is only one thing for it then — to learn. Learn why the world wags and what wags it. That is the only thing which the mind can never exhaust, never alienate, never be tortured by, never fear or distrust, and never dream of regretting. Learning is the only thing for you. Look what a lot of things there are to learn.
Frank Zappa|If you want to get laid, go to college. If you want an education, go to the library.
Doris Lessing, The Golden Notebook|Ideally, what should be said to every child, repeatedly, throughout his or her school life is something like this: 'You are in the process of being indoctrinated. We have not yet evolved a system of education that is not a system of indoctrination. We are sorry, but it is the best we can do. What you are being taught here is an amalgam of current prejudice and the choices of this particular culture. The slightest look at history will show how impermanent these must be. You are being taught by people who have been able to accommodate themselves to a regime of thought laid down by their predecessors. It is a self-perpetuating system. Those of you who are more robust and individual than others will be encouraged to leave and find ways of educating yourself — educating your own judgements. Those that stay must remember, always, and all the time, that they are being moulded and patterned to fit into the narrow and particular needs of this particular society.
Khaled Hosseini, A Thousand Splendid Suns|Marriage can wait, education cannot.
C.S. Lewis|The task of the modern educator is not to cut down jungles, but to irrigate deserts.
Plutarch|The mind is not a vessel to be filled, but a fire to be kindled.
Leonardo da Vinci|Study without desire spoils the memory, and it retains nothing that it takes in.
C.S. Lewis|Education without values, as useful as it is, seems rather to make man a more clever devil.
Jane Austen|Give a girl an education and introduce her properly into the world, and ten to one but she has the means of settling well, without further expense to anybody. 
Nelson Mandela|A good head and good heart are always a formidable combination. But when you add to that a literate tongue or pen, then you have something very special.
Margaret Atwood, The Handmaid's Tale|Ignoring isn’t the same as ignorance, you have to work at it.
Charlotte Brontë, Jane Eyre|Prejudices, it is well known, are most difficult to eradicate from the heart whose soil has never been loosened or fertilised by education: they grow there, firm as weeds among stones.
W.B. Yeats|Education is not the filling of a pail, but the lighting of a fire.
G.K. Chesterton|Without education, we are in a horrible and deadly danger of taking educated people seriously.
Malcolm X|Education is our passport to the future, for tomorrow belongs to the people who prepare for it today.
Socrates|Education is the kindling of a flame, not the filling of a vessel.
Noam Chomsky|The whole educational and professional training system is a very elaborate filter, which just weeds out people who are too independent, and who think for themselves, and who don't know how to be submissive, and so on -- because they're dysfunctional to the institutions.
Isaac Asimov|Self-education is, I firmly believe, the only kind of education there is.
Bill Watterson|You know, sometimes kids get bad grades in school because the class moves too slow for them. Einstein got D's in school. Well guess what, I get F's!!!
Ray Bradbury|I don't believe in colleges and universities. I believe in libraries because most students don't have any money. When I graduated from high school, it was during the Depression and we had no money. I couldn't go to college, so I went to the library three days a week for 10 years.
Henry Ford|Anyone who stops learning is old, whether at twenty or eighty. Anyone who keeps learning stays young.
Phil Collins|In learning you will teach, and in teaching you will learn.
Jane Austen, Pride and Prejudice|There is, I believe, in every disposition a tendency to some particular evil, a natural defect, which not even the best education can overcome.""And your defect is a propensity to hate everybody.""And yours," he replied with a smile, "is wilfully to misunderstand them.
Stanley Kubrick|I think the big mistake in schools is trying to teach children anything, and by using fear as the basic motivation. Fear of getting failing grades, fear of not staying with your class, etc. Interest can produce learning on a scale compared to fear as a nuclear explosion to a firecracker.
Victor Hugo, Les Misérables|Teach the ignorant as much as you can; society is culpable in not providing a free education for all and it must answer for the night which it produces. If the soul is left in darkness sins will be committed. The guilty one is not he who commits the sin, but he who causes the darkness.
Victor Hugo|He who opens a school door, closes a prison.
Thomas More, Utopia|For if you suffer your people to be ill-educated, and their manners to be corrupted from their infancy, and then punish them for those crimes to which their first education disposed them, what else is to be concluded from this, but that you first make thieves and then punish them.
Bill Watterson, The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury|I go to school, but I never learn what I want to know.
Chuck Palahniuk, Invisible Monsters|Game shows are designed to make us feel better about the random, useless facts that are all we have left of our education.
Adelaide Hoodless|Educate a boy, and you educate an individual. Educate a girl, and you educate a community.
Richard Shaull, Pedagogy of the Oppressed|Education either functions as an instrument which is used to facilitate integration of the younger generation into the logic of the present system and bring about conformity or it becomes the practice of freedom, the means by which men and women deal critically and creatively with reality and discover how to participate in the transformation of their world.
Kurt Vonnegut Jr.|All these people talk so eloquently about getting back to good old-fashioned values. Well, as an old poop I can remember back to when we had those old-fashioned values, and I say let's get back to the good old-fashioned First Amendment of the good old-fashioned Constitution of the United States -- and to hell with the censors! Give me knowledge or give me death!
Martha Graham|I believe that we learn by practice. Whether it means to learn to dance by practicing dancing or to learn to live by practicing living, the principles are the same. In each, it is the performance of a dedicated precise set of acts, physical or intellectual, from which comes shape of achievement, a sense of one's being, a satisfaction of spirit. One becomes, in some area, an athlete of God. Practice means to perform, over and over again in the face of all obstacles, some act of vision, of faith, of desire. Practice is a means of inviting the perfection desired.
Johann Wolfgang von Goethe, Early and Miscellaneous Letters of J. W. Goethe: Including Letters to His Mother. With Notes and a Short Biography|Instruction does much, but encouragement everyt
Abraham Lincoln|All I have learned, I learned from books.
Robert Orben|If you think education is expensive, try ignorance.
Jacob Bronowski, The Ascent of Man|It is important that students bring a certain ragamuffin, barefoot irreverence to their studies; they are not here to worship what is known, but to question it.
Malala Yousafzai, I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban|Education is education. We should learn everything and then choose which path to follow." Education is neither Eastern nor Western, it is human.
Nikos Kazantzakis|True teachers are those who use themselves as bridges over which they invite their students to cross; then, having facilitated their crossing, joyfully collapse, encouraging them to create theirown.
James Allen, As a Man Thinketh|A man's mind may be likened to a garden, which may be intelligently cultivated or allowed to run wild; but whether cultivated or neglected, it must, and will, bring forth. If no useful seeds are put into it, then an abundance of useless weed seeds will fall therein, and will continue to produce their kind.
Albert Einstein|It is, in fact, nothing short of a miracle that the modern methods of instruction have not yet entirely strangled the holy curiosity of inquiry; for this delicate little plant, aside from stimulation, stands mainly in need of freedom. Without this it goes to wrack and ruin without fail.
Theodore Roosevelt|A man who has never gone to school may steal a freight car; but if he has a university education, he may steal the whole railroad.
John Holt, Teach Your Own: The John Holt Book Of Homeschooling|Leaders are not, as we are often led to think, people who go along with huge crowds following them. Leaders are people who go their own way without caring, or even looking to see, whether anyone is following them. "Leadership qualities" are not the qualities that enable people to attract followers, but those that enable them to do without them. They include, at the very least, courage, endurance, patience, humor, flexibility, resourcefulness, stubbornness, a keen sense of reality, and the ability to keep a cool and clear head, even when things are going badly. True leaders, in short, do not make people into followers, but into other leaders.
Abigail Adams|Learning is not attained by chance, it must be sought for with ardor and attended to with diligence.
Brigham Young|Education is the power to think clearly, the power to act well in the world's work, and the power to appreciate life.
David Sedaris, Me Talk Pretty One Day|When asked "What do we need to learn this for?" any high-school teacher can confidently answer that, regardless of the subject, the knowledge will come in handy once the student hits middle age and starts working crossword puzzles in order to stave off the terrible loneliness.
Isaac Asimov, I. Asimov|I received the fundamentals of my education in school, but that was not enough. My real education, the superstructure, the details, the true architecture, I got out of the public library. For an impoverished child whose family could not afford to buy books, the library was the open door to wonder and achievement, and I can never be sufficiently grateful that I had the wit to charge through that door and make the most of it. Now, when I read constantly about the way in which library funds are being cut and cut, I can only think that the door is closing and that American society has found one more way to destroy itself.
