Genereux Philip|GOD IS MY PROVIDER I BRAG DIFFERENT, THROUGH HIM ALL THINGS ARE POSSIBLE.
Napz Cherub Pellazo|Sorry” we all say “Sorry” for the wrong things we say and do. But do we always think about the people we love dearly who we say hurtful things to? I don’t think so because if we had think about it sorry wouldn't have become such a popular word today. Sometimes we say so much and act immature as adult. We didn't take the time to realize how much hurt and pain we put that individual in we never took the time to think of the reaction, the feelings and the consequence that we might have to face if what we do turns out to be a matter of life and death.!!!
Dr. Seuss|It's not about what it is, but about what it can become.
Jay Asher, Thirteen Reasons Why|If you hear a song that makes you cry and you don't want to cry anymore, you don't listen to that song anymore. But you can't get away from yourself. You can't decide not to see yourself anymore. You can't decide to turn off the noise in your head.
Neelam Saxena Chandra|When has life listened to anyone?It goes on at its own pace...Limping, when we wish it should run,And when calm desired, sprinting as in a race…
Saaif Alam|When you work hard in a job that suits your living standards, never greed for fortune because you will distract yourself from fulfilling other important priorities and participating in leisure activities in your current life. You will eventually gain the fortune if you set up a wise investment goal by having pride and confidence on your savings.
Napz Cherub Pellazo|You could be the smartest person on earth, but nobody will care if you can’t carry yourself the right way.
Terry Pratchett, Equal Rites|But she’s going to have a lot of problems."THAT’S WHAT LIFE IS ALL ABOUT. SO I’M TOLD. I WOULDN’T KNOW, OF COURSE."What about reincarnation?"Death hesitated.YOU WOULDN’T LIKE IT, he said. TAKE IT FROM ME."I’ve heard that some people do it all the time."YOU’VE GOT TO BE TRAINED TO IT. YOU’VE GOT TO START OFF SMALL AND WORK UP. YOU’VE NO IDEA HOW HORRIBLE IT IS TO BE AN ANT."It’s bad?"YOU WOULDN’T BELIEVE IT. AND WITH YOUR KARMA AN ANT IS TOO MUCH TO EXPECT.
Bhavik Sarkhedi|You are always attracted towards what you can't be or what you are not or what you will never be.If you don't know who you are, just know who you aren't. Simple Introspection.
Jacqueline Simon Gunn|Between the MilesI have always counted the miles.Sometimes they came quick,Other times slow.The distance between things,The way I could know.Close could feel far,And far could feel near.The miles that passed too quickly,The ones I ran out of fear.They weren’t all the same,So I had been told,The unmarked trails,And the days I was bold.Some miles went down,Spiraling so low,When I was afraid to look forward,There was nowhere to go.The sunset came fast,And the day turned to night,But the trails could be endless,If I looked at them right.Everything I knew,All I was told,The conversations left behind,The people who grew old.When the miles stretched out before me,I wanted to sew them at the seam,Looking forward and then back,Holding everything in between.
Friends with benefits|You wanna lose weight? Stop eating fatty!You wanna make money? Work your ass off, lazy!You wanna be happy? Find someone you like and never let him go.
Fakeer Ishavardas|Were I but perfectly normal, I would just not be.
Bhavik Sarkhedi|The grass on the other side will always be greener.But, you will want to go on that side to check how green your side was.
Rebecca Raisin, The Little Antique Shop under the Eiffel Tower|Some days, my life flashes before me in the blink of an eye, until I get to the scenes I wish I could change, and they play over again and again, until I can't see straight. Promise me though, you'll stop pouring every ounce of yourself into work. Save a part of your life for something else.
Rebecca Raisin, The Little Antique Shop under the Eiffel Tower|I chose to remain single because I couldn't commit to one person. But it isn't easy. There are plenty of times when I wonder if I made a huge mistake with some of the men I've loved and let go. Maybe I would have enjoyed love, after the dizzying rapture faded, and was replaced with something more fulsome? Truer, deeper? But I never gave it a chance. And that might have been a huge mistake...
Rebecca Raisin, The Little Antique Shop under the Eiffel Tower|Regret is such a miserable word. But there have been plenty of times alone, where I wished I took the risk and gave someone my heart, and not just a sliver of it. After one stumble, you've pulled the shutters down. Closed up shop. I'm just saying, don't waste your life protecting your heart, or you'll get to the end of it and realize it wasn't worth it.
Napz Cherub Pellazo|No matter what happens, we always have a choice. Even when it seems that there is no option, there is always something else that can be done. What happens in our lives is the result of decisions that we make... "Always Remember the destiny reflect, into a choice we made.
Aberjhani, Splendid Literarium: A Treasury of Stories, Aphorisms, Poems, and Essays|History, too, has a penchant for giving birth to itself over and over again, and those whom it appoints agents of change and progress do not always accept their destinies willingly.
Taylor Jenkins Reid, The Seven Husbands of Evelyn Hugo|You should know this about the rich: they always want to get richer. It is never boring, getting your hands on more money.
Nina George, The Little French Bistro|...Time had seemed infinite when she still had many years and decades ahead of her. A book waiting to be written: as a girl, that was how she had seen her future life. Now she was sixty, and the pages were blank. Infinity had passed like one long continuous day.
Gift Gugu Mona|Some lesson are learnt the hard way, but worthy.
Arundathi Roy, The God of Small Things|only that once again they broke the Love Laws. That lay down who should be loved. And how, And how much.
Balakoteswara Panchakshari|If I really start tweeting about you, 'even the sky will fall in love with me.
Balakoteswara Panchakshari|If you really wanna be a part of my life, you will get wet with the rain of tweets, be ready for that too. With love yours soulmate.
Jellis Vaes|But something happened when I got out into the world, something that changed me. It was the reconnection of being at one with yourself and with this world.
WISDOM KWASHIE MENSAH (WKM)|There is joy in every circumstance. Although the beginning is/might be bitter, there are valuables lessons in between that bring joy.
WISDOM KWASHIE MENSAH (WKM)|There's joy in every circumstance. The beginning is bitter, but in between, there are valuable lessons that bring joy.
Jellis Vaes|Understand one thing very clearly. Because all this: your time, this world, your life in it and all of those opportunities, they have a deadline.
Daryl Gregory, Spoonbenders|The problem with getting old was that each day had to compete with the thousands of others gone by. How wonderful would a day have to be to win such a beauty contest? To even make it into the finals? Never mind that memory rigged the game, airbrushed the flaws from its contestants, while the present had to shuffle into the spotlight unaided, all pockmarked with mundanities and baggy with annoyances.
Maria La Serra, The Proverbial Mr. Universe|We are all on stage, my dear. Sometimes we forget our lines, but luckily an offstage helper can whisper our lines to us until we get back on track.
Lailah Gifty Akita|The quality of our lives lives, depends on the quality of our thoughts.
Lailah Gifty Akita|If you have to do the work, it well.
Brooke Stonex|Your life is your story, so make choices that will write it the way you want it to be written
Lailah Gifty Akita|What we believed, we become.
Lailah Gifty Akita|If only we wait on God's timings, we shall eat of the best fruits from the tree of life in the garden of God.
Lailah Gifty Akita|If we listen, we shall learn.
Trevor Noah, Born a Crime: Stories From a South African Childhood|I don't regret anything I've ever done in life, any choice that I've made. But I'm consumed with regret for the things I didn't do, the choices I didn't make, the things I didn't say. We spend so much time being afraid of failure, afraid of rejection. But regret is the thing we should fear most. Failure is an answer. Rejection is an answer. Regret is an eternal question you will never have to answer to. "What if..." "If only...""I wonder what would have..." You will never, never know, and it will haunt you for the rest of your days.
Barbara Delinsky, Coast Road|It´s like you get started in one direction and pick up speed, and you may forget where you´re going and why,but the momentum takes you there anyway. Only, you find out when you arrive that it isn´t where you wanted to be.
Robin Bertram, No Regrets: How Loving Deeply and Living Passionately Can Impact Your Legacy Forever|Out of the fires of refinement, come the praise of His magnificence, the brilliance of His glory, and the honor of His precious Son, Jesus Christ.
Robin Bertram, No Regrets: How Loving Deeply and Living Passionately Can Impact Your Legacy Forever|God is omniscient, omnipresent, and omnipotent. He is intricately involved in our lives and for that alone, we should be thankful.
Maria La Serra, The Proverbial Mr. Universe|You must not love yourself. I’ll tell you, mademoiselle … your life belongs to you. Only a matter of treating your life a little better and maybe life would treat you better in return.
Lailah Gifty Akita|If you want your dream to come true, you must do a lot of work.
Boniface Sagini, Thrills and Chills: Trudging Through Life|So, the rationale of having written this book is to say an inspiring word to a lot of people who are hurting, crying and sounding defeatist, an inspiring word to millions of people who are living in pain and indigence. I wrote it for a young chap who hopes there is no life after death so that he can finally rest, for a dejected ailing woman who thinks God enjoys torturing her and for some hopeless lad who threatens his friends he’d shoot himself. I wrote it for them and for myself.
Marcella Purnama, What I Wish I Had Known|Grades are still important, buy they are not the most important things. As clichéd as it is, the things you learn outside class is more important than the textbooks you blindly memorize in time for exams.
Sube Singh|If you take care of someone, it does not mean that one should take care of you,someone other will be/has been sent by the God for you
Jay     Long|Second chances are not that important. What's important, is being ready when the first chance is given.
Lailah Gifty Akita|With the grace of hopeful heart, you can overcome emotional shocks.
Mlungisi Simelane|Everywhere you go, make positive deposits, instead of negative withdrawals. If you want to be a Kingdom builder, focus on bringing out the best in others, God will bring out the best in you
Stephen King, Joyland|When you're twenty-one, life is a roadmap. It's only when you get to twenty-five or so that you begin to suspect you've been looking at the map upside down, and not until you're forty are you entirely sure. By the time you're sixty, take it from me, you're fucking lost.
Susan Gable, A Hero to Keep|Breathe in, take what life hands you; hold it, accept it; breathe out, let it go.
Zal|Choose who to cheer for you, not chase who is cheering for you!
Latika Teotia|Don’t be afraid of what could happen or that you may end up in pain if you took a chance on love or life. If you don’t take the plunge you may lead a safe life but it will be drab one. Life is too short to let it just pass by. Grab those short but beautiful moments which may lead to lifetime memories. As Garth Brooks famously sang, “I could have missed the pain but I’d have had to miss the dance.
Debajyoti Ghosh|Human being one should have independent judgment capability and natural intelligence. Human should not behave like a dog - if one dog started to bark, then other dogs joins to bark for support.
Debajyoti Ghosh|Every father and mother who struggle and earn honestly to nurture his children, is also soldier.
Kilroy J. Oldster, Dead Toad Scrolls|There is more than one road to spiritual salvation. We discover a philosophical way of living by encountering the world, culling knowledge from all available resources, and thinking reverently about life.
Sandeep Sahajpal|Cannot put a finger on what precedes the other, bachelor/spinsterhood or self-obsession.
Richelle E. Goodrich, Slaying Dragons|Had life not given me reasons to grieve, I would never have known the healing power of a hug.
Alec Baldwin, Nevertheless: A Memoir|Once you've found some joy, you never want to be without it.
Alec Baldwin, Nevertheless: A Memoir|there was nothing to be ashamed of in doing jobs simply to make a living, so long as those jobs fueled other creative efforts
Avijeet Das|When life seems like an uphill task do not ever give up on yourself or on life! Travel to a new place, learn a new language, embrace a new culture, play a musical instrument, read a good book, watch the sunrise, experience the sunset, go for a swim in the river, hug a tree, sit near the lake, or climb a mountain! You will fall in love with life all over again!
Avijeet Das|You wake up in the morning, then go for a jog, pump up the dumb-bell, and take a shower! Put on fresh and clean clothes and get out of your apartment fast! The day is yours for the taking! Carpe Diem!
Debajyoti Ghosh|Honest struggle after knowing one's destiny is a real fighter spirit. There is no guarantee that good thing will happen with good people, because everything is predestined. Even lord Krishna couldn't save Abhimanyu's untimely death. He even did not teach how to come out from Chakravyuh to Abhimanyu.
Debajyoti Ghosh|Don't expect and wait for justice to happen immediately, it will never happen before the TIME. Also, you never will get beyond your LUCK. Remember that Kurukshetra war took place after a long wait.
sivaprakash Sidhu, SivaprakashG, Sidhu, Sivasidhug|If you want to save your life.. risk your life.." - Sivaprakash Sidhu
Tapan Ghosh, Faceless The Only Way Out|Life is a sail boat ride. Wind, the destiny. But dammit, you are the sailor!
Barbara Delinsky, Escape|Tombstones don´t list jobs, they list relationships-mother, wife, daughter.
Bogdan Vaida|Work hard now and reap the benefits later!^^^ so wrong!Work hard later and rip the benefits now!(What do you want to do when you grow old, travel the world? Instead, get a cosy work place and enjoy the safe life!)
Bogdan Vaida|Yes, but" is actually a "no" with a tie.
Bogdan Vaida|If you don't keep track of great ideas, you'll stop noticing you have them.
Fakeer Ishavardas|Remember, you are as dispensable as the most indispensable king of kings, the mighty lord of silly worldly men.
Edgar Allan Poe, Bon-Bon|If Pierre Bon-Bon had his failings--and what great man has not a thousand?--if Pierre Bon-Bon, I say, had his failings, they were failings of very little importance--faults indeed which, in other tempers, have often been looked upon rather in the light of virtues.
Fakeer Ishavardas|Don't worry. Life goes on. With or without you. So, live it, while it's given you.
Fakeer Ishavardas|Live joyfully this life. Once gone, who knows if we ever get it back. Atheists think we do not. Mystics say you will. Either way, chill.
Fakeer Ishavardas|Till the time Mother Nature takes away what she had bestowed upon us for free - this wonderful gift, of life. Value it, while you have it.
Fakeer Ishavardas|It is no use dying, before one does.
Tapan Ghosh, Faceless The Only Way Out|If you draw the gun and don't shoot right, you're shot down!
Tania Aebi, I've Been Around|... no matter how we go about it, we are never poorer for the experiences that teach us how to write our own manuals.
Gift Gugu Mona|If you have legs that work, walk in the right direction. If you have an audible voice, say constructive words. If you have functional eyes, see great things. If you are in a position of power, use it productively and if you have a sound mind, think exceptionally; for such is not a given, but grace.
Gift Gugu Mona|The best investment to make an impact on others, because even when you're dead money alone will not bury you.
Fakeer Ishavardas|After you die, a rare friend or family member may carry your memory throughout life. Most will forget you. As if you were never here.
Leonardo da Vinci|That which can be lost cannot be deemed riches. Virtue is our true wealth and the true reward of its possessor; it cannot be lost, it never deserts us until life leaves us. Hold property and external riches with fear; they often leave their possessor scorned and mocked at for having lost them.
Fakeer Ishavardas|Do not believe in a god who is as silly, and meaner than you. For, that would surely be your higher-self, and your stupid alter-ego.
Fakeer Ishavardas|Blind-believers and staunch atheists have the same god - namely, a self-deluded, one's own shadow's bot.
Rebecca Solnit, The Mother of All Questions|How long does it take to see something, to know someone? If you put in years, you realize how little you grasped at the start, even when you thought you knew. We move through life mostly not seeing what is around us, not knowing who is around us, not understanding the forces at play, not understanding ourselves. Unless we stay with it, and maybe this is a movie about staying with it.
Banani Ray, Flow Yoga The Mindful Path of Action for Transforming Stress into Happiness|The Love factor makes anything hallowed, and an action is no exception. Doing things with love makes the work sacred.
Levon Peter Poe|I have found the temperament of being a thoughtful man is sometimes excruciatingly painful. People become accustomed to the fact that your kindness is part of your personality and therefore any action you take will be based on being civil minded toward others and seemingly not wanting to disappoint anyone. This is of course the wrong view. Being thoughtful does not mean you are a pushover or a stuck in the mud type, seemingly stationary in your attitudes and ambitions. It means you take the time to have consideration of events and people around you. You do not make hasty decisions based solely on observation or emotion. Analysis is a tool for the thoughtful individual
Napz Cherub Pellazo|I'm done with those; regrets are an excuse for people who have failed... Don't ask for guarantees. And don't look to be saved in any one thing, person, machine, or library. Do your own bit of saving, and if you drown, at least die knowing you were heading for shore..
Adedayo Olabamiji|Don't make your life bustop final destination, keep moving, focus on your VISION and don't give in.
Ernest Agyemang Yeboah|Learn to be friendly and learn to welcome all people, but note however in doing so that it is not every hand that is stretched towards you that deserves your handshake!
Kevin Abdulrahman, The Book on What Ever You're Into: These Are the 52 Timeless Winning Truths You Need to Know to Have a Chance at Winning|Have fun with the uncertainty of life. When you learn to do so, you will be certain to win.
Fakeer Ishavardas|If your believed in book-told god is a silly sod, you too are.
Gift Gugu Mona|Some choices will either make you perish or prosper, choose properly.
Jesus Apolinaris|In this life everybody's guilty of something and you must come to terms that you have a life worth fighting for. The sooner you put those guilty feelings to rest by admitting that ‘YES, Indeed it happened, and there’s nothing you can do to change the past, ‘the sooner you can get on with your life.
Jellis Vaes|It’s true that no one ever said life would be easy, but it is also true that no one ever said you had to go through it alone.
Steph Jagger, Unbound: A Story of Snow and Self-Discovery|The place we get lost is the very place that we're found, all we need to do is put one foot in front of the other.
Ackshat Deoli, Kilol-Bruges Express: The Fading Nomad|No matter what the power source is, a sinusoidal pattern will always remain the same. Similarly, our lives have a certain pattern and that's of happiness and sorrow. We feel that we are in control of things and everything is going according to plan but life is again following a pattern.
Robyn Carr, Any Day Now|My best advice is this - by the time you meet your Maker, and may it be a long, long time from now, I hope you can close your eyes on a life where you did your damn best and tried your damn hardest. It's not winning that's really winning. It's never giving up.
Ackshat Deoli, Kilol-Bruges Express: The Fading Nomad|All of us evolve everyday! The more we introspect and try to gather ourselves, the more rapid will be the pace of our evolution. The only thing to keep in mind is to be true to yourself.
Stephen King, It|I think it was the first real pain I ever felt in my life, he would tell the others. It wasn't what I thought it would be at all. It didn't put an end to me as a person. I think... it gave me a basis for comparison, finding out you could still exist inside the pain, in spite of the pain.
Sarah Moriarty, North Haven|The four of them stand in the cockpit of the Misdemeanor as they motor from one town to another. They pass their house, which is not theirs any longer. Libby cuts the throttle, and they stall there in front of their sprawling memory. The four of them have come up for the closing; since all of them are owners, they all must be present to sign away this place. They have given most of the land to the Maine Preservation Society, and the house, they have sold to a family who promises not to tear the whole thing down, though they know that is a lie. The oak is yellow and peeks from behind the house. The glossy white windows of the great room look down upon them. It is cold and they all wear their foul-weather gear, bright-yellow slickers, except Gwen, in a red poncho to accommodate the swell of her belly. Libby keeps one hand on the tiller and the other she slips into Tom’s hand. He gives it a squeeze and then puts his arm around her. Danny moves from the stern to stand between Tom and Gwen. They all stand on the starboard side looking at the house. Libby and Tom, then Danny, his hand resting on his brother’s shoulder, and Gwen next to him, her arms crossed over her protruding belly, her hair long and dark hanging down her back. She is no longer a beacon, but a buoy in her poncho, red right returning. The sky is gray and low and promises a choppy ferry ride to the mainland, but there in the safe haven of the harbor it is calm and windless, and the house isn’t empty, but expectant. The flat water, dark green now, lies empty, the float pulled out the month before. Going from town dock to town dock, there is no need for a tender. There is no way for them to come ashore, even if they wanted to. A house like this is not supposed to exist now. It comes from another era. It is a ghost, like the schooners that sail through the thoroughfare every summer. It is an aberration, a figment. It is their great shingled memory.
Ackshat Deoli, Kilol-Bruges Express: The Fading Nomad|You see, from where I stand, there are a couple of ways. You continue your journey and you will find your path or the path is already there and you aren't just able to see it.
Chris Dee, Polishing Silver: The Journal of Alfred Pennyworth|Questions that begin ‘If I had/if I had not’ have no true answers. You can never know how your actions may have impacted Master Jason’s fate. And if you could know, that knowledge would not change the past. The only good that can come of these musings is that which you have already found: in taking the lessons of the past, such as they may be, to guide your choices in the present.
Catherine Louise Birmingham|Life is like riding, you will only have harmony once you stop fighting it.
Vandana Yadav|Fight, face, be valiantand move ahead you gallantDon't stop, don't hidewalk with pride.No life is forever sereneNo plains are eternally green...
Catherine Louise Birmingham|Our strengths are built not with our words but with our actions,Our fears are faced through those actions,Our lives are shaped by these experiencesand our experiences are driven by our passions.Where is your heart taking you...
Sachin sawariya|Take care of your back ahead of anyone ,dear friends.commendation and stabbing,Both get on this only.
J. Wrice Sr.|If you can't participate in someone else's good fortune and show them love. How can you get offended when they don't partake in yours. Good fortunes are made to be enjoyed. Like a old wise pimp will say "Don't hate, participate.
Catherine Louise Birmingham|As in riding, so is it in life.
Anthony P. Mauro, Sr.|Some of us think with our heads, others with our hearts. Though neither is good or bad, it seems that one solves problems while the other adds to them.
Anthony P. Mauro, Sr.|People have a tendency to shrink the boundaries of complex problems to fit into their back pocket and then, sure enough, grumble that their problems follow wherever they go.
Anthony P. Mauro, Sr.|The human race, it seems, is run faster than the speed of life.
Steph Jagger, Unbound: A Story of Snow and Self-Discovery|True resilience is found in our ability to get up, to create space for a message we may not want to hear, to listen like we’ve never listened before, the then to act on that message – even if that means changing the way we’ve been hurtling down our path in life for decades.
Rana Suhaib|Speed doesn't matter, Concentration matters.
Dr. Jacinta Mpalyenkana, Ph.D, MBA|If we can benchmark nature on how it operates, then we never have to worry about how, and when God takes care of us.
Ken Poirot|One day I woke up and realized no amount of love, care, pain, hurt, anger, or retribution could ever transform those who are evil into good or kind people. That day I let go; I stopped caring for them, gave up any hope for their souls, and knew they were never worthy of me or my time.
moolesh.k.dindoyal|In order to avoid shipwreck, wise people usually appoint one captain to navigate the ship.
Sameer  Khan, Eerie Edges|Stop there, Breathe.For a while you need to leave, live.Stop pushing your face into that photo calledpast, stuck in the photo frame of time. Stopscratching your heart, give the wound time toheal. For i know, when the photo frame fallsdown, the broken pieces of glass fall apart,just like memories. But no, you want to keepit to the chest, close to your heart. You knowyou shouldn't but you're too coward to let go.It keep sucking your heart, into a black holeof muddy memories. Making you a darkshattered soul, incapable of finding solace.So stop. For a while let's just live. Let's justbreathe. Let's just love ourselves, for it's youwho need it the most.
K. Martin Beckner, A Million Doorways|She chose the attractive room, not noticing the cloven hoof exposed beneath the ornate curtains. That decision has surely haunted her every day since, finally catching up to her.
Abhijit Naskar, We Are All Black: A Treatise on Racism|The human heart is first a human heart, then everything else - American, Christian, Asian, Jew, or whatever.
Abhijit Naskar, We Are All Black: A Treatise on Racism|There is only one label worth fighting for, nay, not fighting for, that is “human”.
Abhijit Naskar, We Are All Black: A Treatise on Racism|Be pure, live a conscientious life, defend your dignity and be loving to others.
Abhijit Naskar, We Are All Black: A Treatise on Racism|If poverty defines greatness, then become the poorest person on earth, in terms of weakness and bigotry. And if wealth defines glory, then become the wealthiest person on earth, in terms of courage, confidence and reasoning.
Sharon Salzberg, Real Love: The Art of Mindful Connection|Though it may seem counter intuitive to our inner perfectionist, recognizing our mistakes as valuable lessons (not failures) helps us lay the groundwork for later success.
Fakeer Ishavardas|Don't, but if at all, then, lie to the whole damn world - never to your own damn, silly stupid self.
Kierra C.T. Banks|To sum it up, success is nothing more than a small act of courageousness.
Michael Chabon, Moonglow|I'm disappointed in myself. In my life. All my life, everything I tried, I only got halfway there. You try to take advantage of the time you have. That's what they tell you to do. But when you're old, you look back and you see all you did, with all that time, is waste it. All you have is a story of things you never started or couldn't finish. Things you fought with all your heart to build that didn't last or fought with all your heart to get rid of and they're all still around. I'm ashamed of myself.
Nishikant, The Papery Onions|The world is made out of Nutella. You just need to stick your tongue out, so that you could really taste it.
Ernest Agyemang Yeboah|There are different kinds of birds and there are different situations and places to find these birds. Some of these birds choose to eat carcass and some prefer fresh meat. Some eat from backyards and some will take their food far from sight. There are those who soar higher and least live on short and common trees and there are those who wouldn’t mind sleeping on any tree. There are those who exhibit their dexterity on the ground to the joy and admiration of all people, and there are those who make people raise their heads and strain their eyes before they see them. There are those whose appearance comes with awe, and there those who would pass without people taking a second look at them in admiration. There are those whose voices are a wake-up call and there are those whose sounds give reasons to ponder! There are those who sing sweet melodies and there are those whose sounds threaten. There are those who are for special meals and occasions, and there are those who are fit for the base of any pot at all. There are those who though are humble and friendly, yet when you go beyond your boundary, they will show how they are hungry! There are those who dive amazingly and there are those who just swim and move around in water! Life is just like that; different people, different values and different functions!
Kunal Narayan Uniyal|Staying away from news channels, print, and social media makes one realize, that the world actually is a beautiful place to live.
Dr. Karan M Pai|Walls of worry surround us everyday & we can never run away, But remember Walls only block sides, Never the sky. Look Up, The ray of Light & Hope You will Get it.. Have Confidence in You :)
