|When there is no presence of self-love, the hunger for attention tends to take over one's mind
Efdal Korkmaz|I really miss you and I still have that one picture of you, where your eyes had no point of view, but pictures say nothing and this one will stay in my minds room.
Ryan Lilly|When I first tried a sensory deprivation tank, people thought I had lost my mind. In fact, I had found it.
Peter Hedges, What's Eating Gilbert Grape|I left this conversation hours ago, but somehow my mouth is still moving, words are still forming, and none have seemed to offend. Amazing, the mind. My mind, I mean. Not hers.
Earl Nightingale|Throughout all history, the great wise men and teachers, philosophers, and prophets have disagreed with one another on many different things. It is only on this one point that they are in complete and unanimous agreement. We become what we think about.
Bob Proctor|Thoughts become things. If you see it in your mind, you will hold it in your hand." - Bob Proctor
Debasish Mridha|Even when I was a very young man,I was looking for the purpose of life; I was looking for happiness all over the world; In fame and in glamour, in wealth and in splendor, not knowing how foolish it was.Happiness is not out there.Happiness is not in wealth or splendor.Happiness is inside me, in my mind, in my thoughts, It is in my perception of the world.
A.J. Darkholme, Rise of the Morningstar|The more a mind thinks upon something, the deeper it will take root and affect all subsequent and related thought.
Debasish Mridha|I like curiosity. It's a mind game, not a necessity.
A.J. Darkholme, Rise of the Morningstar|If your heart, mind, and actions are selfish, they will ultimately divide you, others, or entire [establishments]. When motivation is pure and selfless, it will result in helping bring others together.
Debasish Mridha|Students may not remember what you try to teach them, but they will never forget who you are and what feelings you created in their mind.
A.J. Darkholme, Rise of the Morningstar|Most physical battles begin once mental ones have been lost, anyway. Conquer the mind, conquer the body.
Debasish Mridha|Education is a chemical reaction between knowledge and the mind; the byproducts are new thoughts, new ideas, new perceptions, and new feelings.
Terence McKenna|It’s very important that people take back their minds and that people analyse our dilemma in the context of the entire human story from the descent onto the grassland to our potential destiny as citizens of the galaxy and the universe. We are at a critical turning point and, as I say; the tools, the data that holds the potential for our salvation is now known, it is available: it is among us, but it is misrepresented, it is slandered, it is litigated against, and it’s up to each one of us to relate to this situation in a fashion that will allow us to answer the question that will surely be put to us at some point in the future, which is: What did you do to help save the world?
Munia Khan|I’ve learnt to gather simplicity from grasshoppers. I like their naive indecisive minds never knowing exactly when to stop chirping, and I envy their ability to be able to mingle with the green…
Woody Allen|What is fascinating is that it is physical. You know, that's one thing about intellectuals, they've proved that you can be absolute brilliant and have no idea what's going on. But on the other hand, the body doesn't lie, as we now know. Nono, it'll be great, because all of those ph.Ds are in there, like, discussing modes of alienation, and we'll be in here quietly humping.
Criss Jami, Killosophy|You think you're losing your mind, but do keep in mind, as long as you may, that the ability to go on thinking such a thing means it's not all gone.
A.J. Darkholme, Rise of the Morningstar|Despite our human intelligence, we are very much like our friends in the wild; the world we live in is a survival of the fittest. But to this I say, let the fittest survive! Survival is overrated. We’re alive; we die. How long we survive for is of little significance. Our true significance lies not in the endless comparing of ourselves to one another, trying to see who is the fittest, using scales of evaluation and meaning that differ in the heart and mind of every individual; no - it lies in our deeds alone with the time we have.
Katy Butler, Knocking on Heaven's Door: The Path to a Better Way of Death|When a fine old carpet is eaten by mice, the colors and patterns of what's left behind do not change,' wrote my neighbor and friend, the poet Jane Hirschfield, after she visited an old friend suffering from Alzheimer's disease in a nursing home. And so it was with my father. His mind did not melt evenly into undistinguishable lumps, like a dissolving sand castle. It was ravaged selectively, like Tintern Abbey, the Cistercian monastery in northern Wales suppressed in 1531 by King Henry VIII in his split with the Church of Rome. Tintern was turned over to a nobleman, its stained-glass windows smashed, its roof tiles taken up and relaid in village houses. Holy artifacts were sold to passing tourists. Religious statues turned up in nearby gardens. At least one interior wall was dismantled to build a pigsty.I've seen photographs of the remains that inspired Wordsworth: a Gothic skeleton, soaring and roofless, in a green hilly landscape. Grass grows in the transept. The vanished roof lets in light. The delicate stone tracery of its slim, arched quatrefoil windows opens onto green pastures where black-and-white cows graze. Its shape is beautiful, formal, and mysterious. After he developed dementia, my father was no longer useful to anybody. But in the shelter of his broken walls, my mother learned to balance her checkbook, and my heart melted and opened. Never would I wish upon my father the misery of his final years. But he was sacred in his ruin, and I took from it the shards that still sustain me.
Charlotte Joko Beck|When I watch my mind and stay with my body, out of that comes some course of action.
A.J. Darkholme, Rise of the Morningstar|The mind thinks upon, processes, and remembers what the senses forget.
Idries Shah, Seeker After Truth|Saadi’s dictum, in the Bostan: ‘The Path is not in the rosary, the prayer-mat and the robe
Patrick Ness|The answer is that it does not matter what you think, the monster said, because your mind will contradict itself a hundred times each day.
Debasish Mridha|The cause of depression and stress are negative thoughts,Be positive, never infect your mind with negative thoughts.
Debasish Mridha|I am not the body, I am not the mindI am the spirit, eternal, joyful and kind.
Debasish Mridha|A mind without freedom, a life without liberty, is like a heart without love, a journey without a destination.
Debasish Mridha|Peace can't be seen with eyes, only the mind can see it and the heart can feel it. So open the window of your mind to let it come in.
Debasish Mridha|Happiness is a state of mind, not the condition we find.
Debasish Mridha|To be happy and beloved have a tender heart, blissful thoughts, and a non-judgmental mind.
Debasish Mridha|Let happiness bloomIn the freshness of your mind,In the gentle wind of your thoughts.On the ground of kindness and compassion.
Debasish Mridha|The will to love, the desire to help, and an open mind with gratitude can unlock the door to eternal happiness.
Debasish Mridha|When possession of wealth or splendors brings happiness- it is an illusion, when attainment of certain mental state brings happiness- it is a real possession.
Debasish Mridha|There is no hell; there is no heaven. In your mind, they are your own creation.
Debasish Mridha|Happiness is an awareness, perception, feeling, and imagination. Happiness is a state of mind not a condition.
Ifeanyi Enoch Onuoha|If it's possible in the mind, then it's possible anywhere.
Michael Bassey Johnson, Classic Quotations From The Otherworlds|God will not punish you when you speak your mind, because he speaks through you if he truly lives in you.
Marieta Maglas|The truth remains itself, even the human minds cannot see it.
Don DeLillo|How language is webbed in the senses. Out of sand-blazed brilliance into quirky minds such as his, into touch, taste and fragrance. He thought he'd linger just a bit longer, let the bath take total hold, ease and alleviate, before he put on clothes and entered the complex boxes where people do their living.Nothing fits the body so well as water.
Reza Mohamed|Mind is obsessed with fleeting illusions, while Spirit is constant and free.
Isaac Marion|I try to think of things to say but nothing comes, and if something did come I probably couldn't say it. This is my great obstacle, the biggest of all the boulders littering my path. In my mind I am eloquent; I can climb intricate scaffolds of words to reach the highest cathedral ceilings and paint my thought. But when I open my mouth, everything collapses.
Robert Greene, The 33 Strategies of War|Understand: your mind is weaker than your emotions. But you become aware of this weakness only in moments of adversity--precisely the time whenyou need strength. What best equips you to cope with tthe heat of battle is neither more knowledge nor more intellect. What makes your mind stronger, and more able to control your emotions, is internal discipline and toughness.No one can teach you this skill; you cannot learn it by reading about it. Like any discipline, it can come only through practice, experience, even a little suffering. The first step in building up presence of mind is to see the need for ii -- to want it badly enough to be willing to work for it.
Debasish Mridha|Writing is a disease of the mind, which is expressed through a pen.
Debasish Mridha|A writer's thoughts can act as an Aladdin's lamp, which can enlighten and open the mind of a reader, by showing opportunities and beauties of life.
Debasish Mridha|A good writer sees the world, not through his own eyes, but through his reader's mind.
Robert Greene, The 33 Strategies of War|Understand: your mind is weaker than your emotions. But you become aware of this weakness only in moments of adversity--precisely the time whenyou need strength. What best equips you to cope with tthe heat of battle is neither more knowledge nor moreintellect. What makes your mind stronger, and moreable to control your emotions, is internal disciplineand toughness.No one can teach you this skill; you cannot learn it by reading about it. Like any discipline, it can come only through practice, experience, even a little suffering.
Robert Greene, The 33 Strategies of War|Understand: your mind is weaker than your emotions. But you become aware of this weakness only in moments of adversity,precisely the time whenyou need strength. What best equips you to cope with tthe heat of battle is neither more knowledge nor more intellect. What makes your mind stronger, and more able to control your emotions, is internal discipline and toughness.No one can teach you this skill; you cannot learn it by reading about it. Like any discipline, it can come only through practice, experience, even a little suffering. The first step in building up presence of mind is to see the need for it, to want it badly enough to be willing to work for it.
Jay Woodman|You can Transform into a Super-Soul! If you align your physical and mental (logical/emotional) self with your core self (or soul being), then you will know your personal path, and find ways to follow it to fulfillment. You can learn how to best nurture your body, plus train your mind as an empowering tool to enhance your overall balance, strength, and unique skills, so that you achieve your goals, as well as optimise your well-being.
Vironika Tugaleva, The Love Mindset|In my isolation, I dreamt of power. My daydreams and fantasies were all about how I could win, how I could be number one, how I could have my cake and eat it too. When those dreams were fulfilled, I felt nothing. The love-sized hole within me grew larger and larger as I died by my own hand, by my own mind. During my transformation, I found what I needed to fill the hole. I found peace, joy, and connection. To power, I waved goodbye. I thought that being a loving, spiritual being meant sacrificing that triumph-hungry drive within. For much too long, I ignored these urges, believing them to be the opposite of love while I cycled in and out of love awareness. The day that my love mindset became a permanent state of mind was the day I realized that love is not the opposite of power. Love is power. Love is the strongest power there is.
Criss Jami, Killosophy|Pretentiousness isn't always just big words and meaningless jargon, but also pretty words that either when put into action don't mean beans or hurt you in the long run. Oftentimes, the former appeals to the intellect whereas the latter appeals to the heart.
Criss Jami, Killosophy|Advanced technology does not always promise a more intelligent civilization. On the contrary, the more the common people rely on technology to do their thinking and solving for them, the less practice there is left for their own brains.
Amaka Imani Nkosazana, Sweet Destiny|I think about the pepper plant, the corn, cucumbers, tomatoes, and more plants. And I've noticed that while those seeds are living within the fruit or vegetable they can not grow. It is only when those seeds have died, that they can be planted and grow. And, I can relate this same process to the human body. In order to grow and thrive in the spirit, you must die to the flesh. Meaning, You have to rid your mind and body of toxic negative worldly things in order to grow and develop more spiritually.
Vironika Tugaleva|To spend your time trying to make your body flawless is to waste your time. Even if it appears to match some externalized ideals of perfection for a moment, your physical self will wrinkle and age. Work on your mind. Work on your legacy.
Vironika Tugaleva|We speak about losing our minds as if it is a bad thing. I say, lose your mind. Do it purposefully. Find out who you really are beyond your thoughts and beliefs. Lose your mind, find your soul.
Amit Kalantri|While you keep ageing, your experience compensates for your lost brain power.
Patrick Rothfuss|Kid's books should be just as good as any other books. No. They should be held to a *higher* standard than other literature for the same reason that we take extra care with children's food.The fact is, what you feed your kids is important, and that includes what they put in their heads as well as what they put in their bellies.
G.S.Sreekiran|Three types of people are there, those who smile, those who think and smile and those who smile and think. Beware of those in the last two category, because you don't know their thoughts!!!
António R. Damásio|As a consequence of natural analgesic actions or as a result of the administration of drugs that interfere with body signaling (painkillers, anesthetics), the brain receives a distorted view of what the body state really is at the moment. We know that in situations of fear in which the brain chooses the running option rather than freezing, the brain stem disengages the part of the pain-transmission circuitry, a bit like pulling the plug. The periqueductal gray, which controls these responses, can also command the secretion of natural opioids and achieve precisely what taking an analgesic would achieve -- elimination of pain signals.In the strict sense, we are dealing here with a hallucination of the body because what the brain registers in its maps and the conscious mind feels do not correspond to the reality that might be perceived. Whenever we ingest molecules the have the power to modify the transmission or mapping of body signals, we play on this mechanism. Alcohol does it; so do analgesics and anesthetics, as well as countless drugs of abuse. It is patently clear that, other than out of curiousity, humans are drawn to such molecules because of their desire to generate feelings of well-being, feelings in which pain signals are obliterated and pleasure signals induced.
Ernest Vincent Wright, Gadsby|A human mind was built for contact with similar minds. It should,—in fact,—it must think about what is going on around it; for, if it is shut up in a thick, dark, bony box of a skull, it will always stay in that condition known as "status quo"; and grow up, antagonistic to all surroundings.
Gracia Hunter|Hunger does not come from body; it comes from mind. Once a person starts to feel hungry all the time, nothing satisfies him whatsoever. This hunger covers up all the aspects of life ... The only thing wrong in following your hunger blindly is that people never know when to stop and when to feel satisfied.
Renee Fredrickson, Repressed Memories: A Journey to Recovery from Sexual Abuse|Some of your childhood traumas may be remembered with incredible clarity, while others are so frightening or incomprehensible that your conscious mind buries the memory in your unconscious.
Peggi Speers, The Inspired Caregiver - Finding Joy While Caring for Those You Love|When enforcing our boundaries, first and foremost, we are caring for ourselves, but we are also helping others to have a clear understanding of what we consider acceptable behavior. We are reflecting back to them what is not acceptable and, therefore, providing them an opportunity to consider that information and make necessary changes.
Napoleon Hill, Think and Grow Rich: The Landmark Bestseller - Now Revised and Updated for the 21st Century|Disappointment over love affairs generally has the effect of driving men to drink, and women to ruin; and this, because most people never learn the art of transmuting their strongest emotions into dreams of a constructive nature.
Arthur C. Clarke, Tales from Planet Earth|The person one loves never really exists, but is a projection focused through the lens of the mind onto whatever screen it fits with least distortion.
Munia Khan|The world of light and starry grace;within your mind I live to trace.Your thought’s speed in thunder’s glory,lightening my being with dream’s story.I embrace the tree carrying your nameYour unspoken wish : the heart of fame.
Christopher Hitchens|As he once wrote of Kipling, his own enduring influence can be measured by a number of terms and phrases—doublethink, thought police, 'Some animals are more equal than others'—that he embedded in our language and in our minds. In Orwell's own mind there was an inextricable connection between language and truth, a conviction that by using plain and unambiguous words one could forbid oneself the comfort of certain falsehoods and delusions. Every time you hear a piece of psychobabble or propaganda—'people's princess,' say, or 'collateral damage,' or 'peace initiative'—it is good to have a well-thumbed collection of his essays nearby. His main enemy in discourse was euphemism, just as his main enemy in practice was the abuse of power, and (more important) the slavish willingness of people to submit to it.
Richard Llewellyn, How Green Was My Valley|Pain is a good cleanser of the mind and therefore of the sight. Matters which seem to mean the world, in health, are found to be of no import when pain is hard upon you.
Tan Twan Eng, The Gift of Rain|The mind forgets, but the heart will always remember. And what is the heart's memory but love itself?
Mortimer J. Adler, How to Read a Book: The Classic Guide to Intelligent Reading|In short, we can only learn from our "betters".
Clint Van Winkle, Soft Spots: A Marine's Memoir of Combat and Post-Traumatic Stress Disorder|Peace surfaced here. Hard to imagine a person finding peace through war, but no one finds peace in war—peace finds you. It crawls into your sleeping bag and helps you fall asleep, nudges your arm, tells you to turn over, think about home.
|Peace is the result of retraining your mind to process life as it is, rather than as you think it should be.
Ilchi Lee, Human Technology: A Toolkit for Authentic Living|When peace has thoroughly permeated our brain, mind, and body, we can create it as our reality. I firmly believe that every person is a peacemaker, once thy have developed their self-awareness and creativity. Peace must not be left to government leaders or gurus. It must spring from the brains, hands, and minds of the people.
Onyi Anyado|Entrepreneur, if your going to start up, make sure you start up with excellence in mind.
Geoffrey Wood|So in a man’s mind, he appraises, negotiates, defines, delineates, weighs the information, and that includes God. As you can see, this is a relationship of management, not trust. You don’t trust things you can manage, you manage them. And so, God as information is managed and no relationship of trust is fostered.
Tania Elizabeth, The Tier of Eternal Grace: The Moon Clearing|A soul of terror’d mind, shall never find thy rest. For cruelty comes with a sacrifice – one in which beholds as a hate of oneself.
Geoffrey Wood|At the same time, they find their mind-god has played a trick on them. For mind is a part of the very system it has closed around it, and being inside, there is no reason to think any statement made by some part concerning the whole has any validity. Mind was caused by the material universe, if mind is right. But only the greater can accurately define the lesser, never the other way round, so if mind is right, mind would never know.
Rosamund Lupton, Sister|Our mind is who we are; it’s where we feel and think and believe. It’s where we have love and hate and faith and passion.’ I was getting a little embarrassed by your earnestness but you continued, ‘How can someone hope to treat another person’s mind unless they are also a theologian and a philosopher and a poet?
Geoffrey Wood|The more we train a man to labor, deliberate, dictate and demand over the inconsequential, the less capable his mind becomes of holding that of consequence.
Tyler Hamilton|What people don't understand about depression is how much it hurts. It's like your brain is convinced that it's dying and produces an acid that eats away at you from the inside, until all that's less is a scary hollowness. Your mind fills with dark thoughts; you become convinced that your friends secretly hate you, you're worthless, and then there's no hope. I never got so low as to consider ending it all, but I understand how that can happen to some people. Depression simply hurts too much.
Michael Bassey Johnson|An introvert talks more than an extrovert because when the mouth is closed, the mind is opened.
Michael Bassey Johnson|Your mind can go ahead and imagine what it wants to imagine, but a true friend will always remain true, in spite of the false messages running through your mind.
Saurbh Katyal, Seduced by Murder|The mind, at times, takes masochistic delight in suffering.
Israelmore Ayivor, Shaping the dream|Before you accomplish your dreams physically, your inner make up, mindset, emotions and perception have fought the battle mentally and that already determined how the battle will be fought physically.
Alamvusha|Don't go on sharing your secret's with everyone, you have the best safe for your secrets - Your Mind.
Onyi Anyado|Creativity is the new currency, so, are you credited with new thoughts or overdrawn in old thinking?
Israelmore Ayivor, Shaping the dream|Discover more about yourself, dream wild dreams because what others see in you right is just a mild chapter of you; the wild chapter will unfold sooner! Dare to dream and shape the dream every day!
Israelmore Ayivor, Shaping the dream|Mind you, the effectiveness of one hunter’s gun does not determine the number of bush meats the other hunter will kill. You got to be yourself. Be you.
Adriano Bulla|Petty minds foster petty hearts, and have the funny habit of shooting themselves in the foot.
Paul Russell, The Coming Storm|Soon would come the night in which there was no more work – not the work of the hands, nor the work of the mind, nor the work of the heart.
Michael Bassey Johnson|Your mind is filled with ample secret abilities not known to you, keep it active by shutting down disbelieve.
Ford Madox Ford, No More Parades|But always, at moments when his mind was like a blind octopus, squirming in an agony of knife-cuts, she would drop in that accusation.
Blue Balliett, The Calder Game|What was a little dark, anyway? Just no sun, [Petra] reminded herself as her sneakers pounded toward the opening. Just dark, all three fine, she whispered to herself again and again, spinning the words outward into a mobile in her mind. They floated into dark-three, all-just-fine and then into all-fine, dark-just-three.
VicDo|It wouldn't be mind control, if you will know you've been under mind control.
Roy  Richardson|To change her mind is a woman's prerogative, to change his mind is a man's purgatory.
Linh Dinh|The Mind The mind is a hotel with a thousand rooms. When I tilt my head a certain way, I think about certain things. When I tilt my head another way, I think about other things. If I sleep on the right side of my face, for example, I’d dream of a pale rose, the future, or a continental diner in Passaic, New Jersey. When I sleep on the left side of my face, I’d dream that a hand is squeezing my heart, that I’m in prison, or that I’m watching hockey at an airport bar, about to miss a flight.
Israelmore Ayivor, Shaping the dream|Bear it in mind that when you have no brand, “no brand” is your brand and that’s a negative brand!
Raphael Zernoff|When we say we understand something, but we do not experience it, we do not understand it. Understanding and experiencing are the same thing. For example, we may say: I understand the importance of forgiveness BUT I can't do it. Firstly, replace "I can't do it" with:I am choosing to remain in the state of being of ignorance (misinformation), because I believe it to be the best option I can choose from.Secondly, replace "I understand the importance of forgiveness" with:"I do not understand the importance of forgiveness". Being honest with oneself is the first step to self-understanding.
Idries Shah, Learning How to Learn: Psychology and Spirituality in the Sufi Way|When people believe that the form is more important than the Truth, they will not find truth, but will stay with form.
Sanhita Baruah|Those were the three words seldom asked to her.Yet, she knew they hold a healing power in them; For they bring a million thoughts to the mind and more to the soul; For the answer is far deeper than what is simply said on the face.She understood, so she asked him what was seldom asked to her,"How are you?
