Peter Ackroyd, The Canterbury Tales: A Retelling|Women, of their nature, crave for liberty; they will not be ordered around like servants.
Rufi Thorpe, Dear Fang, With Love|She carried herself like a dishonored queen. Even the way she held her head at an angle as she considered the buildings around us seemed watched and pretentious, and I thought about my mother saying there was something toxic about being very beautiful. It must be terrible to be a woman.
Toni Morrison, Love|A woman is an important somebody and sometimes you win the triple crown: good food, good sex, and good talk. Most men settle for any one, happy as a clam if they get two. But listen, let me tell you something. A good man is a good thing, but there is nothing in the world better than a good good woman. She can be your mother, your wife, your girlfriend, your sister, or somebody you work next to. Don’t matter. You find one, stay there. You see a scary one, make tracks.
Ava, You Are Safe Here.|let the stars inside you breathe,before the darkness swallows them whole.let them burn through your skinand light this whole goddamn world on fire.
Aristophanes, Lysistrata|What can you answer? Now be careful, don’t arouse my spite, Or with my slipper I’ll take you napping,faces slappingLeft and right.
Marquis de Sade, Philosophy in the Boudoir or, The Immoral Mentors|To lie is always a necessity for women; above all when they choose to deceive, falsehood becomes vital to them.
H.G. Wells, The Wife of Sir Isaac Harman|This self-reliance, this direct dealing with the world, seemed to him, even in the height of his concern, unwomanly, a deeper injury to his own abandoned assumptions than any he had contemplated.
H.G. Wells, The Wife of Sir Isaac Harman|He perceived too in these still hours how little he had understood her hitherto. He had been blinded, — obsessed. He had been seeing her and himself and the whole world far too much as a display of the eternal dualism of sex, the incessant pursuit. Now with his sexual imaginings newly humbled and hopeless, with a realization of her own tremendous minimization of that fundamental of romance, he began to see all that there was in her personality and their possible relations outside that. He saw how gravely and deeply serious was her fine philanthropy, how honest and simple and impersonal her desire for knowledge and understandings. There is the brain of her at least, he thought, far out of Sir Isaac's reach. She wasn't abased by her surrenders, their simplicity exalted her, showed her innocent and himself a flushed and congested soul. He perceived now with the astonishment of a man newly awakened just how the great obsession of sex had dominated him — for how many years? Since his early undergraduate days. Had he anything to put beside her own fine detachment? Had he ever since his manhood touched philosophy, touched a social question, thought of anything human, thought of art, or literature or belief, without a glancing reference of the whole question to the uses of this eternal hunt? During that time had he ever talked to a girl or woman with an unembarrassed sincerity? He stripped his pretences bare; the answer was no. His very refinements had been no more than indicative fig-leaves. His conservatism and morality had been a mere dalliance with interests that too brutal a simplicity might have exhausted prematurely. And indeed hadn't the whole period of literature that had produced him been, in its straining purity and refinement, as it were one glowing, one illuminated fig-leaf, a vast conspiracy to keep certain matters always in mind by conspicuously covering them away? But this wonderful woman — it seemed — she hadn't them in mind! She shamed him if only by her trustful unsuspiciousness of the ancient selfish game of Him and Her that he had been so ardently playing.... He idealized and worshipped this clean blindness. He abased himself before it.
Betty  Smith, A Tree Grows in Brooklyn|They were all slender, frail creatures with wondering eyes and soft fluttery voices. But they were all made out of thin invisible steel.
Betty  Smith, A Tree Grows in Brooklyn|They were all slender, frail creatures with wondering Wes and soft fluttery voices. But they were all made out of thin invisible steel.
Eyden I., Kiss Friendzone Goodbye|Females are very simple, with them, yes means yes, & no means yes, & no means no, & no means maybe, but maybe means yes, & maybe means no!
Lois T. Henderson, Ruth|I will be a good wife," she thought, "that all the earth will know there is a God in Israel.
Jessica Khoury, The Forbidden Wish|Women! They think it so romantic to break the rules. But what are we if we don't hold to tradition, am I right?" ~Darian
Diane Claire Benant, Just Jenna: How hard can it be to last a week without a man?|Toni Morrison said that if you can't find the book you want to read, write it. So I did! It's high time to give our heroines a different kind of happy ending.
Eyden I., Kiss Friendzone Goodbye|If she is wrong educate her, don't belittle her..
J.C. Ryle, Thoughts for Young Men|Be wise in time. What youth sows, old age must reap....Sow to yourself rather in righteousness: break up your fallow ground, sow not among thorns.
Jessica Valenti, The Purity Myth: How America's Obsession with Virginity is Hurting Young Women|Perhaps it’s true that in our sex-saturated culture it does take a certain amount of self-discipline to resist having sex, but restraint does not equal morality. And let’s be honest: if this were simply about resisting peer pressure and being strong, then the women who have sex because they actively want to — as appalling as that idea might be to those who advocate abstinence — wouldn’t be scorned. Because the “strength” involved in these women’s choice would be about doing what they want despite pressure to the contrary, not about resisting the sex act itself.
Warsan Shire|Mother says there are locked rooms inside all women, kitchen of love, bedroom of grief, bathroom of apathy. Sometimes, the men, they come with keys, and sometimes the men, they come with hammers.
Chitra Banerjee Divakaruni, The Palace of Illusions|What did I learn that day in the sabha?All this time I'd believed in my power over my husbands. I'd believed that because they loved me they would do anything for me. But now I saw that though they did love me—as much perhaps as any man can love—there were other things they loved more. Their notions of honor, of loyalty toward each other, of reputation were more important to them than my suffering. They would avenge me later, yes, but only when they felt the circumstances would bring them heroic fame. A woman doesn't think that way. I would have thrown myself forward to save them if it had been in my power that day. I wouldn't have cared what anyone thought. The choice they made in the moment of my need changed something in our relationship. I no longer depended on them so completely in the future. And when I took care to guard myself from hurt, it was as much from them as from our enemies
Stephen King, The Stand|Thank you, Men, for the railroads. Thank you, Men, for inventing the automobile and killing the red Indians who thought it might be nice to hold on to America for a while longer, since they were here first. Thank you, Men, for the hospitals, the police, the schools. Now I'd like to vote, please, and have the right to set my own course and make my own destiny. Ince I was chattel, but now that is obsolete. My days of slavery must be over; I need to be a slave no more than I need to cross the Atlantic Ocean in a tiny boat with sails. Jet planes are safer and quicker than little boats with sails and freedom makes more sense than slavery. I am not afraid of flying. Thank you, Men.
James Hauenstein|Be careful when you ask Karma for something that you have always wanted. When I was young, I asked to be surrounded by beautiful women. Now I have a wife and four daughters.
Rumaan Alam, Rich and Pretty|Just reviewing this list, these to-dos and dones, her pace quickens; she feels lighter, she feels smarter, she feels in control, she feels alive.
Andrew Wilson, Patricia Highsmith, Ζωή στο σκοτάδι|Throughout her life, Highsmith looked for women whom she could worship. Sex was far from the most important factor in any relationship; rather, it was this near-divine quality for which she yearned.
Eyden I., Woman's Book: Only For Men|With fire we test gold, and with gold we test women, and with women we test men.
Eyden I., Woman's Book: Only For Men|Maybe women forget days, but they always remember moments.
Eyden I., Woman's Book: Only For Men|Woman won't accept to be your second opinion, either you choose her or you lose her.
Christina Engela, Autumn Burning: Dreadtime Stories for the Wicked Soul|The patriarchy longs for the days 'when men were men' and women were oppressed, subservient - and they can see no wrong in it. It justifies its former power and lust to hold on to it - and if possible, to regain it by quoting fundamentalist and radical religion and tradition and calling it 'love'. Some love. How can oppression and power over another person's life ever be 'love'?
Laurie R. King, A Letter of Mary|Everyone is allowed a weakness, even women of the twentieth century.
Christina Engela, Demonspawn|I can understand backward patriarchal reasoning coming from a male, but from a woman - and of all people, a leader of women? It says something profound about leadership - and, if anything - what it says about followers is not very flattering at all.
Christina Engela, The Time Saving Agency|Right now though, there is little that concerns me more than the impending assault on the human rights and equality of women and the pink community in South Africa. Right now there are events afoot in this country which justify my concern.
Zen Cho, Sorcerer to the Crown|It is a mother's duty to teach her daughters about the uses of blood, particularly a magical daughter.
Steven Magee|Having studied the toxic biological effects of wireless radio frequency (RF) radiation, I find it amazing that women will willfully strap on two radio frequency antennas to their breasts in the form of an underwired bra. The wireless industry knows the underwired bra as a dipole antenna or doublet.
Lindy West, Shrill: Notes from a Loud Woman|Why, when men hate themselves, it’s women who take the beatings.
Alice Munro|To be a femme fatale you don't have to be slinky and sensuous and disastrously beautiful, you just have to have the will to disturb.
Eve Ensler, The Vagina Monologues|Women secretly love to talk about their vaginas. They get very excited, mainly because no one has ever asked them before.
Nawal El-Saadawi, Woman at Point Zero|How is it possible to live? Life is so hard?’‘You must be harder than life, Firdaus. Life is very hard. The only people who really live are those who are harder than life itself.’‘But you are not hard, Sharifa, so how do you manage to live?’‘I am hard, terribly hard, Firdaus.’‘No, you are gentle and soft.’‘My skin is soft, but my heart is cruel, and my bite deadly.’‘Like snake?’‘Yes, exactly like a snake. Life is a snake. They are the same, Firdaus. If the snake realises you are not a snake, it will bite you. And if life knows you have no sting, it will devour you.
Siri Hustvedt, The Blazing World|No one rejoices more in revenge than women, wrote Juvenal. Women do most delight in revenge, wrote Sir Thomas Browne. Sweet is revenge, especially to women, wrote Lord Byron. And I say, I wonder why, boys. I wonder why.
Jung Chang, Wild Swans: Three Daughters of China|She was a pious Buddhist and every day in her prayers asked Buddha not ro reincarnate her as a woman. "Let me become a cat or dog, but not a woman," was her constant murmur as she shuffled around the house, oozing apology with every step.
Samantha Hunt, The Invention of Everything Else|Women will one day rule the world, and when they do, their brains will be so finely tuned from all the years of quiet that I anticipate they will be far superior rulers to men.
Jung Chang, Wild Swans: Three Daughters of China|Every time she went home she found herself being criticized. She was accused of being "too attached to her family," which was condemned as a "bourgeois habit," and had to see less and less of her own mother.
Robyn Davidson, Tracks: A Woman's Solo Trek Across 1700 Miles of Australian Outback|And it was only then that I realized what I had let myself in for, and only then I realized how bloody thick I had been not to have predicted it. It would seem that the combination of elements--woman, desert, camels, aloneness--hit some soft sport in this era's passionless, heartless, aching psyche. It fired the imaginations of people who seem themselves as alienated, powerless, unable to do anything about a world gone mad. And wouldn't it be my luck to pick just this combination. The reaction was totally unexpected and it was very, very weird. I was now public property. I was now a kind of symbol. I was now an object of ridicule for small-minded sexists, and I was a crazy, irresponsible adventurer (though not as crazy as I would have been had I failed). But worse than all that, I was now a mythical being who had done something courageous and outside the possibilities that ordinary people could hope for. And that was the antithesis of what I wanted to share. That anyone could do anything. If I could bumble my way across a desert, then anyone could do anything. And that was true especially for women, who have used cowardice for so long to protect themselves that it has become a habit.
Nawal El-Saadawi, Woman at Point Zero|How is it possible to live? Life is so hard?’‘You must be harder than life, Firdaus. Life is very hard. The only people who really live are those who are harder than life itself.’‘But you are not hard, Sharifa, so how do you manage to live?’‘I am hard, terribly hard, Firdaus.’‘No, you are gentle and soft.’‘My skin is soft, but my heart is cruel, and my bite deadly.’‘Like a snake?’‘Yes, exactly like a snake. Life is a snake. They are the same, Firdaus. If the snake realises you are not a snake, it will bite you. And if life knows you have no sting, it will devour you.
Rhys|If men stopped making fools of themselves in front of women, I'm 80% sure the planet would cease to spin on its axis.
Yasmin Lahda|Grandmother trains me when to slip and slide and change, and when to remain inert. She tells me, "It is true, women are the keepers. We are keepers of silverware, the bites of savouries in our broth. We are the sole keepers of the keys to the almari. But child, what we really excel at is adapting. Outward, we appear fixed, planted as feet, but we are also amphibians, pulling our families through land and sea when catastrophe strikes.
John Rachel|Where I grew up, women’s liberation was when you let a chick out of her cage for 15 minutes so she could stretch her legs.
Bertrand Russell|The psychology of adultery has been falsified by conventional morals, which assume, in monogamous countries, that attraction to one person cannot coexist with affection for another. Everybody knows that this is untrue.
Brian  Doyle, Credo: Essays on Grace, Altar Boys, Bees, Kneeling, Saints, the Mass, Priests, Strong Women, Epiphanies, a Wake, and the Haun|For a moment this day, for many moments this May, let us gape in awe at the strength of women, and look upon their sinewy courage with respect and humility, as the Lord looked on His Mother, and still does. Like Him we are of women born, and to women must pay our first respect, and owe our first love, for they are as strong as the very ribs of the earth.
Joyce Rachelle, Sewing Figs|But men are bound to saySome things that, though untrue,Will get you down the aisleUntil you say "I do.
Alice Munro|Why is there always this twitchiness, when you introduce a man to a woman friend, about whether the man will be bored or put off?
Barbara Pollack|What to do with daughters has always been something of a problem, unless they are so pretty or so passive or so wealthy that they are snatched up as brides as soon as the come of marriageable age.— THE COLLECTORS: DR. CLARIBEL AND MISS ETTA CONE
Melvin Udall played by Jack Nicholson in AS GOOD AS IT GETS.|Receptionist: How do you write women so well?Melvin Udall: I think of a man, and I take away reason and accountability.
Kristen Kehoe, Dropping In|The woman who is liberated must never cross the line in which we ask men to examine their actions; we are a country built on the ideas, ingenuity, canniness, and downright brutality of man—to question their motives is to question our existence.
Michelle Obama|When they go low, we go high.
Frances Hardinge, The Lie Tree|This is a battlefield, Faith! Women find themselves on battlefields, just as men do. We are given no weapons, and cannot be seen to fight. But fight we must, or perish.
Suzy Kassem|When the heart is beautiful, its light shines through the eyes, vocal tones and actions of its master. True beauty is not in the body, but in the heart of the beholder.
Qalandar Nawaz|You call her a Bitch,Because she throws attitude?Gentlemen, You need to Grow up!Try to be modest in Her Eyes,Not a disgust in Her Insights!
Anna Kessel, Eat Sweat Play: How Sport Can Change Our Lives|Surely we want to get to a point where women can be strong and powerful and not sexy. Or only sexy when they feel like it, not as a requirement to getting media coverage or being valued.
Anna Kessel, Eat Sweat Play: How Sport Can Change Our Lives|I think too often we forget that girls can like sport; we are not biologically programmed to detest it, we are - in the main - conditioned against it. But shouldn’t we try to change that?
Kahlil Gibran, Beloved Prophet: The Love Letters of Kahlil Gibran and Mary Haskell, and Her Private Journal|The professors in the academy say, “Do not make the model more beautiful than she is,” and my soul whispers, “O if you could only paint the model as beautiful as she really is.
Liane Moriarty, Big Little Lies|And maybe it was more than that.Maybe it was actually an unspoken instant agreement between the four women on the balcony: No woman should pay for the accidental death of this particular man. Maybe it was an involuntary, atavistic response to thousands of years of violence against women. Maybe it was for every rape, every brutal backhanded slap, every other Perry that had come before this one.
Lena Dunham, Not That Kind of Girl: A Young Woman Tells You What She's "Learned"|I have been envious of male characteristics, if not the men themselves. I'm jealous of the ease with which they seem to inhabit their professional pursuits: the lack of apologizing, of bending over backward to make sure the people around them are comfortable with what they're trying to do. The fact that they are so often free of the people-pleasing instincts. I have watched men order at dinner, ask for shitty wine and extra bread with confidence I could never muster, and thought, what a treat that must be. But I also considered being female such a unique gift, such a sacred joy, in ways that run so deep I can't articulate them. It's a special kind of privilege to be born into the body you wanted, to embrace the essence of your gender even as you recognize what you are up against. Even as you seek to redefine it.
Ljupka Cvetanova, The New Land|Poets, you always write about women worth dying for. Write, for a change, something about the ones worth living for!
Susan Sarandon|When all you know is pain you don’t know that that is not normal. It is not a woman’s lot to suffer, even if we’ve been raised that
Susan Sarandon|Pay equality is not going to happen because we scream and yell about it, it's going to happen when we start demandin
Gugu Mona|Working with women is such a rewarding experience because as you interact with them, you realize that although they face various struggles, women have one goal, to see the world change for the better.
Arlie Russell Hochschild, The Second Shift|In the history of American fatherhood, there have been roughly three stages, each a response to economic change. In the first, agrarian stage, a father trained and disciplined his son for employment, and often offered him work on the farm, while his wife brought up the girls. (For blacks, this stage began after slavery ended.) As economic life and vocational training moved out of the family in the early nineteenth century, fathers left more of the child-rearing to their wives. According to the historian John Nash, in both these stages, fathers were often distant and stern. Not until the early twentieth century, when increasing numbers of women developed identities, beyond brief jobs before marriage, in the schoolhouse, factory, and office, did the culture discover the idea that "father was friendly". In the early 1950s, popular magazines began to offer articles with titles such as "Fathers Are Parents Too" and "It's Time Father Got Back into the Family". Today, we are in the third stage of economic development but the second stage of fatherhood.
- A Starry Eyed April|Flythe kitesof your soul,letyour spiritsoar.
Ahmed Ali Anjum, Talking Pillow|The Women Who Can Wait For Her ManTill Dawn, Without Any Argument,Are Priceless.
Marge Piercy, Dance the Eagle to Sleep|they were in love with apocalypse, like all men, more in love with myths than with any woman.
Shayana K.|If got chance, 90% of married women in this world possess the power to manage home, child and career simultaneously, and many are still doing it. The challenge here is that what percent of married men has the will to say - I will help you out.
Mary Elizabeth Braddon, Lady Audley's Secret|The Eastern potentate who declared that women were at the bottom of all mischief, should have gone a little further and seen why it is so. It is because women are never lazy. They don’t know what it is to be quiet. They are Semiramides, and Cleopatras, and Joan of Arcs, Queen Elizabeths, and Catharine the Seconds, and they riot in battle, and murder, and clamour, and desperation. If they can’t agitate the universe and play at ball with hemispheres, they’ll make mountains of warfare and vexation out of domestic molehills; and social storms in household teacups. Forbid them to hold forth upon the freedom of nations and the wrongs of mankind, and they’ll quarrel with Mrs Jones about the shape of a mantle or the character of a small maid-servant. To call them the weaker sex is to utter a hideous mockery. They are the stronger sex, the nosier, the more persevering, the most self-assertive sex.
Robert Aickman, Ringing the Changes, Dark Entries|At heart, women are creatures of darkness all the time.
Emma Watson|I want to be a Renaissance Woman. I want to paint, and I want to write, and I want to act, and I just want to do everything.
Emma Watson|If you want to run for Prime Minister, you can. If you don’t, that’s wonderful, too. Shave your armpits, don’t shave them, wear flats one day, heels the next. These things are so irrelevant and surface to what it is all really about, and I wish people wouldn’t get caught up in that. We want to empower women to do exactly what they want, to be true to themselves, to have the opportunities to develop.
Sady Doyle, Trainwreck: The Women We Love to Hate, Mock, and Fear... and Why|Good-girl-gone-queer Lindsay Lohan, divorced single mother Britney Spears, Caitlyn Jenner with her sultry poses, Kim Kardashian having the gall to show up on the cover of Vogue with her black husband: All of them are tied to the tracks and gleefully run over, less for what they've done than for the threat they pose to the idea that female sexuality fits within a familiar and safe pattern. If control over women's bodies were the sole point of the trainwreck, that would be terrifying enough. But it's only the beginning: Shame and fear are used to police pretty much every aspect of being female. After you've told someone what to do with her body, you need to tell her what to do with her mind.
Han Kang, The Vegetarian|As for women who were pretty, intelligent, strikingly sensual, the daughters of rich families—they would only have served to disrupt my carefully ordered existence
Emma Watson|When at 15, my girlfriends started dropping out of their beloved sports teams, because they didn’t want to appear muscle-y, when at 18, my male friends were unable to express their feelings, I decided that I was a feminist.
Olivia Laing, The Lonely City: Adventures in the Art of Being Alone|[of Nan Goldin] In an afterword to Ballad written in 2012, she declared: ‘I decided as a young girl I was going to leave a record of my life and experience that no one could rewrite or deny.
Leopold von Sacher-Masoch, Venus in Furs|You view love and especially women...as something hostile, something against which you defend yourself, although in vain, something whose power over you, however, you feel as a sweet torment, a prickling cruelty: this is truly a modern attitude.
Himmilicious|I live like a woman and I love like a man. If only,you can deal with it.
Conor Friedersdorf|too many left-wing student groups treat no one as badly as students of color or women who consider themselves to be classical liberals, libertarians, or conservatives, or who merely disagree with the actions of progressive protesters on campus. They’re seen as special kinds of traitors.
Judith Tarr, White Mare's Daughter|If it were left to men, there'd be nothing in the world but mating and squabbling.
Vincent O'Sullivan, The Supernatural Omnibus: Being a Collection of Stories of Apparitions, Witchcraft, Werewolves, Diabolism, Necromancy, Satanism, Divination, Sorcery, Goetry, Voodoo, Possession, Occult, Doom and Destiny|Amid this social intercourse, however, he avoided sedulously a meeting with Mrs. Annice; he had decided not to see her for a while. Indeed, it was not till an evening late in February, after dinner, that he took a cab to her house near Washington Square. He found her at home, and had not waited a minute before she came into the room. She was a tall woman, and wonderfully handsome by gaslight; but she had that tiresome habit, which many women have, of talking intensely--in italics, as it were: a habit found generally in women ill brought up-women without control of their feelings, or command of the expression of them.("The Bargain of Rupert Orange")
Kittredge Cherry, Womansword: What Japanese Words Say about Women|Psychologically, Japanese women depend largely on each other. In their sex-segregated society, they could be criticized for living in a female ghetto, and yet they have what some American feminists are trying to build, a ”women’s culture” with its own customs, values and even language.
Kittredge Cherry, Womansword: What Japanese Words Say about Women|When [Japanese] women encouraged men to bask in public glory, it reminded me of the way you would indulge a child with a sweet-bean treat.
Kittredge Cherry, Womansword: What Japanese Words Say about Women|In direct confrontation, the [Japanese] women might yield like blades of grass -- and spring back just as quickly. One of them compared this flexibility to the Vietcong guerrillas…
Leopold von Sacher-Masoch, Venus in Furs|It is merely the egoism of men, who wants to bury a woman like a treasure. All attempts at using vows, contracts, and holy ceremonies have failed to bring permanence into the most changeable aspect of changeable human existence, namely love. Can you deny that our Christina world is rotting?
Zainab Omaki, Side Babies: Contemporary Women In Africa|The chaos of their voices registers as a single, overwhelming force cutting off her ability to reason, and all she wants is to get as far away from people as possible.
Dada Bhagwan|For men, women are their ‘counter weights’ and when that is not enough, their daughters are their ‘counter weights.’ One can’t do without a counter weight. Otherwise, he will fall over.
Anna Kessel, Eat Sweat Play: How Sport Can Change Our Lives|Maybe exercise and sport can be something we do for ourselves. For fun! For Happiness! For clear thinking! Because physical activity should be something integral to our being alive. And it is the essential part that really concerns us here, not the bit about how many millimetres it might shave off your inside thigh measurements.
Mokokoma Mokhonoana|Some women would not cheat, and some would not have cheated, had they each married a man whom they love … or at least like.
Miya Yamanouchi, Embrace Your Sexual Self: A Practical Guide for Women|Does that new man in your life call his ex "a slut", "a whore", "a bitch", "psycho" , "crazy", "a nutter" etc etc. Chances are, whatever he's calling his ex right now, he'll be calling you when things don't go his way. Be warned.
J. Richard Singleton|If there's one thing I know about women, it's that they have vaginas.
Neil Strauss, The Truth: An Uncomfortable Book About Relationships|…each woman is a wonderful world unto herself. And monogamy? It’s like choosing to live in a single town and never traveling to experience the beauty, history, and enchantment of all the other unique, wonderful places in the world. Why does love have to limit us?	Perhaps it doesn’t. Only fear is restrictive. Love is expansive. And I wonder, since fear of enmeshment impels us to avoid commitment and fear of abandonment makes us possessive, what type of evolved relationship can emerge once those wounds are healed?
Edith Wharton, The House of Mirth|The whole truth?" Miss Bart laughed. "What is the truth? Where a woman is concerned, it's the story that's easiest to believe. In this case it's a great deal easier to believe Bertha Dorset's story than mine, because she has a big house and an opera box, and it's convenient to be on good terms with her
Marcel Schwob, The Book of Monelle|Do not be surprised,' she said. 'It is I, and it is not I; You shall find me again, and you shall lose me; Once more shall I come among you; for few men have seen me, and none has understood me; And you shall forget me, and you shall recognize me, and you shall forget me.
Lidia Yuknavitch, The Chronology of Water|Leslie Marmon Silko whispers the story is long. No, longer. Longer than that even. Longer than anything. With Anne Sexton and Sylvia Plath drink at the bar. Laugh the dark laughter in the dark light. Sing a dark drunken song of men. Make a slurry toast. Rock back and forth, and drink the dark, and bask in the wallow of women knowing what women know. Just for a night. When you need to feel the ground of your life and the heart of the world, there will be a bonfire at the edge of a canyon under a night sky where Joy Harjo will sing your bonesong. Go ahead-with Anne Carson - rebuild the wreckage of a life a word at a time, ignoring grammar and the forms that keep culture humming. Make word war and have it out and settle it, scattering old meanings like hacked to pieces paper doll confetti. The lines that are left … they are awake and growling. With Virginia Woolf there will perhaps be a long walk in a garden or along a shore, perhaps a walk that will last all day. She will put her arm in yours and gaze out. At your backs will be history. In front of you, just the ordinary day, which is of course your entire life. Like language. The small backs of words. Stretching out horizonless. I am in a midnight blue room. A writing room. With a blood red desk. A room with rituals and sanctuaries. I made it for myself. It took me years. I reach down below my desk and pull up a bottle of scotch. Balvenie. 30 year. I pour myself an amber shot. I drink. Warm lips, throat. I close my eyes. I am not Virginia Woolf. But there is a line of hers that keeps me well: Arrange whatever pieces come your way. I am not alone. Whatever else there was or is, writing is with me.
Mokokoma Mokhonoana|In a patriarchal society, one of the most important functions of the institution of the family is to make feel like a somebody whenever he is in his own yard a man who is a nobody whenever he is in his employer’s yard.
Ursula K. Le Guin, The Dispossessed|Shevek saw that he had touched in these men an impersonal animosity that went very deep. Apparently they, like the tables on the ship, contained a woman, a suppressed, silenced, bestialized woman, a fury in a cage. He had no right to tease them. They knew no relation but possession. They were possessed.
Philip K. Dick, The Man in the High Castle|And yet now and then he let himself steal a glance at her. Lovely dark colors of her skin, hair, and eyes. We are half-baked compared to them. Allowed out of the kiln before we were fully done. The old aboriginal myth; the truth, there.
Sebastian Junger, Tribe: On Homecoming and Belonging|Women tend to act heroically within their own moral universe, regardless of whether anyone else knows about it - donating more kidneys to nonrelatives than men do, for example. Men, on the other hand, are far more likely to risk their lives at a moment's notice, and that reaction is particularly strong when others are watching, or when they are part of a group.
Charlotte Wood|Neither Boncer nor Teddy comes out of the house, not even to watch from the veranda. Here, laying the dead to rest, like washing and feeding and birth, is women’s work.
Lidia Yuknavitch, The Chronology of Water|But more often there are regular people in the pool. Beautiful women seniors doing water aerobics - mothers and grandmothers and great grandmothers - their massive breasts and guts reminding you how it is that women carry worlds. When I swim by them I watch their legs and bodies underwater, and feel a strange kinship with a maternal lineage.
