Na'ama Yehuda|When hearts speak, they touch each other and transform the deepest sorrow.
Bertrice Small, This Heart of Mine|Once the Wheel of Love has been set in motion, there is no absolute rule.Your being contains mine; now I am truly part of you. Together as one, we form an unbroken circle of love.The wife is half the man, his priceless friend; Of pleasure, virtue, wealth, his constant source; A help throughout his earthly years; Through life unchanging, even beyond its end.
christopher evan|At least if you don’t ask,I don’t have to lie.I’ve spent most of the pastfew months asleep on the bathroom floor;sick of keeping everything in,too tired to let it out.“Home” is such an empty word.I’m not sure why it feltwhole coming from your mouth.I’m not sure why I feltwhole. We both know I’m just an ideato carve into sheetrockwith swollen fists;leaving worn out holes thatyour heart never fit.I try not to wake up,but my body is used to(everyone leaving)routines.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|Money may buy you the means to a happiness, but it cannot buy happiness itself.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|Walk with me now into this very bright night, and revere with me in silence what must be God-given and what is surely God-taken.
Roopleen|Don’t ever let rejections or failures put you down and keep you from trying. Believe in yourself, have an unwavering desire to excel, put in your best your efforts, persevere and you will blaze your trail.
Roopleen|You have the ability to shine and make a mark in some field. Your job is to find your niche, excel and build a lasting legacy.
Roopleen|Desires and wishes don’t lead to success. Plans and efforts do. Create a vision, chalk out an action plan, put in your best efforts and give yourself a headstart in achieving your dreams.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|Marriage is not the beginning of the journey, nor the end - it is the journey.
Selin Kuscu|I don’t want to be the product of my environment, of the perks of this generation. I want to see the bigger picture, take it into account and make the choices that go beyond what’s right in front of me.I want to be timeless.
Irin Sintriana, Love Sweet Love|Love is a struggle, hard to get and hard to leave.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|Do not give a damn what "they" have to say (and you will know who they are) for you are either very right or very wrong, but at least you are very something.
Khalia Hades, The Alaskan Mummy|I have nothing against gay officers, but its time to get your shit straight an leave the drag at home.
Paul David Tripp, A Quest For More: Living For Something Bigger than You|God’s grace invites you to be part of something that is far greater than your boldest and most expansive dream. His grace cuts a hole in your self-built prison and invites you to step into something so huge, so significant that only one word in the Bible can adequately capture it. That word is glory.
Movie Deep Impact|Alan Rittenhouse: I know you're just a reporter, but you used to be a person, right?
Carew Papritz|When do you become a man? When you become your own man. When other men trust you to do a man's work. Trust you with their name, their reputation, their thoughts. Trust you to watch their backs and trust you with their lives.
Philip McKernan|Success is manufactured in the Mind, while Happiness is cultivated in the Soul
Richard Bach, Illusions: The Adventures of a Reluctant Messiah|I'll quote the truth wherever I find it, thank you.
Lucy 'Aisy|Life's like the piano and the violin, it's about how smart you could play the melodies to make a good harmony.
Daniel Willey|Ever since I could read, I’ve wanted to write a book. I never thought I had anything to write about. Maybe you don’t think this is worth writing about. But this book isn’t for you. It’s for me.
Haidji, SG - Suicide Game|You say good-bye, and you think you'll be free. But I'll be awaiting you, in your final destiny.
Andy Warhol, The Philosophy of Andy Warhol|The child-like, gum-chewing naïveté , the glamour rooted in despair, the self admiring carelessness, the perfected otherness, the wispiness, the shadowy, voyeuristic, vaguely sinister aura, the pale, soft-spoken magical presence, the skin and bones…
Benny Bellamacina, Philosophical Uplifting Quotes and Poems|I've never been thrown out of a pub, but I've fallen into quite a few
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|HungerYou are only here now, and then you are gone. So be hungry. Hunger toward beauty. Hunger toward love. Hunger towards the unimaginable and unthinkable.
Brian W. Porter|You're never lost. You always know exactly where you are. You're right here. It's just that sometimes you've misplaced your destination.Brian W. Porter 2005Have you ever wondered how the computer you're using got to the store? How about your medicines, the food you eat, the clothes you wear, the furniture, the plants in the garden center? Do they have a railroad right there? Does merchandise magically appear? Only if you grow your own food, make your own clothes, make your own tools, cut your own wood, and make your own furniture, can you get away from trucking. Everything you see, even the nature outside in some places, has been on at least one truck.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|When do you become a man? Becoming a man means doing the right thing even though it may be hard or difficult. Boys do what is easiest. A man does what is right, whether easy or not.
Ace Antonio Hall|I honor the past. I'm loyal to the future. But I fight with the present. Since NOW's where I belong, every battle's fought with urgency.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|While all the universe and my family are still sleeping, I will walk among the red and blue twinkle-lights of the living room, to sit and gaze upon the pretty white angel atop the tree and say silent prayers, remembering what was good in the world and why I was brought here to remember.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|You might want more time in your life to attempt the things you like to do, and not just perform the things you have to do.
Jill Telford, Walk Like a Giant|People say they walk on the shoulders of giants. True, but have you ever walked like one?
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|A Good Man. Every night, like a question-and-answer prayer, my son and I recite...What are you going to be? And he says...An honest man. A fair man. A courageous man. And a good man. That's the most important thing, Papa. And my job is finally done. For the night.
Ellen J. Barrier|There is a better future, with a greater purpose. One can find it, only if he or she searches for it.
Taylor Grace|Don’t approach a dragon from the front, a jakkar from the back or a norn from any side. Annuan saying.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|These Moments Cascade Upon One Another"Here at shepherd's dusk, in a valley without echo, I listen for you. With a frayed longing, I hear your shadow voice whispering within me from far away. I grasp at what is left of this husky sun lying golden upon the upper meadows of lodge pole and bear grass. I gather the last remnants of the evening's breeze, so cool and lazy within my arms, feeling it curl up like a small and innocent kitten. And I see that behind a cloak of clouds, dalliance suits the canting moon. Suddenly I do not wish to lose another moment, And I covet all pristine light.
Ace Antonio Hall|November 20th, 2013. A new beginning. A new day. Reborn. Time to grow. Hello world! I am yours. Feed me, I am full of curiosity. Awakened.
Oliver Bowden, Assassin's Creed: The Secret Crusade|What is the truth?’ he asked. ‘We place faith in ourselves,’ replied Altaïr (...) ‘We see the world as it really is, and hope that one day all mankind might see the same.’‘What is the world, then?’‘An illusion,’ replied Altaïr. ‘One we can either submit to – as most do – or transcend.’‘And what is it to transcend?’'To recognize that laws arise not from divinity, but reason. I understand now that our Creed does not command us to be free.’ And suddenly he really did understand. ‘It commands us to be wise
Rhonda Byrne, Hero|Life is not about negative circumstances that happen to you, it's about what you do with the golden opportunities hidden within!
Anne Morrow Lindbergh, Gift from the Sea|It is the wilderness inthe mind, the desert wastes in the heart through which one wanders lost and a stranger. When one is astranger to oneself then one is estranged from others too. If one is out of touch with oneself, then onecannot touch others.
Oliver Bowden, Assassin's Creed: The Secret Crusade|They do not learn, fixed in their ways as they are. You are naïve tothink otherwise. It’s an illness, Assassin, for which there is but one cure.’‘You’re wrong. And that’s why you must be put to rest.’‘Am I not unlike those precious books you seek to save? A source of knowledgewith which you disagree? Yet you’re rather quick to steal my life.’‘A small sacrifice to save many. It is necessary.
Layne Beachley|Put your hand on your heart and ask yourself, what do I want? The first thing that comes to mind is always the right one.
Diane Ackerman, The Zookeeper's Wife|For if I do something, I never do it thoughtlessly.
Jim George, One-Minute Insights for Men|It's not your schedule that keeps you from praying, it's your failure to realize the importance of prayer.
Jamie L. Harding|If you're going to fall in love with anyone, fall in love with a writer. Allow yourself to become immortalised in words.
Diana Rose Morcilla|Now let's talk about dreams. Yes. Dreams. I believe that dreams are one of the best thing in the world. It's so powerful. Because of people dreaming; things are being done and things are being made. Things happen. Dreams are being manifested to beautiful things. Dreams can make people happy, but sad as well (if they don't happen). Well let me tell you, I believe dreams come true because one person decided it so.
Diana Rose Morcilla|D.D.R.C.T. which stands for "Dreams Do Really Come True". Yes, I'm a firm believer about that. I can even stand in a crowd and be an ambassador of Dreams Do Come True Club.
Jamie L. Harding|She did not respond, only clung harder to my embrace, and I held her with all the afflictions of a man torn by love. What a miracle she was, what a truly exquisite paragon of beauty and virtue so incredibly combined. And all perhaps wrenched from my grasp because of a war I had no real interest in nor knowledge of. In that moment I did not care who won, if only it would end and I could be with her. I would accept the whole responsibility of defeat if I had to, if only it meant a life with her by my side.I just wanted her. Needed her. As simply and clearly as one needs food and oxygen and light, I needed her in my life.And above us, flittering tranquilly in the trees above, the finches and skylarks continued to sing peacefully into the fading sun.
Mehek Bassi|The term - 'Fairy-Tales' is so ironical in itself, when I sometimes sit to write love stories with a happy ending, it usually drags me into a dilemma whether, I should even begin with a love story at first place or not? Because honestly, I haven't seen many of them reaching climax, most of them just die out in the mid. Then comes the concept of fairy tales or what we say 'fiction', where nothing is impossible!But over time, if I've realized something, it is that there's no such term called fiction when it comes to reality! Its harsh, in-your-face-sarcastic, ironical and highly irrational. You can't expect what's coming up next, and how it's going to blow you. In the real life, the entire meaning of fiction ceases to exist. Conclusively, we writers, deal with harsh reality and write lively fictions, this job in itself is so ironical but, that's life...
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|I remember once kissing you, your face lit by northern stars. Promising to grow old with you, and now so simply breaking the promise.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|I travel to be replenished with beauty, for travel makes the beauty of this world seem like a Christmas that never ends.
Ace Antonio Hall|The best thing about this journey is I know I have it in me to keep going. Battle-tested, you know? Now, my heart laughs at the word 'quit'.
Tony Newton, The Zombie Rule Book: A Zombie Apocalypse Survival Guide|Make goals, dream big, live with passion.
Ashley Tia Long|I often get asked the question, 'If you had to compare your writing to an author who would it be?' My answer is always the same; the author I compare myself to is me. Every writer has a unique style relevant to only themselves. I am nothing like other authors; some aspects of my writing may have similarities to another, but in the end, each and every one of us is different.
Jessica Clare, Stranded with a Billionaire|Love is not control, Logan. Love is partnership. Friendship. A wise man once said, 'If you want to be loved, be lovable.
Nick Offerman, Paddle Your Own Canoe: One Man's Fundamentals for Delicious Living|Instead of playing Draw Something, fucking draw something
Katja Michael, She Came at Dawn|I’ve read somewhere in a book when something happens that is unbearable to you, sometimes, time stops. Like your inner clock just stops working, even if the world keeps spinning you will stand still for the rest of your life.
Hafsah Laziaf, Unbreathable|The fire crackled. On Jutaire, without oxygen, the fire is different. Fed by different air. Maybe it wishes it were orange, for it sputters and reaches up to the sky with angry fists of blue and purple. It still doesn't know we can't all get what we want.
E.L. James|Oh... Blip. Yeah, I see." He sounds distracted, awed. "Your child," I whisper."Our child." He counters.
Amy Leach, Things That Are|Whether people need nature or not, it was clear that nature needed people. But perhaps nature needs us like a hostage needs her captors: nature needs us not to annihilate her, not to run her over, not to cover her with cement, not to chop her down. We can hardly admire ourselves, then, when we stop to accommodate nature's needs: we are dubious heroes who create peril and then save it's victims, we who rescue the animals and the trees from ourselves.
Ricky Maye, Barefoot Christianity|The past does not define me, it ignites me. The past is not a piece of me, it has placed me.
Hafsah Laziaf, Unbreathable|When I think of war, I see blood. Pain and suffering. Nothing good comes from war.But there is good. There will be an outcome. One side will find peace, solace. While the other will end in bitter loss.There are two sides to the coin of war.
Pen|Without a sense of humor, you don't have much sense at all.
Nina Jean Slack|Writing has become more than just a profession, and hobby…it has become a way to express my feelings and pour my entire soul into the pages of my books. Thank God for the little things in life that makes us feel infinite and tranquil…the little things that make way for us to escape reality and enter new worlds that we create. -Nina Jean Slack
Sophie Kinsella, Shopaholic & Baby|Love is all that counts in this crazy, mixed-up world...
Kandi Steiner, Tag Chaser|We all know I’m marrying you, as soon as you get over your thing with dog tags and realize a stethoscope is way sexier, anyway.” - Tanner
Eleanor Keane, The Breathing Ghosts|He used to call vampires "the breathing ghosts"- for, as he put it, we existed in a kind of limbo-land between the living and the dead. We breathed, but we were not alive. We flitted through the air, but we still left foot prints on the ground. We were, and are, neither one nor the other, but something else entirely.
Sonnia Kemmer|Being a writer means expressing with passion your imagination, nightmares, dreams, experiences and reality through words on paper. You are a successful writer when readers criticize, get emotionally affected by, and praise your written work. As a writer, rejections are paths to success. Being prepared for it is like wearing a powerful armor in battles unknown. Continue to write. It is a writer's mighty shield and weapon.
Sharon Lathan, Loving Mr. Darcy: Journeys Beyond Pemberley|Marriage as it should be... two individuals loving the other more than they cared for themselves. Giving and giving until theoretically they should be empty, yet always invigorated with more to give.
Benny Bellamacina, Philosophical Uplifting Quotes and Poems|Avoid the stage of old age sit in the audience, it's all the rage
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|Respect both what you need to know and what you don't need to know. Respect mystery, for mystery is still needed to run the universe." -- The Legacy Letters﻿, by Carew Papritz"Things I didn't know.
Veronica Roth, Allegiant|We don't know what's happened out there since they put us in here, or how many generations have lived and died since they did.We could be the last people left.
Tia Walker, The Inspired Caregiver: Finding Joy While Caring for Those You Love|In the heart or every caregiver is a knowing that we are all connected. As I do for you, I do for me.
Leo Buscaglia|Education should be the process of helping everyone to discover his uniqueness." -Leo Buscaglia (1924-1998)
Sikhwetha maanda stanley|Only once in my lifetime , I truly believe I find someone who can turn my world around , I share dreams that I never achieved and goals that were achieved , but there was always a part of me that hoped for more , and so there was a part of me that was always a fool ,
Chelsea Fine, Sophie & Carter|She just keeps kissing my scars. Every scar. She knows about them all. She watched them all appear and heal. Sophie's lips against me make every punch, every kick, every wound, every scar worth it.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|I travel because it makes me realize how much I haven't seen, how much I'm not going to see, and how much I still need to see."- The Legacy Letters, by Carew Papritz
Marieta Maglas|When nature suffers because it is destroyed by human activities, the notion of beauty is really losing its meaning, because nothing is more aesthetic than the natural beauty.
Sikhwetha maanda|My first crush use to think I hate her cuz never find time to chat with her , is only Hi and hellow that all , but not knowing that deep down in my soul and heart she is the first and last I want , but hey is fine now , she end up with some fox who loves her ,
Laure Lacornette|I have no more goals, all I'm gonna do is deal with the days Nature will give me along. I have lost too much strength on futile things until then !
Laure Lacornette|To be forced to endure something because you have no money to counter it ; this fact is totally unfair and I can't, personally, tolerate it.
Leslie Austin|Writers need faith, or else we can never trust the action of our words!
Brandy Nacole, Sacrifice: A New Dawn|A woman can lend a man the strength to conquer a kingdom, and bring him to his knees with one breath.
Brandy Nacole, Sacrifice: A New Dawn|The actions of yesterday, the pretenses of tomorrow, and the presence of now, have forever added to history.
Mehmet Murat ildan|If a quote changes your life in a good way, keep it in your mind and in your heart to give it to someone else too!
Brandy Nacole, Sacrifice: A New Dawn|She clenches the crystal necklace that Dagna gave me, the one I always wear. “Never lose this, Harmony. It is a symbol of the beginning. The power that still lingers inside it will help you, but even as it fades, the memory of everything until now will carry you as if it were still strong.
Brandy Nacole, Sacrifice: A New Dawn|I guess it’s worth a shot.” More than likely a wasted bullet, but I’ll fire anyway.
Sarah Dessen, Dreamland|Just start somewhere," Dr. Marshall had said to me as I ground a banana-pineapple one to bits between my teeth. "It doesn't have to be at the beginning." She'd pulled her legs up, Indian-style, letting the legal pad she'd been holding drop to the floor."I thought everything always had to start at the beginning," I said. "Not in this room," she said easily. "Go ahead, Caitlin. Just tell me one thing. It gets easier, I promise. The first thing is always the hardest." I looked down at my hands, stained mildly red from the particularly sticky watermelon Rancher. "Okay," I said, reaching forward to take another one out of the bowl, just in case. She was already sitting back in her chair, readying herself for whatever glimpse I would give her into the mess I'd become. "What was the name of Pygmalion's sister?"She blinked, twice, obviously surprised. "Ummm," she said, keeping her eyes on me. "I don't know.""Rogerson did," I told her. "Rogerson knew everything.
Nina Jean Slack|Always write exactly what you’re feeling at the exact moment when writing something like poetry or an emotional novel. Put yourself, pour all emotions into your work…make yourself cry, feel joy if you are writing joyful things, feel lovey if it calls for it…just put your heart and soul into all that you do…then you will be a good writer when you can make whoever reads your work, feel." -Nina Jean Slack
Margaret Peterson Haddix, Sent|To quote a famous philosopher revered in my time 'But this is no different from regular life. When have you ever known what's going to happen in the future?'" Wait a minute, Jonah thought. I said that. Back at Westminster, with Katherine. Does that mean I'm going to be a famous philosopher in the future? Does that mean I'm going to be revered? There wasn't time to ask.
Terry Tempest Williams, When Women Were Birds: Fifty-four Variations on Voice|When it comes to words, rather than using our own voice, authentic and unpracticed, we steal someone else's to shield our fear.
Christy Jordan, Come Home to Supper: Over 200 Casseroles, Skillets, and Sides (Desserts, Too!) to Feed Your Family with Love|Each day when you wake up you have a choice: You can have a good day, or you can have a bad day. So you might as well have a good one.
Nina G. Jones, Strapped|Shy, all those things you listed don’t make a person. They don’t. I mean it. You’re beautiful, both inside and outside, but please don’t look at me to validate that. You have to know it for yourself. -Taylor Holden, Strapped.
Sara Gruen, Water for Elephants|You do right by me, I'll show you a life most suckers can't even dream of.
Mitch Kynock|Never feel that you are alone, as someone is always be your side.
Saru Singhal|Without sense of direction, efforts land nowhere.
Janet Fitch, White Oleander|This was how girls left. They packed up their suitcases and walked away in high heels. They pretended they weren't crying, that it wasn't the worst day of their lives.
Elizabeth E. Castillo|Authentic happiness lies in your state of perspective and not all about the state of your income. Real happiness runs deep from within and does not just walk on shallow waters."- Elizabeth's Quotes
Leslie Austin|Only those who believe can achieve what others merely dream about. However, without these same dreams we will achieve little. Dream AND believe to ACHIEVE!!!
Rocio Sanchez|And she saw beauty even in the tiny sparkles of dust suspended in the air, high above.
Mehmet Murat ildan|A wise quote can only change a wise man! Therefore, wise sayings are for the wise men, not for the fools! The sunflowers turn their face toward the Sun, the fools, toward the darkness!
John   Dunn, Loopers: A Caddie's Twenty-Year Golf Odyssey|The mornings came hard, and our caddie master, Dick Millweed, had a temper that could make a hangover seem like a seismic fracture. He was a small man with a soft, friendly voice. He was not intimidating at all, until he lost it. In his defense, he took shit from all sides - from the members who wanted their favorite caddie and their preferred tee time, from the golf staff who wanted him to perform a million menial duties, and from us when we showed up bleary eyed and incoherent and sometimes didn't show up at all. And God forbid a caddie should stumble in late, because then Millweed's lips would begin to tremble and his blue eyes would explode from his head. They grew as large as saucers and shook as though his skull was suffering earthquake. And he appeared to grow with them. It was like some shaman or yogi trick. Pound for pound, I've never met anyone else who could so effectively deliver anger. He would yell, "You like fucking with me, don't you? You like making me look bad! You wake up and say, 'Today I'm gonna fuck with Millweed!' and it makes you happy, doesn't it?"And we had no choice but to stand there and take it - hang our heads and blubber apologies and promise never to be hung over again, never to show up late again, because he held the ultimate trump card _ he could fire us and cut us off from the golden tit. But once we were out on the course walking it off, the hanover and any cares associated with it (including Millweed) evaporated into the light mountain air. And after the round, with our pockets replenished and our spirits restored by the carefree, self-congratulatory ebullience of the uberrich, we were powerless to resist the siren song of clinking glasses, the inviting golden light of the street lamps and tavern windows in town, and the slopeside hot tubs steaming under the stars. We all jumped ship and dined, danced, and romanced the night away and then were dashed against the rocks of Millweed's wrath all over again the next morning.
Nina Jean Slack, Little Effie's Book Of Poetry|Although my road to writing seems like it may have come easily, there were a few bumps in that road. I didn’t get a lot of encouragement from friends, although my family were great supporters. I also had many…what you would call “mind-boggling” moments, when I would doubt myself and what I was writing. It has been said that we, ourselves, are our own worst critics.All the hard work had payed off though, and I created a children’s book that I am proud of, and an unforgettable little girl that will touch the hearts of many.”-Nina Jean Slack
B.K.S. Iyengar, Light on Life|You must purge yourself before finding faults in others.When you see a mistake in somebody else, try to find if you are making the same mistake.This is the way to take judgment and to turn it into improvement.Do not look at others' bodies with envy or with superiority.All people are born with different constitutions.Never compare with others.Each one's capacities are a function of his or her internal strength.Know your capacities and continually improve upon them.
Muhammad Ali Jinnah|Islam expect every Muslim to do this duty, and if we realise our responsibility time will come soon when we shall justify ourselves worthy of a glorious past.
Tiffany King|All the whispering, glaring, pointing and judging makes them no better than whoever or whatever it is they're gossiping about.
Muhammad Ali Jinnah|Come forward as servants of Islam, organize the people economically, socially, educationally and politically and I am sure that you will be a power that will be accepted by everybody.
Neil deGrasse Tyson, Space Chronicles: Facing the Ultimate Frontier|You know that passage in the Bible that says, “And the meek shall inherit the Earth”? Always wondered if that was mistranslated. Perhaps it actually says, “And the geek shall inherit the Earth.
David Levithan, Every Day|It’s okay,” I tell her.“It is okay to be happy
Mahavira|Can you hold a red-hot iron rod in your hand merely because some one wants you to do so? Then, will it be right on your part to ask others to do the same thing just to satisfy your desires? If you cannot tolerate infliction of pain on your body or mind by others' words and actions, what right have you to do the same to others through your words and deeds?Do unto others as you would like to be done by. Injury or violence done by you to any life in any form, animal or human, is as harmful as it would e if caused to your own self.
Richelle Mead, Bloodlines|As much as I hated to admit it, I kind of looked forward to seeing him. It made no sense, but something about his infuriating nature made me forget about my other worries. Weirdly, I felt like I could relax around him.
Jasinda Wilder, Falling into You|But I think you’re beautiful. You’re lovely.” I shifted uncomfortably under the intense scrutiny and prickling heat in his eyes. “Thanks?” He thinks I'm…lovely? The idea that Kyle thought I was not just hot, but lovely, sent pangs of something like fear through me, an intense pressure in my heart.
Benny Bellamacina, Philosophical Uplifting Quotes and Poems|Great songs don't grow on trees, yet lots of songs have been written on great trees
Benny Bellamacina, Philosophical Uplifting Quotes and Poems|It's good to let your mind wonder, as long as you know where it's going
Gabriel Boutros, The Guilty|The truth, in the right hands, can be a very flexible tool.
Bernard Cornwell, The Winter King|Nor did he care about his childhood, for certainly I never heard him speak of it. I once questioned him about his early days and he would not answer. ‘What is the egg to the eagle?’ he asked me…
Benny Bellamacina, Philosophical Uplifting Quotes and Poems|In the big scheme of things, it’s the little things that matter
Ashley Chunell|Stick to what you know and always be true to yourself. If you do that, your writing will be true, also.
Jac Prescott|One thing I’ve learned about art is that, it’s not perfect. It doesn’t have to be a flawless masterpiece. I’m not perfect, we’re not perfect… but right here, right now… is perfect. It’s a masterpiece.
Iyanla Vanzant|Fear wears so many clever disguises it is virtually impossible to always recognize it. Fear disguises itself as the need to be somewhere else, doing something else, not knowing how to do something or not needing to do something.
Mindee Arnett, The Nightmare Affair|I didn't do anything wrong. I swear.'He grunted. 'Like I've never heard that before. Funny, but I expected a little more originality from Moira's daughter.''Yeah, well, the dog ate my notebook with all my good excuses.
Mark Twain|Heaven is by favor; if it were by merit your dog would go in and you would stay out. Of all the creatures ever made (man) is the most detestable. Of the entire brood, he is the only one... that possesses malice. He is the only creature that inflicts pain for sport, knowing it to be pain.
Cecelia Ahern, The Time of My Life|Imagine you had a friend who was there for you all the time and you were there for them, but they stopped being there for you as much as they used to which you can understand a little because people have things to do, but then they’re around less and less no matter how much you try to reach out to them. Then suddenly one day - nothing - they’re gone. Just like that. Then you write to them, and you’re ignored, and then you write to them again and you’re ignored and finally you write to them for a third time and they barely even want to make the appointment, they’re so busy with their job, their friends and their car. How would you feel?
Gary Young, No Other Life|I would live forever if I could, but not like this.
Cecelia Ahern, The Time of My Life|I generally don’t become overexcited about things anyway, I’m just not one of those people.I’m not easily surprised by things either. I think it’s because I expect that anything can happen. That makes me sound like a believer and I’m not necessarily that either. I’ll phrase it better: I just accept things that happen. All things.
Cole Ryan|I believe being a ‘gentleman’ goes well beyond holding the door for a girl and letting her go before you. It’s about being vulnerable for her. I think that when it comes to the way we treat women, it’s a good idea to look to the way Jesus treated women. He laid His life down for His bride,He sacrificed for her,He lowered Himself for her,He was vulnerable for her.We must love women vulnerably in the same way that Jesus loved His bride vulnerably. Being a gentleman is far more than being caring and thoughtful, it’s about possessing sacrificial and vulnerable Christ-like characteristics. I don’t know if it’s possible to be a gentleman without knowing and representing the character of Jesus.
Saskia Walker, The Jezebel|They are my men and this ship my responsibility. I vowed no woman would ever alter my path. Yet I kept them from ending you, and it makes me sick to the gut, for I would still rather die myself than see one hair on your head damaged by another man.
Gloria D. Gonsalves, The Wisdom Huntress: Anthology of Thoughts and Narrations|Then I saw his kind eyes, a comfort I desired. Then I saw his height, a knight I needed by my side. Then I saw his body, a man I surrendered to.
Gloria D. Gonsalves, The Wisdom Huntress: Anthology of Thoughts and Narrations|I do not condemn either the rich or the poor, but the consequences of these two.
Gloria D. Gonsalves, The Wisdom Huntress: Anthology of Thoughts and Narrations|My lips swelled with red freshness, my chest heaved proudly with a pair of pointed African drums, my face tempted with its sweetness like Kilimanjaro waters and my height spoke a language only a Maasai warrior knew.
Gloria D. Gonsalves, The Wisdom Huntress: Anthology of Thoughts and Narrations|Right now in this world, a child is dying from an ailment because its family cannot afford to buy charcoal for boiling water.Right now in this world, a girl is striving to find firewood from trees that no more exist, and water from sources that are poisonous.Right now in this world, a boy is out fishing in a lake rich with inedible species.Right now in this world, a mother is drowning in heavy rainfall, to save her belongings.Right now in this world, a man has lost his dignity because all his eff orts to save have been wiped away to poverty by unforeseen calamities.Right now in this world, a family is starving because drought has invaded their once fertile land.Right now in this world, a nation is planning for refugee status due to adverse climate conditions.Right now in this world, you have a choice to help alleviate environmental problems caused by humankind.
Gloria D. Gonsalves, The Wisdom Huntress: Anthology of Thoughts and Narrations|Have you ever entered a kitchen to find a woman, her legs crossed while the rest of her body is dressed in colourful khanga, smiling at you while her hands are making a melodious song with a coconut grater? Have you ever wondered how any woman size can fit on that grater regardless of their body size? The time for wondering is over. East Africa heartily welcomes you to see for yourself. Go and visit it.
Gloria D. Gonsalves, The Wisdom Huntress: Anthology of Thoughts and Narrations|You will experience a lot of imaginings as usually is for humans although we tend to pretend that all our thoughts are septic and moral. Feelcomfortable with your thoughts. Trust me dear child, no human is spared from wild thoughts and you too will have them. Nothing should limit you my child. But the minute you decide to speak out your thinking or live them, you should be ready for the consequences too.
Gloria D. Gonsalves, The Wisdom Huntress: Anthology of Thoughts and Narrations|If a lion can growl, why shouldn’t a man cry?
Gloria D. Gonsalves, The Wisdom Huntress: Anthology of Thoughts and Narrations|I refuse to behave fraudulently, as if I was anything else but African.
Ali Harris|Have you ever given yourself to a kiss so completely, that you felt like you surrendered some of yourself and replaced it with a part of them?
Ali Harris|Kiss till you can't kiss any more, kiss on the street in front of everyone, kiss as if each one were the last.
Ali Harris, The First Last Kiss|Make every kiss a celebration, throw a party for every one.
