Cassandra Clare|I think that's just a story.""But, Jace," she said. "All stories are true.
Ness Kingsley, The Curse of Cackling Meadows|Instead she looked very hard at the woman's chin. On it was a single white hair - visible even in the heavy dusk - that closely resembled a piece of thread hanging off a scrap of fabric. The woman forgot about Rusty for a moment. "I call her Hephzibah," she said with pride. "It's taken years for her to grow.
John Berryman, The Dream Songs|During those years he met his seminars,went & lectured & read, talked with human beings,paid insurance & taxes;but his mind was not on it. his mind was elsewheresin an area where the soul not talks but sings& where foes are attacked with axes.
C.J. Milbrandt, Aboard the Train|They were daughters of the sky. Luck belonged to them— never bad, often good, sometimes hard.
C.J. Milbrandt, Aboard the Train|Your name isn't Sniffles?" Ewan pretended to be surprised.
S. Elizabeth Dover|But I assure you, a government that is willing to put their own children in danger, their own future, just to see their potential, is twisted. We do not grab babies, newborns, and throw them out of windows just to see if they sprout wings.
T.S. Pettibone, Hatred Day|They were like lightning and rain, existing together but clashing at their very natures.
J.R.R. Tolkien, The Silmarillion|What would you here, unhappy mortal, and for what cause have you left your own land to enter this, which is forbidden to such as you? Can you show reason why my power should not be laid on you in heavy punishment for your insolence and folly?" Then Beren looking up beheld the eyes of Luthien, and his glance went also to the face of Melian; and it seemed to him that words were put into his mouth. Fear left him, and the pride of the eldest house of Men returned to him; and he said: "My fate, O King, led me hither, through perils such as few even of the Elves would dare. And here I have found what I sought not indeed, but finding I would possess for ever. For it is above all gold and silver, and beyond all jewels. Neither rock, nor steel, nor the fires of Morgoth, nor all the powers of the Elf-kingdoms, shall keep from me the treasure that I desire. For Luthien your daughter is the fairest of all the Children of the World." Then silence fell upon the hall...
Robin Hobb, Fool's Quest|I found myself speaking softly as if I were telling an old tale to a young child. And giving it a happy ending, when all know that tales never end, and the happy ending is but a moment to catch one’s breath before the next disaster. But I didn’t want to think about that. I didn’t want to wonder what would happen next.
Robin Hobb, Fool's Assassin|It was as if I had been following a narrow trail, and had suddenly realized that at any time I could leave it and strike out cross-country.
Lee Davidson, Satellite|It’s like a jolt of electricity, but worse.
Lee   Davidson, Satellite|Dude, it's mind control. That's got to be the best superpower ever!
T.S. Pettibone, Hatred Day|In the year 2052, it's not love but hate that unites the world.
Lee Davidson, Elite|If upper management found out, they’d send you off to the Probing Department.
T.S. Pettibone, Hatred Day|You'll regret that, Bourkan.
Lee   Davidson, Satellite|It's like a jolt of electric, but worse.
Denny B. Reese, The Broken Court|She wasn’t looking at herself in the glass, but out at a great silver moon hanging beyond a thin metal balcony that looked over the grey towers of a human city.
Katie McGarry, Breaking the Rules|Will we have pets?” I bite back the question regarding kids. While this might be a fun fantasy, imagining being responsible for something like that is terrifying.“Sure.” Noah stays near the fire on one bent knee and occasionally pokes it to keep the dwindling flames alive. “I had a dog once.”“What type?”“A mix of some sort. Part Lab, part something smaller than Lab. Its paws were too big for its body, so it skidded across the kitchen floor.”“Is that what you want?”“If we’re going to live alone on a mountain, we need a guard dog. A German shepherd. Something like that.”“Guard dog?” Not what I had in mind for the fantasy. “We need something cute and cuddly.” I squish my fingers in the air as if I have the little puff ball in my hands. “It can sleep in our bed.”“No fucking way, Echo. I’m not sharing my bed with a dog.
Daniel Polansky, The Builders|Next to her a calico cat puffed away at a hubble-bubble. Puss’s watch cost more than his vest, and his vest cost more than his boots, and his boots cost more than a house. If you stripped him naked and sold off his costume, you’d walk away with enough money to retire—though if you left him alive you wouldn’t have long to enjoy it. The only thing that could rival Puss’s vanity was his sadism.
Sara Raasch, Snow Like Ashes|I know he sees it, because for the briefest moment he drops his expressionless mask and the look in his eyes shows me he feels the same way. A mirror of every part of myself I can't bear to face.
Criss Jami, Healology|The best of fiction, as we know, of course, doesn't tell the truth; it tales the truth.
J.R.R. Tolkien, The Silmarillion|Therefore Morgoth came, climbing slowly from his subterranean throne, and the rumour of his feet was like thunder underground. And he issued forth clad in black armour; and he stood before the King like a tower, iron-crowned, and his vast shield, sable unblazoned, cast a shadow over him like a stormcloud. But Fingolfin gleamed beneath it as a star; for his mail was overlaid with silver, and his blue shield was set with crystals; and he drew his sword Ringil, that glittered like ice.
Kathryn Perez, Letters Written in White|No, that's where you are wrong. Your mind was full of sadness and darkness. That is a very different thing entirely. On earth it's nearly impossible to know it, but our minds are not at all who we are. Our brains are just an organ. When we died, our minds died too. All of this, all of what is to come, it's your soul. Our souls never die. They are the very root of who we are, not what we are, but who we are.
Melissa de la Cruz, The Isle of the Lost|Who wanted to make lemonade from lemons, when you could make perfectly good lemonade grenades?
J.R.R. Tolkien, The Silmarillion|Then Maeglin bowed low and took Turgon for lord and king, to do all his will; but thereafter he stood silent and watchful, for the bliss and splendour of Gondolin surpassed all that he had imagined from the tales of his mother, and he was amazed by the strength of the city and the hosts of its people, and the many things strange and beautiful that he beheld. Yet to none were his eyes more often drawn than to Idril the King's daughter, who sat beside him; for she was golden as the Vanyar, her mother's kindred, and she seemed to him as the sun from which all the King's hall drew its light.
Lisa Kleypas, Devil in Winter|Westcliff sees an odd sort of logic in why you would finally be the one to win St. Vincent’s heart. He says a girl like you would appeal to…hmm, how did he put it?…I can’t remember the exact words, but it was something like…you would appeal to St. Vincent’s deepest, most secret fantasy.” Evie felt her cheeks flushing while a skirmish of pain and hope took place in the tired confines of her chest. She tried to respond sardonically. “I should think his fantasy is to consort with as many women as possible.” A grin crossed Lillian’s lips. “Dear, that is not St. Vincent’s fantasy, it’s his reality. And you’re probably the first sweet, decent girl he’s ever had anything to do with.” “He spent quite a lot of time with you and Daisy in Hampshire,” Evie countered. That seemed to amuse Lillian further. “I’m not at all sweet, dear. And neither is my sister. Don’t say you have been laboring under that misconception all this time?
M.A. Church, Behind the Eight Ball|I'm so tired of being alone," Heller whispered, voice broken. "So very tired of being on the outside looking in. Please ..."I tightened my arms around him. Could Heller be asking for what I thought? "What, Heller? Please what? What do you want?" "You," Heller murmured. "I want you. Please tell me you don't hate me for what I did. Or how I acted in the beginning. Please give me a chance ... please don't leave me." Squeezing my eyes closed, I fought not to let the tears escape, my heart threatening to break at the anguish I heard in Heller's voice.
Mikey Campling, Trespass|The cool touch of the rock soothed Waeccan. He felt its strengthflowing into him, trickling through his fingertips. The Shades wereon his side. They would bring back the peace he needed for hiswork. The intruder was just a man—nothing more. He would bedealt with. Everything would be as it was meant to be. Waeccanallowed himself a grim smile. How strange it was that he, whosename meant watcher, had become the one who was watched.
Mads Sukalikar, Do Virgins Taste Better? And Other Tales of Whimsy|The day the Dragon chooses a male virgin instead of a female as his yearly sacrifice, the entire kingdom erupts into mass protests and anger.
Mads Sukalikar, Do Virgins Taste Better? And Other Tales of Whimsy|When Sleeping Beauty wakes up, the whole palace is upset. “You must go back to sleep,” her mother tells her, “It’s not time.” From what she understands, the Prince hasn’t come to rescue her yet.
Mads Sukalikar, Do Virgins Taste Better? And Other Tales of Whimsy|The next morning, boom! She found herself waking in bed next to the handsome, rogue-supporting character of her favourite novel. Out of the blue, Mary Sue was inside the #1 bestseller, epic fantasy novel ever written.
Mads Sukalikar, Do Virgins Taste Better? And Other Tales of Whimsy|When the Lilliputian family of the Pequenos migrated to Gulliver’s land of the Man Mountains, they expected to encounter many strange issues while settling in. What Mrs Pequenos didn’t anticipate was her daughter’s announcement that she was in love with a Man Mountain boy and was going to get married.
Azia Kaida|Sometimes I wonder who the real monsters are. The ones without the hearts or the ones who rip them out" - Bastion of Aberrants (In progress)
Amy Rae Durreson, Reawakening|If you’re trying to reassure me, don’t make it sound like you want to eat me.” Tarn leaned in farther, letting the long twists of his hair fall to brush Gard’s cheek. Then he murmured, putting a little growl into it, “I do want to eat you. I like the way you taste.
Joe Abercrombie|By swap news do you mean drink?" "I do, and that excessively.
Adrian G. Hilder|A legacy is not what is recorded in history books or repeated in song, but what is woven into the souls of those who remain.(from The General's Legacy)
Suzannah  Rowntree, Pendragon's Heir|I mean,” he said, “that by your own showing, the greatest threat to heaven comes from within the ranks of the angels themselves. Before you can prove to me that heroes can defeat villains with nothing but the purest chivalric ideals, you must convince me that heroes do exist, and that villains are not a fanciful tale for children. You must tell me, sir, if you dare, that you are incorruptible, and that your colleagues and commanders are as pure as you.
Suzannah  Rowntree, Pendragon's Heir|Blanchefleur felt a quick rush of affection for her. When the world frowned, Branwen went on smiling. There was a heart of steel under all that froth and bubble.
Suzannah  Rowntree, Pendragon's Heir|In the dim sunset Perceval looked the glade over and said, “Does your lady wife think so little of sending you out on deadly errands?” Sir Gareth unstrapped the blanket from behind his saddle. “It’s our fourth child. I’ve grown accustomed to it.” “Of course,” Perceval said with a grin, “even dragonfire might burn less hot than my lady aunt’s temper.” Sir Gareth cuffed Perceval across the ear. “For that piece of insolence, youngster, you take the first watch. And be glad you are so tender in years that I dare not risk my honour upon you in single combat to prove my Lynet as sweet-tempered as she should be.
Suzannah  Rowntree, Pendragon's Heir|Perceval said to the Grail Knight: “Will you break a spear with me this day?” He did not expect Galahad to look down on him from Lancelot’s immense height and say, gently, as if he knew it must disappoint, “Sir, I cannot.” “No? Well, there are others to fight,” said Perceval, trying not to show how vexed he felt to be denied the honour. “Not for any lack of love,” Galahad added. “But for the regard in which I hold you, Perceval of Wales.
Kathy Cyr, Max Hamby and the Emerald Hunt|Max, you cannot stay in the background forever. It is time to stand out in front. You have all that you need.” Analea
Suzannah  Rowntree, Pendragon's Heir|How you must hate Logres,” she said in a dry mouth. “Hate Logres?” He leaned back in his chair, shaking his head. “There is an anger that is deserved, Blanche. Tell me. Look me in the eye, if you can, and tell me—to my face—that Logres is without sin.
Kathy Cyr, Max Hamby and the Onyx Eyes|Little boys jump, but they do not know where. Into the mouth of the demon lair. Hold still and you will see, in his hand is the key. Fire and brimstone. Brimstone and fire. Your ally is clever. a thief and a liar. All is not lost. You can turn it around. But, for a moment...all will be well.....peaceful and sound." Alice.
Kathy Cyr, Max Hamby and the Blood Diamond|You’re such a little moron, aren’t you? They will hunt you down to the ends of the earth. It’s nothing personal, just business. It’s all about survival, dear boy." Drusilla Blackwood
Kate Atkinson, Case Histories|Amelia envisaged that between York and the royal-infested Scottish Highlands there was a grimy wasteland of derelict cranes and abandoned mills and betrayed, yet still staunch, people. Oh and moorland, of course, vast tracts of brooding landscape under lowering skies, and across this heath strode brooding, lowering men intent on reaching their ancestral houses, where they were going to fling open doors and castigate orphaned yet resolute governesses. Or — preferably — the brooding, lowering men were on horseback, black horses with huge muscled haunches, glistening with sweat —
Suzannah  Rowntree, Pendragon's Heir|She slipped off the lid and took out a little hourglass hanging on a silver pivot from a black ribbon, its belly full of twinkling black sand. "Oh, it's beautiful!" "You like it." Her guardian, the antiquarian, who invested every colour, gemstone, beast, and planet with arcane and symbolic meaning, would likely give her a lecture on saturnine influences. Blanche decided not to care. "Yes, I do.
Suzannah  Rowntree, Pendragon's Heir|I have fled from the wilderness fasting, with woe and unflagging travail,I have sought for the light on the mountain, and skirted the devilish dale. I have laid my mouth in the dust, and begged the Might to be kind,I have come to the feast, and I famish. Now grant me the Holy Grail.
Suzannah  Rowntree, Pendragon's Heir|It was like listening to the universe in motion. Planets spinning on their appointed courses, the lives of men intersecting and parting, the unimaginable harmony of the human body itself in hierarchy and order, were all implied in the song, but something greater as well: the genius of the composer, which must surely approach the miraculous. Perceval closed his eyes and was lost in the weaving music.
Suzannah  Rowntree, Pendragon's Heir|There was carpet under Blanchefleur’s feet and the scent of clean and delicate things in her nostrils—perfume, babies, soap, and tea. Homesickness hit her like a clenched fist; this was worse than memory.
Suzannah  Rowntree, Pendragon's Heir|He grinned. “Do not fear. I am here to serve you, as I promised.” Despite the fit of schoolgirl giggles that had seized her in Carbonek when he first proposed to be her knight, his assurance annoyed her now. “You inspire me with confidence,” she said, honey-sweet. “With a few more years and experience, you would make a capable guardian, I’m sure.” “And you an amiable ward,” he said, bowing again.
Suzannah  Rowntree, Pendragon's Heir|Do not deceive yourself, Gawain. There are black places in the heart of every man.
Kathy Cyr, Max Hamby and the Blood Diamond|Hurry up, Hodgeyboy! You run like a fat badger after Sunday tea." Mibbitwiss
Kathy Cyr, Max Hamby and the Blood Diamond|If you do not get to her time...............He will cut out her heart & feed it to the fishes...." Alice
Suzannah  Rowntree, Pendragon's Heir|A knight will give a lady a ring from his hand and take a kiss from her lips, when he wishes to love her and serve her all his days," she recited, as she had when he was small. She pulled the ring from the chain and held it out to him. "This ring is the knight's who swore to serve me. Take it. One day you may find a lady to wear it.
Suzannah  Rowntree, Pendragon's Heir|Oh, Perceval, a falcon is born to hunt, and so are you. One day you will hunt indeed--but not yet." "Why? Am I not ready?"She looked at him sadly and said, "Give me a little longer.
Suzannah  Rowntree, Pendragon's Heir|Sir Ector looked into the fire, fidgeting with something in his pocket. "I have something for you," he said at last. "It was your mother's." And he drew out the thing in his pocket and held it up to her. The ring Blanche took from him was antique silver, cabochon-set with a glimmering moonstone. Her mother's ring! Blanche folded it into her hand and held tightly to the only thing her parents had left her.
Suzannah  Rowntree, Pendragon's Heir|I did not do it for you, sire." Gawain was deadly serious now. "Death comes to us and all mortals. I shall still lose you one day. But Logres! The only perfection under heaven would fall if I could not save you.
Kathy Cyr, Max Hamby and the Emerald Hunt|Let me out, witch," growled Alice. She began to hum off key.Griselda stepped away from the door."I can help the little wee babes," Alice sung sweetly. "Through the woods and into the dark. Where he whispers the words to make his mark. Little boy of green..." Alice chuckled. "...has gone to the wizard who is evil and mean.
Suzannah  Rowntree, Pendragon's Heir|Then this is for you," Galahad said, and drew a knife from the pouch at his belt. It was an odd little thing, T-hilted and small enough to fit into a woman's hand. Its translucent blade, only an inch and a half long, was bound with scrolling bronze wire to the bone hilt. "Have a care. Obsidian is sharper than anything else in the world, sharp enough to make sunlight bleed.
Amy Tan, The Valley of Amazement|I now lived in an invisible place made of my own dwindling breath, and because no one else could see it, they could not yank me out of it.
Amaka Imani Nkosazana|No one can destroy the love God has for you. When you abide in truth, you also abide in love. And truth is evidence of love. Nothing can destroy the power of trusting and loving unconditionally.
Jean Baudrillard, Simulacra and Simulation|The media represents world that is more real than reality that we can experience. People lose the ability to distinguish between reality and fantasy. They also begin to engage with the fantasy without realizing what it really is.They seek happiness and fulfilment through the simulacra of reality, e.g. media and avoid the contact/interaction with the real world.
Chrys Cymri, The Dragon Throne|The Prancer stepped back and studied her for a moment. Then, with a gleam in his eye, he said, 'All unicorns know the Land. Few humans do. But no unicorn knows how to brew ale.''I’m glad humans have some use.''Only those who can brew ale.
Laini Taylor, Dreams of Gods & Monsters|Happiness wasn't a mystical place to be reached or won-some bright terrain beyond the boundary of misery, a paradise waiting for them to find it-but something to carry doggedly through everything.
Kathy Bryson, Fighting Mad|I am always a perfect gentleman. If you ever want me to not be a perfect gentlemen, you’ll have to ask and not be crying when you do.
Kathy Bryson, Fighting Mad|You are never to drive like that,” I told them. “Even if you are ever wealthy enough to own a Jaguar.
Kathy Bryson, Fighting Mad|I love the man,” Megan said as she took a seat, “but honestly he needs to learn when not to agree with me.
Kathy Bryson, Fighting Mad|That’s the problem! She doesn’t say anything. She just stares at me like she’s hypnotized, like she thinks I’m a god, but then she runs off squeaking if I try to talk to her.”“I don’t squeak,” I protested. “Maybe she’s not looking at you like you’re a god. Maybe she thinks you’re more of a freak,” Fergus mused.“I’m not a freak.” Murphy jerked his head as if dodging a fly or tossing his hair. “It’s definitely a ‘you’re a god’ look. She practically drools.
Kathy Bryson, Fighting Mad|I’m an ass,” the voice on the phone said. “A complete and total ass.
Kathy Bryson, Fighting Mad|Leprechauns are not twee beings dreamed up by the tourist board, but warriors of legend. That name comes from the Celtic god of commerce and war, Lugh. Their mission, their life’s work, is to protect the gold. What better way to hide it than to become a joke, a story nobody takes seriously?
Kathy Bryson, Fighting Mad|Jinx, I know you just lost your grandfather, but you straighten out your tone right now or I will smack you one!
Kathy Bryson, Fighting Mad|Ah, that’s just sean nós singing and dancing. Something to do around the pub of an evening.
Kathy Bryson, Fighting Mad|Don’t know what I’m talking about? Don’t know what I’m talking about!” My shout hit notes that normally only Wagnerian sopranos can reach. “You think you’re a freaking leprechaun, but I don’t know what I’m talking about?
Kathy Bryson, Fighting Mad|No, really,” she said. “We get it. Sometimes the guy just makes you crazy, even if you do love him.
Kathy Bryson, Fighting Mad|You could have agreed to disagree,” Megan argued. “Then you could kiss and make up. That could be fun.
Kathy Bryson, Fighting Mad|A country road, a gravel road, is a sign of civilization, sure, but it’s just a farm, an easy conquest. Iron means a stronghold, people who can defend what’s theirs.
Kathy Bryson, Fighting Mad|You can’t have it both ways. Either I’m Irish and can talk, or I’m a man and I can’t.
Kathy Bryson, Fighting Mad|Mr. Jennings is the one who trapped the fairies here to begin with. If they’re back and wandering around, if they’re loose, then, well, it’s not good.
Kathy Bryson, Fighting Mad|That’s not Eire. Everyone always thinks that, but we’re not shamrocks and wee men. You should know the difference.
Kathy Bryson, Fighting Mad|Murphy didn’t appear to notice my chagrin, but instead pulled up the hem of his long-sleeved tee to wipe at his face. Since he flashed his sculpted abdominals right at me, I grew hot and flushed. I mean, you could see every dip and curve, including the ones on either hip that made a V to lead the eye to the fly of his jeans.
Kathy Bryson, Fighting Mad|Everyone helping out was supposed to make me feel better, but it actually made me feel more like a screw up.
Kathy Bryson, Fighting Mad|Now, where had I heard drinking and brawling before? Oh right, Ashley’s father. Well, I wasn’t doing that again.
Susan Schroder|In Dark Places, May we Never be truly Alone.....~Susan Schroder, Circle the Sun books
Karen L Milstein, Fergus and the Princess: A Lasker the Storyteller Tale|A story from beginning to end that might entertain, teach, or simply bore your listener. It's all in the delivery, my dear."He got a smug look on his face as he scooted his posterior deeper into the chair and took his pipe between his teeth. "I'm just better at it than most.
Mehmet Murat ildan|Leave city, leave reality; enter forest, enter fantasy!
Michael Moorcock, Elric of Melniboné|Why should their pain produce such marvelous beauty? he wonders. Or is all beauty created through pain? Is that the secret of great art, both human and Melnibonen?
Stephen King, The Shining|Sometimes human places, create inhuman monsters.― Stephen King, The Shining
Andrew James Pritchard, Sukiyaki|I couldn’t believe it; my deepest darkest fantasy of a cute school girl slowly stripping in front of me was finally unbelievingly coming true! Furthermore, it wasn’t just any school girl, but one from my school, that was the icing on the cake, or at least it should have been. Because, at the same time that my fantasy was becoming reality, I felt that I was being very badly cheated. Why couldn’t it have been sixteen year old Heather Johnson or fifteen year old Pamela wade stripping before me, instead of the eight year old Ami Fujishiro?
Patrick Stuart, False Readings|Then Viol Chrime-Forgot and Sir Duno Chrime held each other tightly and wept sweet tears and Sir Duno Chrime swore that he did not care if his squire was a little strange and that he would never abandon him again so long as he lived and Viol Chrime-Forgot said he did not care if Duno Chrime was old, or mad or thought that he was made of glass, for he would never be apart from him again no matter what adventure fell, and though neither could hear each other over the roaring of the endless falls, or see each others tears for the misty dripping of the cave each knew what the other said and meant, and so they were friends again and remained so for as long as they both lived.
David Hodgson, A Fractured Land: Tales of the Northern Realms|Elves are extremely long-lived -- the passing years are but a blink of an eye to them. What also sets them apart from us is the very narrow window during which they can procreate, and, as a natural consequence, their very low fertility. The Aen Seidhe believe this to be the main reason for their decline. As one of my elven friends put it, "Even though we fought like wolves, we lost to a race which fucks like rabbits.
Isabelle Hardesty, Legends of the Dragon Vol. 1|Be careful mi amor, don't hurt anyone this time.
Isabelle Hardesty, Legends of the Dragon Vol. 1|She looked at him and felt a dagger pierce her heart, then she felt a warm chocolate feeling swallow her senses.
Audrey Niffenegger|It's terrific, Clare," Henry says, and we stare at each other, and I think, "Don't leave me.
Andrew James Pritchard, Sukiyaki|Still, I was thinking that this was all wrong, despite feeling so nice, for once again one of my most sacred and deepest erotic fantasies was brutally being shattered, and once more it was all because of Ami. After all, it had been one of my fondest dreams, as a teenager, to lie in bed cuddling with a cute girl, or even with Yumi. Of course, in those many imaginations, we were both naked and we were having wild passionate sex as well as cuddling, but there before me at that very moment was the sad pathetic reality.
Marcin Batylda, The World of the Witcher|In time, the witchers' steel swords earned the name of "swords for men." A foul moniker, though not one conjured out of thin air. A good steel blade is indeed our first line of defense against mankind's hatred, stupidity, or greed. The world is full of those who would happily kill a witcher - out of resentment toward our trade, for fame, or simply to profit by snatching up our hard-earned coin. So the witchers, fully aware of the situation, never hesitated to relieve this world of the burden of dolts who were so thick headed as to threaten their lives. For that reason, in my day we called our steel swords "swords for fools." Unfortunately, seeing as how mendacious the two-faced scoundrels of bitches seem to rule this world, a great many fools have been apparently spared this selection process.
Isabelle Hardesty, Legends of the Dragon Vol. 1|Be careful mi amor, don't hurt anyone this time." Cordia reminded Jade.
J.R. Ward, Lover Avenged|In this state, the club was The Wizard of Oz made obvious: All the magic that went on here night after night, all the buzz and excitement, was really just a combination of electronics, booze, and chemicals, an illusion for the people who walked through the front doors, a fantasy that allowed them to be whatever they weren't in their day-to-day lives.
Duane Hewitt|In dream, delusion, and fantasy, exist man’s next best reality: that place where he is the creator of his own worlds; where he builds, learns, discovers and entertains; is master of all outcomes, his own god of destiny, and thus the student of his own evolving and ever uncertain truth.
Roan Clay, Concerning a Man|The fool will teach ere he has learned, and his very servants scorn him.
Patrick Stuart, False Readings|Kulwar Wolters, a gloved man I suspect to be a Cliothaum, can and could be anywhere.Cliothaumy’s an illegal skill, rare and hard to learn. It lets you burn memory to twist the world in certain ways. The more you use it, the less you know why. Magic never gives you anything back, there’s always a trick. Kulwar Wolters used it rarely, if at all. But his fingertips were burnt, I think.
Cameron Jace, Happy Valentine's Slay, Children of Hamlin, Tooth & Nail & Fairy Tale, Ember in the Wind, Jar of Hearts, Welcome to Sorrow|The demon of revenge had already taken hold of his heart. The cancer of injustice had already eaten at his cheerful soul, leaving a skeleton of a carcass behind, one that could never feel compassion for humans—or anything else—again.
Susan Bass Marcus, Dragons Return|There was a time, before the battles between men and dragons, when the Veiled Valley was green and covered with trees, berry bushes, and wildflowers. Birdsong filled the air from early morning until sunset. Sunriseside, a mountain poked its peak above a vast, dark forrest. At the base of its tree-covered slopes, far below our ancestors' cave, a lodge housed a large family of Valley folk.
Kathy Bryson, Fighting Mad|Ours was not one of those nice, quaintly old-fashioned mobile homes that senior citizens putter around in. We lived in the beat-up tin can of clichéd poverty.
Kathy Bryson, Fighting Mad|I realized that I sat in an empty bar in filthy, wet clothes with a drippy nose, probably red-rimmed eyes, and the most I could say I’d accomplished was that I was now congested. Oh, and one of the handsomest, nicest men I’d ever met cradled my face in warm, caressing hands with soft, sympathy in his brown eyes.
Moïra Fowley-Doyle, The Accident Season|I think that we all drown, in one way or another.
Shannon Hale, Princess Academy|No wolf falters before the bite, so strike.No hawk wavers before the dive, so swing.No sun pauses before the set, just strike.No rain delays before the fall, just swing.
Will Harondale, Clockwork Prince|It was books that kept me from taking my own life after I thought I could never love anyone, never be loved by anyone again.
William Joyce, Jack Frost|dJack be nimble,Jack be quick,Jack forgot to check if the ice was thick.Emma was still,Emma was late,Emma’s brother is now part of the lake.Time has passed,Time has gone,Time brought Jack back wrong.He was solemn,He was brave,He left his coat on Emma’s grave.Emma was sad,Emma was scared,But she knew inside that Jack really cared.Jack was lost,Jack had forgot,That he had a story before the plot.Jack had wondered,Jack had fought,Jack had remembered what he had forgot.I hope you dream.I hope you wonder.I hope you have fun because this is done.Keep believing everyone.Jack be fearless,Jack be bold,Jack drowned when he was 17 years old.
Colleen Chen, Dysmorphic Kingdom|For everything about him fitting her fantasy image of what she wanted, she still didn’t feel seen by him…and that made her all the more aware that maybe her fantasy wasn’t what she wanted at all.
Steven Erikson|The closest I ever got to Dragonlance and Forgotten Realms was when I bought the box game set for the latter (I think this was before the novels came out). I well recall this—we were living in James Bay, in Victoria. We opened the box up and took out the maps while sitting in a Mexican restaurant. Ten minutes later I was as close as I have ever been to publicly burning someone else’s creation…What bothered us was the reworking of every fantasy cliché imaginable, all in one package now, and none of it made sense.
Jim Butcher, The Aeronaut's Windlass|In the void, there is no distinction of east and west."Gwen blinked slightly at that. "I know all of those words, and yet when strung together like that I have no idea what they mean.
Linden Morningstar, The Starlight Prophecy|Remember Ping-fa, Sun Tzu,’ Art of War—read between the lines: kick ass and take names later.”MadStargirl
Linden Morningstar, The Starlight Prophecy|Mad, in exasperation, cried out to the unseen force, “Why did you summon us? There must be a reason. Tell us.” She heard a dreamlike voice.“You are Stargirls.” The voice paused, letting the fog and confusion of their nightmare to lift.Lyn found her voice, “But why us?”“You are the chosen ones by prophecy; you have proven your worthiness. A time warp brought you here. The one you opened was no accident. It was left a hundred thousand years ago just for you. Your Star training as children has prepared you well. You are ready for the next stage in your evolution.
J.R.R. Tolkien|All that is gold does not glitter, not all those who wander are lost. The old that is strong does not wither, deep roots are not reached by the frost.
Linden Morningstar, The Starlight Prophecy|Lyn, this was the “Aha!” moment when Desta found another astonishing skeleton. Remarkably, it appeared utterly human but existed before humans walked the Earth. Clutched in its hand a small sphere attached to an elaborate gold necklace. The sphere was not like any material on Earth. Remember when I told you our origins might lie in the stars? Well, I think we found the answer in the Afar desertMax
J.R.R. Tolkien|Still round the corner there may wait, A new road or a secret gate.
R.P. Miller|If the path isn't in front of you, you can't choose to walk it." - Viriathus, Revelation
Ob Nixilis (Magic: The Gathering|Have you ever seen a world fall to its knees? Watch, and learn.
