Santosh Kalwar|Born to be wild; born to be free; nobody owns you; you are, a romantic tree.
Colleen Houck, Tiger's Curse|She answered with a passion I didn’t expect & I was lost. In that moment our hearts beat as one. In that moment I knew she loved me." #Ren
Colleen Houck, Tiger's Curse|I wrapped the unyielding woman I loved in my arms & kissed her slowly, hoping that some part of her would sense my absolute devotion." #Ren
Colleen Houck, Tiger's Curse|Thrilled with the knowledge that she loved me, it took me a moment to realize that she was angry. I found her tantrum irresistible." #Ren
M.A. Stacie, Unwritten Rules|I don't deserve you. I'm not made for relationships. I know I'm going to fuck this up. I'm going to drive you away or do something to hurt you, and you'll be added to my list of people I screwed over. You should walk away now.
Loretta Chase, Lord of Scoundrels|Jessica, you are a pain in the arse, do you know that? If I were not so immensely fond of you, I should throw you out the window."She wrapped her arms about his waist and laid her head against his chest. "Not merely 'fond,' but 'immensely fond.' Oh Dain, I do believe I shall swoon.""Not now," he said crossly. "I haven't time to pick you up.
Mary Balogh, Slightly Wicked|She was not sorry. And if it was the wine telling her that, then she would tell the wine the same thing tomorrow. She was not sorry.
Cristina Marrero, The Unsung Love Story|Together, in that room, our childhood notions of love melted away. We discovered love was not a fairytale. Sometimes there were no happy endings, and when there were, you needed to work like hell to keep the happiness alive.
Lara Adrian, Kiss of Crimson|I want to kiss you again, Tess.”“Why?”He chuckled, low under his breath. “Why? Because you’re beautiful, and because I want you. And I think you want me too.
Hilary Duff, Elixir|Who are you?" I asked."You know who I am," he replied. "I'm yours."~Clea / Sage, pg. 105
Lisa Kleypas, Tempt Me at Twilight|I never want to be apart from you,” he said. “I’m going to buy an island and take you there. A ship will come once a month with supplies. The rest of the time it will be just the two of us, wearing leaves and eating exotic fruit and making love on the beach . . .”You’d start a produce export business and organize a local economy within a month,” she said flatly.Harry groaned as he recognized the truth of it. “God. Why do you tolerate me?”Poppy grinned and slid her arms around his neck. “I like the side benefits,” she told him. “And really, it’s only fair since you tolerate me.
Lisa Kleypas, Tempt Me at Twilight|I don’t want to be a widow, I don’t want Michael Bayning, and I don’t want you to joke about such things, you tactless clodpole!”As all three of them stared at her openmouthed, Poppy leapt up and stalked away, her hands drawn into fists.Bewildered by the immediate force of her fury—it was like being stung by a butterfly—Harry stared after her dumbly. After a moment, he asked the first coherent thought that came to him. “Did she just say she doesn’t want Bayning?”“Yes,” Win said, a smile hovering on her lips. “That’s what she said. Go after her, Harry.”Every cell in Harry’s body longed to comply. Except that he had the feeling of standing on the edge of a cliff, with one ill-chosen word likely to send him over. He gave Poppy’s sister a desperate glance. “What should I say?”“Be honest with her about your feelings,” Win suggested.A frown settled on Harry’s face as he considered that. “What’s my second option?
Colleen Houck|I don’t understand how I could have believed you were a warm, affectionate, and tenderhearted person! You’re obviously as prickly as a porcupine and any man who comes close to you will end up with a face full of quills!
Sylvain Reynard, Gabriel's Redemption|For you, my love, I would endeavor to pluck the stars from the sky, only to shower them at your feet.”“How do you do that?’“Do what?”“Say things like that. That’s beautiful.”“I’ve spent years studying poetry, Mrs. Emerson. It’s in my DNA.
Nicholas Sparks, Dear John|She leaned into me, and when I closed my eyes, I knew I wanted nothing more than to hold her this way forever.
Anne Gracie, The Perfect Rake|If you were mine, I'd never leave you, Prudence. I couldn't.
Janet Evanovich, Hard Eight|He [Ranger] peeled my [Stephanie] clothes off and wrangled me into bed. And then suddenly he was inside me. He once told me that time spent with him would ruin me for all other men. When he said it, I thought it was an outrageous threat. I no longer though it outrageous.
Nicholas Sparks, The Best of Me|Marriage is a partnership, not a democracy.
J.D. Robb, Witness in Death|You can’t go back. Can’t fix what broke. But you can go forward. And every step matters. Every one makes a difference.” She pushed away from the desk, cupped his face in her hands. “From where I’m standing, you’re the best step I ever took.
Lisa Kleypas, Married By Morning|So you actually need spectacles,” Leo finally said.“Of course I do,” Marks said crossly. “Why would I wear spectacles if I didn’t need them?”“I thought they might be part of your disguise.”“My disguise?”“Yes, Marks, disguise. A noun describing a means of concealing someone’s identity. Often used by clowns and spies. And now apparently governesses. Good God, can anything be ordinary for my family?
Laurell K. Hamilton, Narcissus in Chains|I looked at Micah, who shrugged. I looked at Rafael, who shook his head. Nice that none of us knew why he was undressing.
Sherrilyn Kenyon, Acheron|It's easy to look at people and make quick judgements about them, their present and their pasts, but you'd be amazed at the pain and tears a single smile hides. what a person shows to the world is only one tiny facet of the iceburg hidden from sight. And more often then not, it's lined with cracks and scars that go all the way to the foundation of their soul.
Francesca Lia Block, Echo|If death is your lover, you don't got to be afraid ever that he will ever leave you
Dean Hale|At some point, our lips met and it was perhaps the most wonderful thing I'd ever experienced. And truly, I guess there wasn't just one kiss, but several. A polite frenzy. A mass migration of delicate wildebeest kisses. I remember them as one transcendent event, though.
Elizabeth Scott, Something, Maybe|I told you we were meant to be," he says, still smiling, still so Finn, who was always here but who I just didn't see and now--Well, now I kiss him.
Molly Harper, Nice Girls Don't Date Dead Men|I haven't had a lot of good, soft things in my life," he said against my forehead. "Not since my family sent me away. Apart from being your sire and feeling that pull to you, it's that goodness, that softness and warmth, along with the resolve and strength in you, that I love. Being turned hasn't taken that from you. If someone were going to design the perfect mate for me, it would be you. Even when you infuriate me with your pigheaded stubbornness and your temper and incredible lack of anything resembling self-preservation—""Stop describing me please.""You're the most fascinating, maddening, adorable creature I've ever met," he said, sighing and pushing my hair out of my eyes. "So, when I seem possessive or I'm raving like a lunatic, it's just that part of me is still very afraid that I'll lose that—that I'll lose you. I love you.
Lauren Oliver, Delirium|This is what I want. This is the only thing I've ever wanted. Everything else—every single second of every single day that has come before this very moment, this kiss—has meant nothing.
Tessa Dare, One Dance with a Duke|I'm infatuated with you, I cannot deny it. Physically speaking, you're a very attractive man. But I don't like you, the vast majority of the time. So far as I can gather, you behave abominably in public and are only marginally better in private. I only find you remotely tolerable when you're kissing me.
Cynthia Hand, Hallowed|I'll never forget the way he tastes. It's not anything I can describe, a little sweet and a whole lot of spice, and it feels, in that moment, absolutely right.
Julie Garwood, Castles|Damn, you're good,' he said and rolled onto his back. The man wasn't much for flowery speech, Alesandra thought with a smile. It didn't matter. She was arrogantly proud of herself because she'd pleased him. Perhaps she should give him a little praise too. She rolled onto her side to face him, put her hand on his chest directly over his pounded heart, and whispered. 'You're good, too. 'Tis the truth, you're the best I've ever had.' He opened his eyes to look at her. 'I'm the only one you've ever had, remember?' His voice was gruff with affection. 'I remember,' she said. 'No other man is ever going to touch you, Alesandra. You're mine.
Louisa May Alcott, Little Women|...and Jo laid the rustling sheets together with a careful hand, as one might shut the covers of a lovely romance, which holds the reader fast till the end comes, and he finds himself alone in the work-a-day world again.
Alwyn Hamilton, Rebel of the Sands|You know, I never believed in fate until I met you... then I started thinking coincidence didn't have near so cruel a sense of humor
Colleen Houck|Long dormant feelings poured through my dried-up limbs and wound through me, slowly filling the emptiness. Like an irrigated field, I felt myself blossom and grow with new vigor. He was the sun, and the tenderness he showed me was life-giving water. 
Colleen Houck|A handsome prince, such as yourself, deserves someone who is no less than one hundred percent dedicated to him.
Kim Harrison, Every Which Way But Dead|You had this all planned, didn’t you?' I accused. 'Thought you could come in here and seduce me like you do everyone else?' It wasn’t as if I could be angry, lying atop him as I was, but I tried.
Christine Warren, Wolf at the Door|It called to him, a sweet heady beacon of femininity, fertility, and fuckability. His three favorite f-words.
Karen Chance, Claimed By Shadow|I dodged behind Mac for cover and refused to take the bait. I glanced at my nonexistent watch. 'Oops, look at the time. Guess I have to be going now. Let's not do this again sometime, okay?'Before I could move, Pritkin was there, jamming the medallion into the skin of my upper arm.'Ow!'He looked at me expectantly. I glared at him. 'That hurt!'What do you see?'A big red mark,
Richelle Mead, Succubus Blues|Aubrey, crouching on a nearby counter, watched me with squinty eyes, apparently pondering why anyone would willingly immerse themselves in water ever, let alone for extended periods of time. 
Lauren Leto|Let's still be friends" (things that are never true in a break up, but you have to say).
Catherine Anderson, Cherish|And if you ever - and I do mean ever - try to leave me, I’m goin’ with you.
E.A. Bucchianeri, Brushstrokes of a Gadfly|Sweetheart, darling, dearest, it was funny to think that these endearments, which used to sound exceedingly sentimental in movies and books, now held great importance, simple but true verbal affirmations of how they felt for each other. They were words only the heart could hear and understand, words that could impart entire pentameter sonnets in their few, short syllables.
Zoë Heller, What Was She Thinking? [Notes on a Scandal]|...what is romance, but a mutual pact of delusion? When the pact ends, there's nothing left.
Jodi LaPalm, Still Life: a novella|I'm not the same person I was before, and I am deathly afraid I will never be her again...
Karina Halle, Into the Hollow|I feel like I’m a disappointment to mankind,” he remarked woefully as he placed the shirt through my arms and began to pull it down over my breasts. “Someone this gorgeous should be on display in a museum.
Carrie Ryan, The Forest of Hands and Teeth|It wouldn't have mattered if they were scratches or not," he says, his voice like liquid. "I was bitten during the escape from the house." My limbs go weak, everything inside me folding in collapsing on itself."I was already dead," he says, opening his eyes.
Leonard Cohen|I loved you when you opened like a lily to the heat; you see I’m just another snowman standing in the rain and sleet who loved you with his frozen love, his second hand physique, with all he is and all he was a thousand kisses deep.
Karen Quan, liQUID PROse QUOtes|My heart is burning a hole in my chest and every time you speak to me, it keeps sinking, and I'm left with nothing but ashes. I wish she were talking to me, because the more she speaks to me, the more my heart flutters like a rising phoenix.-Karen Quan and Jarod Kintz
Loretta Chase, Lord of Scoundrels|I must be besotted,” he said evenly. “I have the imbecilic idea that you’re the prettiest girl I’ve ever seen. Except for your coiffure,” he added, with a disgusted glance at the coils and plumes and pearls. “That is ghastly.”She scowled. “Your romantic effusions leave me breathless.
Pamela Clare, Breaking Point|If you die, angel, it means I'm already dead.
Jennifer L. Armentrout, Every Last Breath|With every breath I take, I will always love you.
Lisa Kleypas, Love in the Afternoon|You don’t annoy me.” Carefully he rebuttoned the placket of her shirt. “I thought you did, at first. But now I realize it was more like the feeling you get when your foot’s been asleep. And when you start moving, the blood coming back into it is uncomfortable . . . but also good. Do you understand what I mean?”“Yes. I make your feet tingle.”A smile came to his lips. “Among other things.
Richelle Mead, Frostbite|I wished the kiss could have gone on forever. Breaking the embrace, he ran a few fingers through my hair and down my cheek. He stepped back toward the door."I'll see you later, Roza""At our next practice?" I asked. "We are starting those up again, right? I mean, you still have things to teach me.""Yes. Lots of things.
Nora Roberts, Sweet Revenge|it taught me, that when a woman lets herself love, she loses. it taught me that to survive, you rely on yourself first and last." -adrianne"It should have also taught you that sometimes love has no threshold." -philip
Adele Ashworth, Winter Garden|Love expands your soul with something inexplicably fulfilling. If you die without ever having experienced it, you will miss life's only true joy
Keri Arthur|I keep warning and warning, and nobody seems willing to listen. One of these days someone is going to wake up to the fact that I'm serious when I say never to attack my sister without looking over your shoulder for me. (Rhoan)
Jeaniene Frost, This Side of the Grave|I think this’ll definitely tide me over while we’re apart,”Bones laughed, dragging me into his arms with far more strength and quickness than was fair, considering I still had trouble making my limbs operate.“Oh, Kitten,” he murmured as his lips dragged down my throat. “You didn’t really think we were done, did you?
Matthew West|I love you more than the sun and the stars that i taught﻿ how to shine... You are mine, and you shine for me too I love you yesterday and today And tomorrow, I'll say it again..... I love you more......
Pamela Clare, Naked Edge|I love you, Katherine James. I love you with everything I am. You're the best thing that has ever happened to me. Remember that."Gabe Rossiter
William  Boyd, Restless|Maybe we should go by tube', he said.A taxi'll come', she said. 'I'm in no hurry'.She remembered something a woman in Paris had told her once. A woman in her forties, much married, elegant, a little world-weary. There is nothing easier in this world, this woman had claimed, than getting a man to kiss you. Oh really? Eva had said, so how do you do that? Just stand close to a man, the woman has said, very close, as close as you can without touching - he will kiss you in one minute or two. It's inevitable. For them it's like an instinct - they can't resist. Infaillible.So Eva stood close to Romer in the doorway of the shop on Frith Street as he shooted and waved at the passing cars moving down the dark street, hoping one of them might be a taxi.We're out of luck', he said, turning, to find Eva standing very close to him, her face lifted.I'm in no hurry', she said.He reached for her and kissed her.
Melissa de la Cruz, Lost in Time|I still love you. I will always love you, and that is all that matters. I will forgive you anything, and I will forgive you this.
Sherry Thomas|Just that I have loved you, even when I was nothing and no one to you, when you didn’t know my name and barely knew my face.- Leo
Loretta Chase, Lord of Scoundrels|I love these pet names," she said, gazing soulfully up into his eyes, "Nitwit. Sap skull. Termagant. How they make my heart flutter!
Ellen Brazer, Clouds Across the Sun|Some people like the Jews, and some do not. But no thoughtful man can deny the fact that they are, beyond any question, the most formidable and most remarkable race which has appeared in the world.— Winston S. Churchill
Connie Brockway, The Bridal Season|I want you cool and regal, earthy and impertinent, spoiling for a fight and abashed at your own temper. I want you flushed with exertion and rosy with sleep. I want you teasing and provocative, somber and thoughtful. I want every emotion, every mood, every year in a lifetime to come. I want you beside me, to encourage and argue with me, to help me and let me help you. I want to be your champion and lover, your mentor and student.
Richelle Mead, The Ruby Circle|Those words, that voice, had more power over me than any phantom ever could.
Emily Giffin|You see yourself as very average, ordinary. And there is nothing ordinary about you, Rachel." (Something Borrowed)
Arina Tanemura, 神風怪盗ジャンヌ 1|Tsuyokini,honkiMutekini,sutekiGenki,yuuki!--Kusakabe Maron
Paullina Simons, The Bronze Horseman|Tatiana said. "Go on with Dasha. She is right for you. She is a woman and I'm-" "Blind!", Alexander exclaimed. Tatiana stood, desolately failing in the battle of her heart. "Oh, Alexander. What do you want from me..." "Everything", he whispered fiercely.
Colleen Houck, Tiger's Quest|He seized me as boldly as a tiger captures his prey. There was no escape. And I didn't want to. I would have happily died in his clutches. I was his, and he made sure I knew it. My heart burst with a thousand beautiful blooms, all tiger lilies. And I knew with a certainty more powerful than anything I'd ever felt before that we belonged together.He finally lifted his head and murmured against my lips, "It's about bloody time, woman.
Lisa Kleypas, Love in the Afternoon|Beatrix, do you know what happens to girls who ask such naughty questions?”“They’re ravished in haylofts?” she inquired hopefully.
Karen Chance, Touch the Dark|The most temptation I'd experienced had been with Tomas, the Senate's spy who had been feeding off me without permission, and Mircea, who was probably plotting some nefarious scheme. I have no taste in men.
Gunnar Ardelius, I Need You More Than I Love You and I Love You to Bits|In the beginning, being alone is always a choice. Then it's not a choice anymore. When did it stop being a choice? What is it in me that stopped choosing you, that moved into you instead so that I have to be with you in order to be with myself?
Sarah Ockler, Twenty Boy Summer|Anna," he said, dragging his frosted fingers through my hair."Don't you know what it means when a boy pulls your hair at your birthday party?" "No." Just, then, i didn't know what anything meant.
Lisa Kleypas, Married By Morning|Marriage would change hardly anything between us, except that we would end our arguments in a much more satisfying way. And of course I would have extensive legal rights over your body, your property, and all your individual freedoms, but I don't see what's so alarming about that.
Karen Chance, Claimed By Shadow|It's about time! It's supposed to be a ritual, not a marathon.
Diana Gabaldon|Why?" I shrieked, hitting him again and again, and again, the sound of the blows thudding against his chest. "Why, why why!".Because I was afraid!" He got hold of my wrists and threw me backward so I fell across the bed. He stood over me, fists clenched, breathing hard.I am a coward, damn you! I couldna tell ye, for fear ye would leave me, and unmanly thing that I am, I thought I couldna bear that!"~~~~~~~~~You should have told me!"And if I had?, You'd have turned on your heel and gone without a word. And having seen ye again--I tell ye, I would ha' done far worse than lie to keep you!"Voyager
Joe Dunthorne, Submarine|Oh diary, I love her, I love her, I love her so much. Jordana is the most amazing person I have ever met. I could eat her. I could drink her blood. She's the only person I would allow to be shrunk to microscopic size and explore me in a tiny submersible machine. She is wonderful and beautiful and sensitive and funny and sexy. She's too good for me, she's too good for anyone! All I could do was let her know. I said: "I love you more than words. And I am a big fan of words.
Maggie Stiefvater|After you were bitten, I knew what would happen. I waited for you to change, every night, so I could bring you back and keep you from getting hurt." A chilly gust of wind lifter his hair and sent a shower of golden leaves glimmering down around him. He spred out his arms, letting them fall into his hands. He looked like a dark angel in an eternal autumn wood. "Did you know you get one happy day for everyone you catch?"I didn't know what he meant, even after he opened his fist to show me the quivering leaves crumpled in his palm.One happy day for every falling leaf you catch." Sam's voice was low.I watched the egdes of the leaves slowly unfold, fluttering in the breeze."How long did you wait?"It would have been romantic if hr'd had the courage to look into my face to say it, but instead, he dropped his eyes to the ground and scuffed his boots in the leaves- countless possibilities for happy days- on the ground. "I haven't stopped."And I should've said something romantic too, but i didn't have the courage, either. So instead, I watched the shy way he was chewing his lip and studying the leaves, and said, "That must've been very borring.
Michelle Hodkin, The Unbecoming of Mara Dyer|I read the title from the cover. ' 'The joy of... crap.' ' I read the rest of the full title of the thick, nondescript volume to myself and felt myself redden.Noah turned over on to his side and said with mock seriousness, 'I have never read 'The Joy Of Crap'. Sounds disgusting.' I blushed deeper. 'I have, however, read 'The Joy Of Sex.' ' He continued, a smile transforming his face. 'Not in a while, but I think it's one of those classics you can come back to again... and again.
E.L. James, Fifty Shades of Grey|He moves suddenly so that his hand is cupping my sex, and one of his fingers sinks slowly into me. His other arm holds me firmly in place around my waist. “This is mine,” he whispers aggressively. “All mine. Do you understand?” He eases his finger in and out as he gazes down at me, gauging my reaction, his eyes burning.“Yes, yours…”Abruptly, he moves, doing several things at once: Withdrawing his fingers, leaving me wanting, unzipping his fly, and pushing me down onto the couch so he’s lying on top of me.“Hands on your head,” he commands through gritted teeth as he kneels up, forcing my legs wider…“We don’t have long. This will be quick, and it’s for me, not you. Do you understand?Don’t come, or I will spank you,” he says through clenched teeth.
Maggie Stiefvater, Shiver|Grace stopped in the door, dimly silhouetted by the dull gray morning light, and looked back at me, at my eyes, my mouth, my hands, in a way that made something inside me knot and unknot unbearably.I didn't think I belonged here in her world, a boy stuck between two lives, dragging the dangers of the wolves with me, but when she said my name, waiting for me to follow, I knew I'd do anything to stay with her.
Julianne Donaldson, Blackmoore|I know my heart. It has always been yours, Kate. Always.
Sarah MacLean|..he wanted her.And at another time, as another man, he would have her. Without hesitation. As lover. . . as more.
Matsuri Hino|If you don't do anything, you simply end up overwhelmed by something happening.
Cassandra Clare, City of Lost Souls|She opened her mouth to answer, but he was already kissing her. She had kissed him so many times—soft gentle kisses, hard and desperate ones, brief brushes of the lips that said good-bye, and kisses that seemed to go on for hours—and this was no different. The way the memory of someone who had once lived in a house might linger even after they were gone, like a sort of psychicimprint,herbody rememberedJace.Remembered the way he tasted, the slant of his mouth over hers, his scars under her fingers, the shape of his body under her hands.
J.K. Rowling, Harry Potter and the Deathly Hallows|She picked up the book and then walked back past him into the tent, but as she did so, she brushed the top of his head lightly with her hand. He closed his eyes at her touch, and hated himself for wishing that what she said was true: that Dumbledore had really cared.
J.K. Rowling, Harry Potter and the Deathly Hallows|Hermione turned and beamed at Harry; her eyes, too, were full of tears.‘…then I declare you bonded for life.
Lisa Kleypas, Mine Till Midnight|...whether he stayed or left, whether they walked the same path or not. They could live on opposite sides of the world, and she would still be his.
Lisa Kleypas, Mine Till Midnight|Cam held her closer. "Marry me, Amelia. You're what I want. You're my fate." One hand slid to the back of her head, gripping the braids and ribbons to keep her mouth upturned. "Say yes." He nibbled at her lips, licked at them, opened them. He kissed her until she writhed in his arms, her pulse racing. "Say it, Amelia, and save me from ever having to spend a night with another woman. I'll sleep indoors. I'll get a haircut. God help me, I think I'd even carry a pocket watch if it pleased you.
Lisa Kleypas, Married By Morning|And then to Leo’s surprise, Catherine smiled at him. A sweet, natural, brilliant smile, the first she had ever given him. Leo felt his chest tighten, and he went hot all over, as if some euphoric drug had gone straight to his nervous system.It felt like … happiness.He remembered happiness from a long time ago. He didn’t want to feel it. And yet the giddy warmth kept washing over him for no reason whatsoever.“Thank you,” Catherine said, the smile still hovering on her lips. “That is kind of you, my lord. But I will never dance with you.”Which, of course, made it the goal of Leo’s life.
Sarah J. Maas, Queen of Shadows|I want to take my time with you - to learn … every inch of you. And this apartment has very, very thin walls. I don’t want to have an audience” he added as he leaned down again, brushing his mouth over the cut at the base of her throat, “when I make you moan, Aelin.
Steve Maraboli, Life, the Truth, and Being Free|Scholars, theologians, and even poets have yet to be able to truly describe and touch upon the beauty, romance, and magic of a relationship built on 100% authenticity
Lisa Kleypas, Tempt Me at Twilight|But Harry . . . even if we had met and married three years ago, you’d still say it wasn’t enough time.”“You’re right. I can’t think of a single day of my life that wouldn’t have been improved with you in it.”“Darling,” she whispered, her fingertips coming up to stroke his jaw, “that’s lovely. Even more romantic than comparing me to watch parts.”Harry nipped at her finger. “Are you mocking me?”“Not at all,” Poppy said, smiling. “I know how you feel about gears and mechanisms.
Nora Roberts, Tribute|I find myself fascinated by a man who admits to enjoying fairy tales and uses the word "impinge"- barely misses a beat while indulging in a brief girl-on-girl fantasy. You're a man of layers, Ford."Me and Shrek, we're onions.
Anna Todd, After|I feel as though I am ice and he is fire.We are so completely different, yet thesame.
