Vincent van Gogh, Van Gogh's Starry Night Notebook|For my part I know nothing with any certainty, but the sight of the stars makes me want to dream.
Jennifer O'Neill, Inspirational Quotes|One of the biggest favors that you can do for yourself is to accept your loved ones for who they are, and not be constantly disappointed because they are not who you think they should be.
C. JoyBell C.|It's not very easy to grow up into a woman. We are always taught, almost bombarded, with ideals of what we should be at every age in our lives: "This is what you should wear at age twenty", "That is what you must act like at age twenty-five", "This is what you should be doing when you are seventeen." But amidst all the many voices that bark all these orders and set all of these ideals for girls today, there lacks the voice of assurance. There is no comfort and assurance. I want to be able to say, that there are four things admirable for a woman to be, at any age! Whether you are four or forty-four or nineteen! It's always wonderful to be elegant, it's always fashionable to have grace, it's always glamorous to be brave, and it's always important to own a delectable perfume! Yes, wearing a beautiful fragrance is in style at any age!
C. JoyBell C.|How could you love us being together?" he asked me "We are nothing alike and we are not meant for each other and we drive each other crazy, you love that? How can you love that?" So I told him "I know that we're not meant for each other, that we drive each other crazy, and that we are so different. But that's us. That's what we have; a wild nonsense. We are not good together, but together we are bad for each other. I love us together this way just like this. Because even if it's no good, it's what we have! It's us.
Sherrilyn Kenyon, No Mercy|You can take my life, but you'll never break me. So bring me your worst...And I will definitely give you mine.
C. JoyBell C.|I don't have a diary, I don't write things into a diary. I imprint myself into the sky and when the sunlight shines brightly, I can stand under the sun's rays and everything I have imprinted of myself into the sky, I will begin to see again, feel again, remember. And when the wind begins to blow, it blows the details over my face, and I remember everything I left in the sky and see new things being born. I am unwritten.
William Shakespeare, Julius Caesar|His life was gentle; and the elementsSo mixed in him, that Nature might stand upAnd say to all the world, THIS WAS A MAN!
C. JoyBell C.|The problem about cutting out the best of your heart and giving it to people, is that 1. It hurts to do that; and 2. You never know if they are going to throw it away or not. But then you should still do it. Because any other way is cowardice. At the end of the day, it's about being brave and we are only haunted by the ghosts that we trap within ourselves; we are not haunted by the ghosts that we let out. We are haunted by the ghosts that we cover and hide. So you let those ghosts out in that best piece of your heart that you give to someone. And if the other person throws it away? Or doesn't want it to begin with? Someone else will come along one day, cut out from his/her heart that exact same jagged shape that you cut out of your own heart, and make their piece of heart fit into the rest of yours. Wait for that person. And you can fill their missing piece with your soul.
C. JoyBell C.|I tell people not to be afraid of their fears; because their fears are not there to scare them, they're there to let them know that something is worth it. Yet I am often afraid. I guess that means in my life, lots of things have been worth it!
C. JoyBell C.|I think that if you have a horse, pegasus, qilin, or unicorn, you should sit on it! You should stroke its hair, whisper in its ear, be one with it! And you shouldn't feel sorry if other people don't have one.
Roy T. Bennett|When you open your mind, you open new doors to new possibilities for yourself and new opportunities to help others.
Johnathan Jena|Beauty exists not in what is seen and remembered, but in what is felt and never forgotten.
Amy Leigh Mercree|Accept yourself: flaws, quirks, talents, secret thoughts, all of it, and experience true liberation.
Edward Bulwer-Lytton|To find what you seek in the road of life, the best proverb of all is that which says:"Leave no stone unturned.
C. JoyBell C.|I swear, the best things come to me by accident! Or should I say, effortless destiny?
B.R. Ambedkar, Writings And Speeches: A Ready Reference Manual|Why does a human body become deceased?The reason is that as long as the human body is not free from suffering, mind cannot be happy. If a man lacks enthusiasm, either his body or mind is in a deceased condition.... Now what saps the enthusiasm in man? If there is no enthusiasm, life becomes drudgery - a mere burden to be dragged. Nothing can be achieved if there is no enthusiasm. The main reason for this lack of enthusiasm on the part of a man is that an individual looses the hope of getting an opportunity to elevate himself. Hopelessness leads to lack of enthusiasm. The mind in such cases becomes deceased.... When is enthusiasm created? When one breaths an atmosphere where one is sure of getting the legitimate reward for one's labor, only then one feels enriched by enthusiasm and inspiration.
C. JoyBell C.|The majority of people have successfully alienated themselves from change; they tediously arrange their lives into a familiar pattern, they give themselves to normalcy, they are proud if they are able to follow in auspicious footsteps set before them, they take pride in always coloring inside the lines and they feel secure if they belong to a batch of others who are like them. Now, if familiar patterns bore you, if normalcy passes before you unnoticed, if you want to create your own footsteps in the earth and leave your own handprints on the skies, if you are the one who doesn't mind the lines in the coloring book as much as others do, and perchance you do not cling to a flock for you to identify with, then you must be ready for adversity. If you are something extraordinary, you are going to always shock others and while they go about existing in their mundaneness which they call success, you're going to be flying around crazy in their skies and that scares them. People are afraid of change, afraid of being different, afraid of doing things and thinking things that aren't a part of their checkerboard game of a life. They only know the pieces and the moves in their games, and that's it. You're always going to find them in the place that you think you're going to find them in, and every time they think about you, you're going to give them a heart attack.
C. JoyBell C.|I don't look for love. Love looks for me." "Why?" "Because it needs me. Because I'm not afraid of it.
C. JoyBell C.|There is a relationship between the eye contacts we make and the perceptions that we create in our heads, a relationship between the sound of another's voice and the emotions that we feel in our hearts, a relationship between our movements in space all around us and the magnetic pulls we can create between others and ourselves. All of these things (and more) make up the magic of every ordinary day and if we are able to live in this magic, to feel and to dwell in it, we will find ourselves living with magic every day. These are the white spaces in life, the spaces in between the written lines, the cracks in which the sunlight filters into. Some of us swim in the overflowing of the wine glass of life, we stand and blink our eyes in the sunlight reaching unseen places, we know where to find the white spaces, we live in magic.
Abraham Lincoln|Let no feeling of discouragement preyupon you, and in the end you are sure to succeed.
C. JoyBell C.|It’s the hard things that break; soft things don’t break. It was an epiphany I had today and I just wonder why it took me so very, very long to see it! You can waste so many years of your life trying to become something hard in order not to break; but it’s the soft things that can’t break! The hard things are the ones that shatter into a million pieces!
Roy T. Bennett, The Light in the Heart|The comfort zone is a psychological state in which one feels familiar, safe, at ease, and secure.If you always do what is easy and choose the path of least resistance, you never step outside your comfort zone. Great things don’t come from comfort zones.
Richard Bandler|If you can't enjoy what you have, you can't enjoy more of it.
Golda Poretsky|I’m not saying that you should deny the difficult events of your life. But the fact that you survived is also a wonderful story to tell. And that story, the story of the way you came through a difficult situation, found resources within yourself or outside of yourself, gleaned from that experience what you wanted and what you didn’t want going forward — that is a story that can inspire you and others to heal and grow.
Patricia Briggs, River Marked|I suppose we must work on being gracious and grateful until we can do for ourselves. Someday the wheel of fate will put us in a position to be of use to them, and we will remember how much easier it is to give help than it is to accept it.
C. JoyBell C.|I am a broken person. And I know exactly where my cracks are and how deep they run. I don't pretend to not be a broken person and therein lies the big difference. Because the truth is, we are all broken in places, but it is those who know exactly where and how they are broken, who also know exactly where and how they are whole! And we may not be whole in all places and in all ways, but we take whatever wholeness that we do have, and we make good of it. And we try hard to work on the broken parts, and we ask for help when we need it.
C. JoyBell C.|The thing about learning how to fight is that— some of us are not born with that desire. They say some are born fighters; but they don't usually point out that others just aren't. Some of us are forced by life to take up arms and fight. Many of us are. The art lies in knowing when to wield those arms and when to put them down. I don't think it's a matter of pretending to be ideally unharmed by life and untouched by darkness; because that is hypocrisy. Rather, I think it is a matter of being true to your truth and learning when to fight and learning when to be soft. Hopefully, our soft moments in life will largely outweigh, outrank, and outrun our fighting.
Thomas S. Monson|The storm stops at the door. Love reigns, peace dwells.
C. JoyBell C.|I just believe that us as women— should not criticize nor pull down other women. And why? Because we’re all just trying our best to be beautiful! We all just want to be loved, we want to be beautiful, we’re all trying to leave our own legacy! The good news is that the universe is unending and that means there is enough space for each woman on earth to leave her own mark and to be her own legacy. To be her own kind of beautiful. So why spend even a second on trying to take away from another woman? Trying to steal, trying to criticize, trying to oppress? There is enough space for every woman and every kind of beautiful, in this vast cosmos! When you waste any amount of time trying to take what is another’s— you are wasting your huge chunk of a galaxy that’s already been given to you!
Maria Robinson, From Birth to One|Nobody can go back and start a new beginning, but anyone can start today and make a new ending." i love it so much
Michelle Sutton, Never Without Hope|Well if God wanted a broken spirit out of me, He would get Hiswish. At this point in my life the only thing I could do was look up.
Roy  Bennett|There are five important things for living a successful and fulfilling life: never stop dreaming, never stop believing, never give up, never stop trying, and never stop learning.
Tahir M Khan|Bring up the past only if it will help to build the future, otherwise its best to be left to sleep
Antoine de Saint-Exupéry, The Little Prince|You are beautiful, but you are empty. One could not die for you. To be sure, an ordinary passerby would think that my rose looked just like you --- the rose that belongs to me. But in herself alone she is more important than all the hundreds of you other roses: because it is she that I have watered; because it is she that I have put under the glass globe; because it is she that I have sheltered behind the screen; because it is for her that I have killed the caterpillars; because it is she that I have listened to, when she grumbled, or bloated, or even sometimes when she said nothing. Because she is my rose.
Wendy Mass, Every Soul a Star|Whereever you end up;" Jack whispered into my ear."I wish you clear skies. Always
Enrique Jardiel Poncela|When something can be read without effort, great effort has gone into its writing.
C. JoyBell C.|It dawns on you one day... how precious your life is and how not okay it is for anyone, ever, to cause you any amount of suffering, ever. Then the next time you step out the door you look at everyone and you’re thinking, “My life is precious and you’re not allowed to hurt me.
Tao Lin, Eeeee Eee Eeee|There was an enjoyment to being alive, he felt, that because of an underlying meaninglessness–like how a person alone for too long cannot feel comfortable when with others; cannot neglect that underlying the feeling of belongingness is the certainty, really, of loneliness, and nothingness, and so experiences life in that hurried, worthless way one experiences a mistake–he could no longer get at.
Randolph J. Rogers, The Key of Life; A Metaphysical Investigation|I have found that the only consolation is never regretting anything that you do. Never look back, always look forward and continue moving along with a confidence that everything you’re doing and everything you’ve done is the way it’s supposed to be.
Rick Warren, The Purpose Driven Life: What on Earth Am I Here for?|As long as you do things for God, you are a Hall of Famer in heaven's list.
Gregory J. Boyle, Tattoos on the Heart: The Power of Boundless Compassion|Compassion isn't just about feeling the pain of others; it's about bringing them in toward yourself. If we love what God loves, then, in compassion, margins get erased. 'Be compassionate as God is compassionate,' means the dismantling of barriers that exclude.
Roy T. Bennett|Step out of your comfort zone. Comfort zones, where your unrealized dreams are buried, are the enemies of achievement. Leadership begins when you step outside your comfort zone.
Mark W. Boyer|It matters not how fast light may travel, darkness shall always be there awaiting its arrival.
Karen Salmansohn|At your absolute best, you still won't be good enough for the wrong person. At your worst, you'll still be worth it to the right person.
Roy  Bennett|Believe in yourself, your abilities and your own potential. Never let self-doubt hold you captive. You are worthy of all that you dream of and hope for.
Lailah Gifty Akita|New day, new hopes, new life!!
Laurent Gounelle, L'homme qui voulait être heureux|Plus on évolue dans sa vie, plus on se débarrasse des croyances quinous limitent, et plus on a de choix. Et le choix, c'est la liberté.
C. JoyBell C.|I am not a little bit of many things; but I am the sufficient representation of many things. I am not an incompletion of all these races; but I am a masterpiece of the prolific. I am an entirety, I am not a lack of anything; rather I am a whole of many things. God did not see it needful to make me generic. He thinks I am better than that.
C. JoyBell C.|I think that the best kind of change, is the change that comes from the inside and begins it's way out until it emerges on the outside; a change that is born underneath then continues and spreads until it has reached the surface. That's a true change. A powerful change. And I have found that while we are emerging, changing into something glorious; it is actually us becoming who we really are. A water lily is born underneath the water, inside the soil at the bottom of the river or lake. And the water lily has always been a water lily for that whole time that it was sprouting out of the wet soil, reaching up through the dark water towards the sunlight, stretching and grasping for the surface; where it then buds and blooms on the outside in the sunshine. It doesn't bud and bloom on the surface and then try to reach down below into the soil.
Gloria E. Anzaldúa|A woman who writes has power, and a woman with power is feared.
Anaïs Nin|One discovers that destiny can be diverted, that one does not have to remain in bondage to the first wax imprint made on childhood sensibilities. Once the deforming mirror has been smashed, there is a possibility of wholeness. There is a possibility of joy.
C. JoyBell C.|There is something simply beautiful and simply innocent, in being human. It is just so innocent and beautiful. I love it.
|A real decision is measured by the fact that you've taken a new action. If there's no action, you haven't truly decided.
C. JoyBell C.|We doubt in others, what is in fact in ourselves. The skeletons in your own closet are the things that scare you the most about others; people who come from a background of lying are suspicious of lying in others and so on and so forth. The most trusting of people, are not people who have never been betrayed or who have never felt pain; but the most trusting of people are those who in themselves do not find those things worthy of that blame. We see the world through the eyes of the condition of our own souls.
Nirav Sanchaniya|I Am In Love With Myself, With My Heart.
Erin Hanson|Why must it be so hard For us to come to understand,That there are things we cannot changeHidden amongst the things we can?For we can rearrange our hearts,Dust out the corners of our minds,We can teach our eyes to seeOnly the things we wish to find.Yet once we decorate our wallsAnd sweep our sorrows off the floor,Why do we look to someone else,To show us how we can be more?For here is where the line Between our can and can't gets tough,Just the point at which we all must learnThat we are already enough,That since we cannot choose the home,Our only soul was born into,We should rearrange its roomsBut learn to love its window's view.
Amy Leigh Mercree|Share, care, hug like a bear.
Amy Leigh Mercree|I'd rather be interesting, original, & unique then follow the pack. Revel in who you truly are & be liberated!
Sahndra Fon Dufe|Whatever you are looking for is also looking for you. You see, don't only look. Be available and ready when it shows up
Amy Leigh Mercree|Create your best life with your consciously chosen thoughts, words, and actions.
Hazrat Ali ibn Abu-Talib|Generosity is to help a deserving person without his request, and if you help him after hisrequest, then it is either out of self-respect or to avoid rebuke.
Richard Branson, Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way|to be successful, you have to be out there, you have to hit the ground running
C. JoyBell C.|The most adventurous journey to embark on; is the journey to yourself, the most exciting thing to discover; is who you really are, the most treasured pieces that you can find; are all the pieces of you, the most special portrait you can recognize; is the portrait of your soul.
Roy T. Bennett|The more you can have control over your ego rather than let it run amuck, the more successful you’ll be in all areas of life.
C. JoyBell C.|‎"What does it mean if you tried to get somewhere, and you didn't?" "Like what?" "Like if you were trying to get somewhere, but you couldn't find it? Does that mean something bad?" "No. It doesn't mean something bad. It just means you have a second chance to do it. And two chances is always better than just one.
C. JoyBell C.|Thus is the nature of love: that you must use it! A love unused is not love! If it is something that sits on the shelf that you don't know what to do with, it is not true to the nature of love! Use love!
C. JoyBell C.|A lot of pieces I have written have to do with courage. As a result, people think that I am naturally brave. But what people don't know, is that I grew up with phobias and many fears. I was scared of everything. So, I write of courage not because I have not known fear, but I write of courage because I have walked with fear but I have made the choice not to fear it.
Michael J. Fox|When life takes away, something of greater value is always given in return.
C. JoyBell C.|If you follow the ancient maps written on the stars, no person will ever understand you. So if you could read these maps, would you follow them? And forever be misunderstood? Or would you close your eyes tightly and pretend to be like everyone else?
James Dashner|Just go with it', he thought. 'You won't figure out anything if you give in to fear'.
Deborah Brodie|Seeing a miracle will inspire you, but knowing you are a miracle will change you.
David Gemmell, Lord of the Silver Bow|Fear is an aid to the warrior. It is a small fire burning. It heats the muscles, making us stronger. Panic comes when the fire is out of control, consuming all courage and pride.
Amy Leigh Mercree|Love yourself, even a little bit each day, and your life will bloom into infinite joy.
Jodi Picoult, Sing You Home|Into the silence rips a sound that makes me let go of Max's hand and cover my ears. It is like the strafe of a bullet, nails on a chalkboard, promises being broken. It's a note I have never heard - this chord of pure pain - and it takes a moment to realize it is coming from me.
Hazrat Ali ibn Abu-Talib|So long as fortune is favouring you, your defects will remain covered.
Sudha Murty|We can give our children only two things in life which are essential. Strong roots and powerful wings. Then they may fly anywhere and live independently. Of all the luxuries in life, the greatest luxury is getting freedom of the right kind.
Amy Leigh Mercree, The Spiritual Girl's Guide to Dating: Your Enlightened Path to Love, Sex, & Soul Mates|Each moment, each person, is sacred and worthy of respect- especially you.
C. JoyBell C.|Yesterday I was sad, today I am happy! Yesterday I had a problem, today I still have the same problem! But today I changed the way I look at it!
Denzel Washington, A Hand to Guide Me|At the end of the day, it's not about what you have or even what you've accomplished. It's about what you've done with those accomplishments. Its about who you've lifted up, who you've made better. It about what you've given back" (23).
C. JoyBell C.|It's like I am inside this ethereal sphere wherein exists no logic, no reasoning, no typicality, no explanations, no realism, no comparisons, nothing ordinary, and no normalcy. And then if you are to understand me, you have to step into my realm and leave all of those things behind. I'm not typical. I'm not ordinary. And I'm not normal. And I never will be ‎. So I don't see the point of waking up in the morning and wishing to be so.
C. JoyBell C.|Some people say they will not believe in anything they can't see. What a catastrophe to not have any faith at all! You live only less than a half of life, if you will only believe in the things that you can see. Life is lived by those who have much faith and believe in many unseen things. If you believe in nothing that you cannot see, think about how much there is that you choose to turn your face away from! You can't see your soul and you cannot prove that it exists, therefore if you call yourself one who believes in nothing unseen, then you will forever deny your soul its existence, for the existence of the soul dwells in love, trust, anger, passion, faith, belief, strength; the soul is forever nourished by things that are unseen! And so we have too many empty bodies walking around! Bodies with souls inside that are half-dead and dying.
C. JoyBell C.|If you wait for a cake to be given to you so you will be happy- then you will be happy when someone gives you a cake. But if you buy a cake (or bake one) for yourself so you will be happy, you have found the way of happiness.
William S. Burroughs|Cheat your landlord if you can and must, but do not try to shortchange the Muse. It cannot be done. You can't fake quality any more than you can fake a good meal.
Heather Cochran, The Return of Jonah Gray|Repotting a plant gives it space to grow. Repotting ourselves means taking leave of our everyday environments and walking into unfamiliar territory—of the heart, of the mind and of the spirit. It isn’t easy. The older we get, the more likely we are to have remained in the same place for some time. We stay because it’s secure. We know the boundaries and, inside of them, we feel safe. Our roots cling to the walls we have long known. But remaining inside can keep us from thriving. Indeed, without new experiences or ideas, we slowly grow more and more tightly bound, eventually turning into less vibrant versions of who we might have been.Repotting means accepting that the way is forward, not back. It means realizing that we won’t again fit into our old shells. But that’s not failure. That’s living.
Suzanne Elizabeth Anderson, Waiting with God|God used my year of waiting not to frustrate me, or abandon me, but to draw me into a closer relationship with Him.
Chriscinthia Blount|When God throws something your way, catch it!
Agona Apell, The Success Genome Unravelled: Turning Men from Rot to Rock|It is not courage that makes us speak the truth, but it is a hunger for truth that makes us courageous
Neil Gaiman, The Ocean at the End of the Lane|Oh, monsters are scared', said Lettie. 'And as for grown-ups...' She stopped talking, rubbed her freckled nose with a finger. Then, 'I'm going to tell you something important. Grown-ups don't look like grown-ups on the inside either. Outside, they're big and thoughtless and they always know what they're doing. Inside, they look just like they always have. Like they did when they were your age. The truth is, there aren't any grown-ups. Not one, in the whole wide world.'...We sat there, side by side, on the old wooden bench, not saying anything. I thought about adults. I wondered if that was true: if they were all really children wrapped in adult bodies, like children's books hidden in the middle of dull, long books. The kind with no pictures or conversations.
C. JoyBell C.|Flowers that are offered for the dead, do not know the difference of where their beauty will be placed, they do not say, "This is not a palace" or "This is not a garden"; they just are. They are just beautiful, without giving regards to whether they are placed on a grave or in a castle. Flowers are just beautiful, whether they grow by the wayside or in a manicured garden. If we were all like flowers, then we would all be beautiful, with no regards to why or how. We just are. We are just beautiful.
C.Michelle Gonzalez, A Journey in to Divine Love: Live, Laugh, Love, Meditate|When there is nothing left to give somone in need, we give them what we do have. We give them Divine Love, faith, and friendship. This is always enough to see anyone through anything. This, my friends, is how we save the world. (pg.99 of A Journey In to Divine Love)
C. JoyBell C.|I know from the bottom of my heart and with all of it, that it doesn't matter if at the end of your life you can say that you shared the best of yourself with the rest of the world and it doesn't matter if everyone in the world remembers you as wonderful; but what matters is if at the end of your life you can say that you shared the best of yourself with the handful of people who are around you, that you gave the wonderful in you, to the people you love and who love you. Happiness never has and never will come from fame.
Mary Baker Eddy, Poems by Mary Baker Eddy|When angels visit us, we do not hear the rustle of wings, nor feel the feathery touch of the breast of a dove; but we know their presence by the love they create in our hearts.
C. JoyBell C.|The coward says in his heart “There is no love.” Because, standing in the shadows of the big, grand, and powerful existence of love, his small spirit is left feeling even smaller and less significant. And so he chooses to deny the existence of love altogether. Because he is too small to have it.
Jonathan Anthony Burkett, Friends 2 Lovers: The Unthinkable|If two people are meant for one another, that doesn't mean that they have to rush and be together right away. Real love takes time to grow, just like how it takes time to grow from children to adults.
Robert Muller|To forgive is the highest, most beautiful form of love. In return, you will receive untold peace and happiness
Odille Rault, Beyond the Magic Pill: A Collection of the Insights of Illusions|Darkness cannot survive in light, but a light can shine in the dark!
Kevin Ngo, Let's Do This! 100 Powerful Messages to Help You Take Action|If you don't make the time to work on creating the life you want, you're eventually going to be forced to spend a LOT of time dealing with a life you don't want.
L.A. Jones|If everyone could be a successful and rich author, there would be no point in working so hard. Where is the fun in that?
Leo Tolstoy, War and Peace|If there is a God and future life, there is truth and good, and man's highest happiness consists in striving to attain them. We must live, we must love, and we must believe that we live not only today on this scrap of earth, but have lived and shall live
Paulo Coelho, The Fifth Mountain|Where are they written?" "In the world around us. Merely be attentive to what happens in your life, and you will discover where, every moment of the day, He hides His words and His will. Seek to do as He asks: this alone is the reason you are in the world." "If I discover it, I'll write it on clay tablets.""Do so. But write them, above all, in your heart; there they can neither burned nor destroyed, and you will take them wherever you go.
Roy  Bennett|Live a good life. More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.
Amy Leigh Mercree|A #loveselfie isn't a picture or a status update. It's an attitude of embracing, accepting, and valuing yourself, exactly as you are in each moment. It's being one hundred percent present with yourself. Try it.
C. JoyBell C.|Empathy is the ability to step outside of your own bubble and into the bubbles of other people. Empathy is the ability that allows us to be useful creatures on this planet; without empathy, we are a waste of oxygen in this world. Without empathy, we are lower than animals. Empathy is the ability that allows us the perception of things around us, outside of ourselves; so a person without empathy is a limited human being, someone who will only live half of a life.
Maria Magdalena|when you have no spirit to seize the day, find it behind the music, between the flowing leaves, beneath the sun rays, and just within yourself. Talk to yourself, be the best friend for yourself, and do not hesitate to ask God help
April Cofield Essix, From Crack to Christ: A Witness|We may have done what the devil said we did, but we are NOT who the devil says we are!
Roy  Bennett|Embrace being perfectly imperfect. Learn from your mistakes and forgive yourself, you’ll be happier.
C. JoyBell C.|Always remember that the most valuable thing that you can do in this world, is to live a life of love. Love truly those who were given you to be loved. Love truly the gifts you were given in life, as well as your ability to live and share those gifts. Even if the only people who remember your name, are the five people you have loved and who have loved you in this life, that makes you no less important than the person who is recognised by every individual in this world! In seeking to change the world out there that you live in, do make sure that you are not changing it in order to make it become more like you; rather, live to change yourself, to know yourself, to grow and to become. This is the highest reach of man. The downfall of world-changers in this day and age, is that those who wish to change the world, only wish to influence the world of their own beliefs, choices, and opinions. But this is not how the world is changed. This planet is changed, only when we heal and grow and know the worlds within ourselves. Because it is in the healing of worlds unique and innumerable, that this one we share will find her hope. The only person who needs to know you, is you. And then the people who are given to you to love, who love you truly in return. — The Conversation of Venusta
C. JoyBell C.|If people are going to be allowed to say "we love you" and "I love you", they'd better have the backbone to prove it. Love isn't just a word.
Erin Bow|No writing is wasted. Did you know that sourdough from San Francisco is leavened partly by a bacteria called lactobacillus sanfrancisensis? It is native to the soil there, and does not do well elsewhere. But any kitchen can become an ecosystem. If you bake a lot, your kitchen will become a happy home to wild yeasts, and all your bread will taste better. Even a failed loaf is not wasted. Likewise, cheese makers wash the dairy floor with whey. Tomato gardeners compost with rotten tomatoes. No writing is wasted: the words you can't put in your book can wash the floor, live in the soil, lurk around in the air. They will make the next words better.
C. JoyBell C.|Our key to greatness lies not in our ability to project ourselves to others as if we are putting ourselves onto a projector and creating an image of ourselves on a projector screen. Rather, our key to greatness lies in who we are which we can give to other people in a way that when they walk away from us, they are able to say in their hearts that they have taken away something with them quite extraordinary.
