Tapan Ghosh, Faceless The Only Way Out|Death is an illusion, Love is not!
Avijeet Das|We have conversations most nights, Sylvia Plath and me. On these cold wintry nights with our coffee mugs in hand, we talk for hours and hours, Sylvia Plath and me!
Avijeet Das|Your mind, your words, your charm and your style are all the sexiness that I need in my life!
Timothy Joshua|The only thing that mattered to me, was the fact that I mattered to you.
Avijeet Das|In the silence of the ticking of the clock’s minute hand, I found you. In the echoes of the reverberations of time, I found you. In the tender silence of the long summer night, I found you. In the fragrance of the rose petals, I found you. In the orange of the sunset, I found you. In the blue of the morning sky, I found you. In the echoes of the mountains, I found you. In the green of the valleys, I found you. In the chaos of this world, I found you. In the turbulence of the oceans, I found you. In the shrill cries of the grasshopper at night, I found you. In the gossamer sublimity of the silken cobweb, I found you.
Avijeet Das|I don't need the sea to drown in, your eyes are enough for me!
Linda Alfiori, The Art of Loving Intelligently: Discover the Five Love Myths Hurting Women Worldwide and the Reality about Them|Ignorance causes pain, but awareness creates happiness. Therefore, look for enlightenment every day.
Avijeet Das|She texted me 'I love you.'I texted back 'I love you too.'She then texted me 'I love you more.'And I smiled reading her message and texted in reply 'No, I love you more.'Then she texted me 'I love you infinity power infinity power infinity into infinity.'I had no words to reply and smiled looking at her text!
Avijeet Das|She says she loves me infinity power infinity power infinity into infinity! And I look at the sky, smile, and 'sigh!
Bunny Naidu|Don't Cry For Someone, Who Killed Your Smile.
Bunny Naidu|The Happiness Happen to Me is, When You are With Me.
Avijeet Das|You can't take love for granted! You need to be patient. And just as flowers take time to blossom, love will one day blossom in your heart!
Genereux Philip|When you start doubting God, remember how far you have come. Remember everything you have faced, all the battles you have won, and all the fears you have overcome by having the Lord in your life.
Avijeet Das|When I see you smile, I feel a volcano of lovely eruptions happening within my heart!
Avijeet Das|I feel your body against mine, while our lips are intertwined.
Vandana Yadav|Love is an urge to be with himWhen the first raindrop falls.Love is an ecstasy, the joy you feelWhen his presence is sound.Love is a tender tickle when youSit alone thinking of him.Love is a tear of happinessWhen the proposal dooms...
Avijeet Das|Whenever they met, the air crackled and sparks flew in the sky.
Avijeet Das|We will join our palms together, fingers intertwined in each other, and look at the stars in the night sky!
Ramana Pemmaraju|You don't marry a woman because you love her, you do because you're MAD for her.
Dominique Eastwick, Siren's Serenade|I think you’ll find since I already love you, your Siren’s serenade will have no effect on me.
Dr Karan M Pai|Love : the most powerful but most dangerous feeling in the world. I have lost my love several times. Every love has a time to be in it, that was not my time but it never meant that was not love. Love that breaks but still keeps you together. Out of all heart breaks all I could learn is the motivation, inspiration, confidence & dedication which I got it when I was in love. I shall treasure to be the better person I am ..
Carina Aguilar|Don't ask me to define love, for love cannot be explained. It can only be felt.
Richelle E. Goodrich, Slaying Dragons|I hope you know I love you, not just because I tell you so at every opportunity, but because I show you so as often as the sun sets.
Richelle E. Goodrich, Slaying Dragons|When I first heard your voice, my heart leapt in my chest as if it recognized you as its owner from another lifetime.
Richelle E. Goodrich, Slaying Dragons|Truth is, I’m generally happiest when it’s just me. It’s okay to be madly in love with yourself.
Richelle E. Goodrich, Slaying Dragons|She laughed, and he fell in love.
Richelle E. Goodrich, Slaying Dragons|Your face is engraved in my mind. I can’t erase it. I don’t want to. Because as much as I hate you, I love you. And I love you unforgettably.
Matshona Dhliwayo|The ocean has limits, but true love does not.
Kermit Roosevelt III, Allegiance|There is no suspension, no whispered prayer for silk to stop my fall. There is only the falling, and it goes on and on, in fierce silence and sharp bursts of breath.
Richelle E. Goodrich, Slaying Dragons|Please stop. If you keep chipping off little pieces of my heart, soon there will be no heart left with which to love you.
Richelle E. Goodrich, Slaying Dragons|Love by the sweat of thy brow.Not through whispered words of hollow sound or lofty dreams ne’er substance bound that more than oft do run aground. Nay, love with mighty, blistered hands that turn the soil and carve the land. A bearer of toil and golden band. Be strong! A founder of the feast! Protective knight who slays the beast! For promises and vows aloud are naught but wispy veneer shroud like cobwebs, frail, the airy words and wooing fail. So work, my darling. Toil as proof. Thy loyal heart be drained of youth and yet beat on, incessant sound. Both feet take root within the ground, and service be thy kingly crown.Love by the sweat of thy brow.
Richelle E. Goodrich, Slaying Dragons|At the core of love is validation. It is what gives love power. For when love is given away, validation seeps in and expands in the heart of the recipient, filling up every empty, dark corner. It is a wonderful, light, consuming feeling we long for, and once found, we hope—even expect—it will forever remain. But there are times when that most precious love is revoked, and a hard scab forms over the empty hole. Though this scab is both healing and protective, it is the reason why validation from future love may not seep in so easily, no matter how wanting the heart.
Sharon Salzberg, Real Love: The Art of Mindful Connection|When we forgive someone, we don’t pretend that the harm didn’t happen or cause us pain. We see it clearly for what it was, but we also come to see that fixating on the memory of harm generates anger and sadness.
Sharon Salzberg, Real Love: The Art of Mindful Connection|When we truly allow ourselves to feel our own pain, over time it comes to seem less personal. We start to recognize that what we’ve perceived as our pain is, at a deeper level, the pain inherent in human existence.
Sharon Salzberg, Real Love: The Art of Mindful Connection|Healing comes in many ways, and no one formula fits all.
Sharon Salzberg, Real Love: The Art of Mindful Connection|Letting go is an inside job, something only we can do for ourselves.
Sachin sawariya|Love me forever, But Love me for a reason,Let the reason be love & Fun.
Sharon Salzberg, Real Love: The Art of Mindful Connection|Our can-do culture has made many of us believe that we should always be self-sufficient. Somewhere along the way, we also got the message that asking for help is a sign of weakness. We often forget that we’re interdependent creatures whose very existence depends on the kindness of others, including—with a bow to Tennessee Williams—strangers.
Sharon Salzberg, Real Love: The Art of Mindful Connection|When we are willing to explore our own experiences, we open the doorway to deeper connection and intimacy.
Sharon Salzberg, Real Love: The Art of Mindful Connection|In more ways than any of us can name, love is wrapped up with the idea of expectation.
Sharon Salzberg, Real Love: The Art of Mindful Connection|Letting go is actually a healthy foundation upon which we can open up to real love—to giving, receiving, and experiencing it authentically and organically.
Sharon Salzberg, Real Love: The Art of Mindful Connection|Mindfulness may help you gain insight into your role in conflicts with others, it won’t single-highhandedly help you resolve them.
Sharon Salzberg, Real Love: The Art of Mindful Connection|These are times when sympathetic joy comes naturally, but in a complex relationship the heart may not leap up so easily.
Sharon Salzberg, Real Love: The Art of Mindful Connection|Sympathetic joy is a practice. It takes time and effort to free ourselves of the scarcity story that most of us have learned along the way, the idea that happiness is a competition, and that someone else is grabbing all the joy.
Sharon Salzberg, Real Love: The Art of Mindful Connection|By experimenting with sympathetic joy, we break from the constricted world of individual struggle and see that joy exists in more places than we have yet imagined.
Sharon Salzberg, Real Love: The Art of Mindful Connection|To celebrate someone else’s life, we need to find a way to look at it straight on, not from above with judgment or from below with envy.
Abhijit Naskar, The Bengal Tigress: A Treatise on Gender Equality|Love is not the primeval surge of libidinal lust that a person receives when meeting a suitable partner for the first time. Love in the truest sense of the term is born much later in a relationship, when both sides get to the know the truest selves of each other.
Sameer  Khan, Eerie Edges|All I want to do is, help you rebuild yourself.Restructure your devastated heart. For Iknow, it's impossible to build the exact sameshrine once destroyed in a place but at leastyou can make a garden of bliss over awreckage
Stephanie Klein, Straight Up and Dirty|Here's what I've learned about "soon"; it's short for "someday." We make space in our lives for what matters, now. Not in promises and soons, but on mantels with sterling frames, in shelves we clear to make room for our now. Everything else i talk.
Sarah Mayberry, Her Best Worst Mistake|He would let Violet find her own way and time to tell Elizabeth. In the interim, he would listen and hold her hand and offer his counsel, but he would not push. He understood now how deep her wounds ran, how hard it was for her to trust that she could make mistakes and still deserve love.
Sharon Salzberg, Real Love: The Art of Mindful Connection|Even when we do our very best to treat those close to us with utmost respect and understanding, conflict happens. That’s life. That’s human nature.
Sharon Salzberg, Real Love: The Art of Mindful Connection|No connection is always easy or free of strife, no matter how many minutes a day we meditate. It’s how we relate to conflict, as well as to our differing needs and expectations, that makes our relationships sustainable.
Sharon Salzberg, Real Love: The Art of Mindful Connection|As we explore new ways of loving and being loved by others, we need to equip ourselves with open, pliant minds; we need to be willing to investigate, experiment, and evaluate as we approach a topic we thought we knew so much about.
Sharon Salzberg, Real Love: The Art of Mindful Connection|Love simply, perpetually exists and that it’s a matter of psychic housekeeping to make room for it.
Sharon Salzberg, Real Love: The Art of Mindful Connection|It's tough to have an authentic relationship with awe in the age of awesome, a word that has become so overused as to be drained of its meaning.
Sharon Salzberg, Real Love: The Art of Mindful Connection|We exercise kindness in any moment when we recognize our shared humanity—with all the hopes, dreams, joys, disappointments, vulnerability, and suffering that implies.
Nishikant, The Papery Onions|It was the best start of the day. A day started with a rejection. Maybe, by the end of the day, I would spend the majority of my vitality making the thing occur all alone.Maybe, tonight would be distinctive.
Nishikant, The Papery Onions|Why cannot you be loud in saying 'I love you' ?", she asked.Me:- It is just because I have got a great depth inside me that will take some time to reach the horizon. But believe me, it would be the loudest of all, anyone has ever heard.
Dr. Karan M Pai|I love the sparkle in your eyes and the beautiful smile you have when we are together. I want to be by your side to watch you smile every second.The day you were born was a lucky day for so many people. You enrich my life so much and I love you more than you can imagine.. I wish I had the gift of making rhymes, for me thoughts, there is poetry in my head and heart since I have been in love with you.
Avijeet Das|We must believe in love, always!
Meeta Ahluwalia|With each embrace, I poured my soul into his, till his and mine were the same.
Nishikant, The Papery Onions|Love can be all things.But, Just never enough.
Nishikant, The Papery Onions|You are so adorable. You can never be bad. Everyone has a hysterical part in himself, and I may be that part you. I’m just a lunatic. Maybe, a demon. And you.You’re the world.
Matshona Dhliwayo|To appreciate pleasure, someone had to experience pain; to appreciate joy, some had to experience sorrow; to appreciate love, some had to experience heartache; to appreciate freedom, some had to experience fear.
Jenny O'Brien|There was only the two of them standing on top of the world, the rest of their lives waiting silently at their feet.They eased apart, still touching with their eyes, their hands, their souls. (Girl Descending)
Vladimir Lenin|He loved her with the fire of a thousand suns, she was his solace in the chaos, his redemption.
J.Y. Tacheva, How We Fall in Love: The Tale Scheherazade Didn't Tell|I think I need to take frequent breaks from kissing your body to return to your lips, kissing you feels so good.
J.Y. Tacheva, How We Fall in Love: The Tale Scheherazade Didn't Tell|I'd take off your clothes, fast enough to not give you time to reconsider, but gently, while kissing your lips.
J.Y. Tacheva, How We Fall in Love: The Tale Scheherazade Didn't Tell|Her neck - a swan’s neck, gracious and gentle, her breasts - two mountainous guardians over the valley of her generous heart.
J.Y. Tacheva, How We Fall in Love: The Tale Scheherazade Didn't Tell|Her legs are two rivers, and the delta where they bleed into each other is the well of ecstasy.
Parul Wadhwa, The Masquerade|All I can say is if one was tea, the other coffee. If one was smoke, the other cigar. There is absolutely nothing in common between them except they both fought to win.
Avijeet Das|While outside the window, the raindrops pitter pattered on leaves that shivered and sparkled, inside we made love for the first time!
Tessa Dare, Any Duchess Will Do|It was only a matter of time. She would love him before the week was out and it would be gloriously terrible, wonderfully hopeless.
Avijeet Das|When we kissed for the second time, we didn't stop (couldn't).
Avijeet Das|Love is when you have not been home for three months and call up home and your daughter picks up the phone and says "Papa, I love you!
Mensah Oteh|Focus on the future and the outcomes you want, not your present setbacks or failures.
Mensah Oteh|Your beliefs frame your thoughts and actions. If you change your beliefs, you change your reality.
Mensah Oteh|Through reframing, you can eliminate all limiting experiences from your life.
Mensah Oteh|The outcomes in your life will depend on the quality of the frames you use to evaluate the events, the choices you make, and your decision not to be affected negatively by any events that occur.
Mensah Oteh, The Good Life: Transform your life through one good day|It’s not what happens, it’s what you do that makes the difference to how things turn out. Change your perspective in the way that serves you best.
Mensah Oteh, The Good Life: Transform your life through one good day|Focus is central to everything you do, and where your focus goes, energy flows
Mensah Oteh, The Good Life: Transform your life through one good day|Focus means exercising the self-discipline required to keep your time, energy and attention directed towards the outcomes you have chosen whilst avoiding all distractions – good or bad.
Mensah Oteh|The path to success lies in finding something you have a passion for, care deeply about, and are willing to apply all of your energy and focus to.
Mensah Oteh|There are many good things in the world, but not all of them benefit you. Focus keeps you on the path of what is right and away from other options.
Mensah Oteh|To succeed, you have to say ‘no’ more often than you say ‘yes’. This is easier when you have a definite purpose or clarity on the desired outcome.
Avijeet Das|Thy dark eyes beckon me into the darkest nether world of dark galaxies and darker supernovas. Forever in darkness, I know no light! Thy darkness my dark-light!
Mensah Oteh, Unlocking Life's Treasure Chest: Wisdom keys to keep you inspired, encouraged, motivated and focused|All worthwhile endeavours begin in your thoughts, and focusing your thoughts appropriately will increase your chances of success.
Mensah Oteh|If you can stay focused on your most important goal, you can become incredibly successful, but to stay focused you must intentionally create and maintain an environment, atmosphere, and culture that keeps you focused.
Mensah Oteh|When we think of success, we often associate those who are successful with the things they do rather than the things they don’t, and focus is found in the latter.
Mensah Oteh|To develop stronger focus, develop a greater reason or meaning for your goal.
Mensah Oteh, The Good Life: Transform your life through one good day|You will fall short of achieving your goals if your focus is fragmented and your attention, energy, and concentration diversified.
Mensah Oteh, The Good Life: Transform your life through one good day|Focus comes from a promise of the future, and therefore the strength and longevity of your focus will seldom exceed the strength of your purpose, vision, dreams or goal.
Mensah Oteh|Failure results from broken focus, and an average person with complete unwavering focus can achieve more than a team of geniuses with broken focus.
Mensah Oteh|Focus determines your feelings, which in turn influence your behaviour, actions and your destiny.
Mensah Oteh, The Good Life: Transform your life through one good day|Focus is not a state of single-mindedly pursuing one goal or objective without getting distracted. Rather, it’s a commitment to exert all concentration and effort through constant adjustment like the lens of the human eye on a vision or purpose
Mensah Oteh, Wisdom Keys In Words: A collection of the Inspirational words that will change your life|Fail faster, but (more importantly) fail intelligently.
Mensah Oteh, Unlocking Life's Treasure Chest: Wisdom keys to keep you inspired, encouraged, motivated and focused|In times of difficulty, take time out and seek support and encouragement.
Mensah Oteh, Unlocking Life's Treasure Chest: Wisdom keys to keep you inspired, encouraged, motivated and focused|Invested wisely, time produces a good return. Invested poorly, it has little or no value and is therefore wasted.
Mensah Oteh, The Best Chance: A Guide to Discovering Your Purpose, Reaching Your Potential, Experiencing Fulfilment and Achieving Success in Any Area of Life|Regardless of your gender, age, race, disability, colour, ethnic or national origin, how you use time each day decides who you become.
Mensah Oteh, Unlocking Life's Treasure Chest: Wisdom keys to keep you inspired, encouraged, motivated and focused|Although time is equally possessed by everyone, it is valued and used differently by the successful.
Mensah Oteh|If you don’t understand the concept of time or appreciate its value, it’s almost impossible to be successful.
Mensah Oteh, Unlocking Life's Treasure Chest: Wisdom keys to keep you inspired, encouraged, motivated and focused|The value of time lies in its brevity. To use it effectively, you must know its value.
Mensah Oteh, Unlocking Life's Treasure Chest: Wisdom keys to keep you inspired, encouraged, motivated and focused|You can do this by disciplining yourself to be selective in what you read, see, hear, say to yourself and the influence of others.
Avijeet Das|When you brought light to my darkness, I undiscovered the eclipse!
Mensah Oteh, Unlocking Life's Treasure Chest: Wisdom keys to keep you inspired, encouraged, motivated and focused|Circumstances, events or situations do not have inherent meanings except what you give them.
Mensah Oteh|Your perspective determines your experiences, attitude and the quality of your life.
Mensah Oteh|You can choose the quality and the type of reality you experience every day through your focus. What you focus on, you feel.
Mensah Oteh|Circumstances, events or situations have no power except that which you give them.
Mensah Oteh|Becoming your best self should be your ultimate goal, and wisdom helps you discover your true self and can guide you towards manifesting your potential.
Mensah Oteh, The Best Chance: A Guide to Discovering Your Purpose, Reaching Your Potential, Experiencing Fulfilment and Achieving Success in Any Area of Life|Invest in yourself, because you will only ever achieve the level of success that matches your level of wisdom.
Mensah Oteh, The Best Chance: A Guide to Discovering Your Purpose, Reaching Your Potential, Experiencing Fulfilment and Achieving Success in Any Area of Life|Investing in your personal development requires time, energy, and money, but the investment provides a great return.
Mensah Oteh, The Good Life: Transform your life through one good day|Investments are about the return they provide in increased opportunities, prosperity, health, wealth, happiness, joy, and success.
Mensah Oteh, Unlocking Life's Treasure Chest: Wisdom keys to keep you inspired, encouraged, motivated and focused|Wisdom is made complete with knowledge, understanding and good judgement.
Mensah Oteh|You have the paintbrush in your hand, you can make the picture of your life brighter and bigger or duller and darker, it’s up to you.
Mensah Oteh, The Good Life: Transform your life through one good day|For long-term success, invest 5-10% of your time each day and 5-10% of your income each month in increasing your wisdom.
Mensah Oteh|Like soil, the quality of your mind decides the quality and quantity of ideas your mind can produce.
Mensah Oteh|Review how you spend your money and time across all areas of your life, and judge for yourself whether your investment in your mind is right for the future you want.
Mensah Oteh|Wisdom isn’t expensive, but ignorance is.
Mensah Oteh, The Best Chance: A Guide to Discovering Your Purpose, Reaching Your Potential, Experiencing Fulfilment and Achieving Success in Any Area of Life|To gain wisdom you must be willing to invest time, energy, and money in your personal development.
Mensah Oteh, The Good Life: Transform your life through one good day|Feed your mind with thoughts that inspire, motivate, encourage, empower, educate and instruct you by deliberately choosing the information you allow into your world through sight, sound and people.
Mensah Oteh|Positive thoughts are the birthing ground for making your dreams, goals, and desires come true.
Mensah Oteh|Everything starts as a thought. Whether you feel happy or sad, calm or anxious, content or unfulfilled is a function of your thoughts.
Mensah Oteh|You can’t always control your external environment, but you can manage your micro environment by intentionally choosing what you allow to influence you – by sight, sound, and presence.
Mensah Oteh|You don’t have to allow the drama and events of the economy, others people’s lives, and external circumstances to limit your potential and rob you of the life you deserve.
Mensah Oteh|You have absolute control over your thoughts, and guarding your mind is a choice.
Mensah Oteh|Renew your mind by flooding it with inspiring, empowering, educational and edifying thoughts and words.
Mensah Oteh|Discipline yourself to shut the door of your mind on people, events, or things that pull you down, drain your mental or emotional energy, and try to rob you of your promise of the future.
Mensah Oteh|Your external world is a mirror of your internal world, and if you can discipline yourself to change your thoughts, your external world will change.
Mensah Oteh|There’s no secret to success, but if there were one, it would be that your decisions create your success or lack of it and the quality of your decisions will determine the quality of your life.
Mensah Oteh|If you had all the time in the world but your knowledge, wisdom and understanding remained unchanged, your life would remain the same.
Mensah Oteh|There are no victims in life, we are all volunteers. Our decisions create our experiences.
Mensah Oteh|Give yourself permission to dream, to choose, to decide.
Mensah Oteh|Avoid making important or long-term decisions when you are fatigued mentally, emotionally or physically.
Mensah Oteh|Time does not create changes, wisdom does. Your wisdom decides the quality of your decisions.
Mensah Oteh, The Best Chance: A Guide to Discovering Your Purpose, Reaching Your Potential, Experiencing Fulfilment and Achieving Success in Any Area of Life|Your decisions are influenced by your beliefs, philosophy, wisdom, environment, relationships, goals or dreams and state of mind.
Mensah Oteh|Decisions create success, and the quality of your decisions will determine the quality of your life.
Mensah Oteh|Your life is a picture of the decisions and choices you have made in the past, and your future depends on the quality of the decisions you make today and tomorrow.
Mensah Oteh|One thing guaranteed in life is that you’ll experience twists and turns, obstacles, roadblocks, and battles.
Mensah Oteh|You have to master the art of selectivity in everything you do. Otherwise, you could be side-tracked by secondary events and opportunities.
Mensah Oteh|All battles are not created equal; a few offer good rewards and are worthy of your attention but most are a waste of your time, energy and focus.
Mensah Oteh|If you can manage your thoughts and mind, and choose your battles wisely, you can manage your life.
Mensah Oteh|Some things are not worth fighting for and some are worth dying for, Wisdom helps you understand which are which.
Mensah Oteh|Never go into battle for your ego, Learn to battle for something much greater.
Mensah Oteh, The Good Life: Transform your life through one good day|Planning your day before it begins, and adjusting your plan through the day, is one of the most important daily habits.
