Rasheed Ogunlaru|The mind defines, decides, doubts and divides - only the heart truly binds.
C. JoyBell C.|I talked to my nephew today, he's afraid of the dark. Or was. I said, "Why are you afraid of the dark? In the darkness we find many beautiful things!" He said, "Like what?" And I said, "Like the Moon and the stars! We would never see them without the darkness! And have you ever been to a movie house before? Do you think it would be as fun if it wasn't dark inside? And all the creatures under the sea— they're always there, swimming beautifully in the darkness of the waters!" And he said, "Bad things like ghosts are just fairy tales, right?" Then I told him, "Even if there were ghosts all around, they would not change in the darkness; they would be just the same as they are in the light. Look, we live in a world where there are bad things but there's no difference between these things whether they are in the darkness or in the light! Everything good and bad is always there; what changes is what and when we can see them. And the darkness brings us many beautiful experiences that we wouldn't be able to see in the light." And then I gave him a piece of my son's meteorite stone, I told him that whenever he feels afraid in the dark, he can hold onto it and it should remind him that many beautiful things, like that meteorite, come from the darkness so there's really nothing to ever be afraid of.
Amit Kalantri|Always remember, animals can intimidate men with their strength but men cannot intimidate animals with their intelligence.
Amit Kalantri|People in blind love throw away common sense, conscience and comedy from the life.
Vinod Pande|How do you tell a young girl in her formative years that the real value, real wealth is only in acquisition of knowledge through higher education? In caring for the downtrodden as well as the learned. In committing yourself to the matters of culture and creativity, when your own life has been complete antithesis of the same?
Lakesha Ruise|Opinions are like hearts. Everyone has one, but they are not ALL healthy.
Ernest Agyemang Yeboah, Distinctive Footprints of Life: Where Are You Heading Towards?|if you cannot ponder to wonder, you will always wonder to ponder
C. JoyBell C.|People will always believe what they want to believe, about you. This is due to the fact that people wish to create their own truths; anything but the truth that's real. My creed is simple: Let them! Their beliefs don't alter your truth. Moreover, your attempt at altering them won't do any good for you.
Amit Kalantri, Wealth of Words|Life doesn't offers charity, it offers chance.
Amit Kalantri|A single man is minority, a leader is the majority.
C. JoyBell C.|Men are taught how to be what a woman wants and women are taught how to be what a man wants, therefore, people end up with people because there is something offered which they want; not because they see the other person, understand the other person, share the other person's dreams... why are not men and women being taught how to show other people their dreams, the colours of their souls, their fears and pains, their joys and laughters? People should be falling in love with people! Not with ideas!
Amit Kalantri|You have given intelligence to find one solution, and imagination to find ten.
Amit Kalantri, Wealth of Words|Preparation doesn't assures victory, it assures confidence.
Amit Kalantri|Reading doesn't mean accepting everything you read, it means reasoning everything you read.
Amit Kalantri|A scientist is proud of his intelligence, an artist is proud of his imagination.
C. JoyBell C.|There are so many bad people in the world. They'll treat you badly, they'll haggle and undermine your worth. They'll calculate what they can get without thinking about what to give. That's the world. Very seldom, you'll find someone who will not undermine and haggle your worth, who will take risks for you, who will think about what they can give to you and how they can make you happy. So you see, the rule goes like this— when you find such a person, you don't let go of them. You stay with them and they stay with you.
Amit Kalantri|People shouldn't just talk about you, they should tell your tales.
C. JoyBell C.|Someone once said that integrity comes from caring about what other people think of you; but I don't think that integrity comes from caring what other people think about you. I think that integrity comes from you caring about how you affect other people. If your integrity comes from caring about what others think about you, then your integrity will have no foundation and it will always change based upon other people. And that's not integrity at all.
Amit Kalantri|We are limited by knowledge, not by courage.
Amit Kalantri|You must go to the school or to the books or on the field because knowledge doesn't come to you, you must go to the knowledge.
C. JoyBell C.|In every single scenario that you step into, in life, it is like stepping into a body of water and you need to stop and really stand there to feel what's going on in that water— the temperature, the direction of the current, the particles in the water that brush up onto your skin, you need to close your eyes and inhale deeply to distinguish the scents that come from it. I have always done this, since I was a small girl, being aware of and feeling every atom that's in there. I'm a Water Bender. I bend the water; the water does not bend me.
Amit Kalantri|Star in the sky is useless to the world,Star on the stage makes the difference to the world.
Euginia Herlihy|The world is not interested in titles and positions, all it wants is your creative mind and the genuinity of the work of your hands.
Anonymous|If I could speak all the languages of earth and of angels, but didn't love others, I would only be a noisy gong or a clanging cymbal.
Euginia Herlihy, Take a Step Right Now Towards Your Dreams by Euginia|Dreamers have a territorial seed in them that give them the power to possess, to dominate and to influence the world.
Euginia Herlihy|The world is not interested in titles and positions, all it wants is your creative mind and the genuinity of the work your hands.
Cassandra    King, The Same Sweet Girls' Guide to Life: Advice from a Failed Southern Belle|Mother’s Day is coming up soon. If you’re lucky enough to still have your mother, tell her you’re grateful to her […] at some point, we must forgive each other for being flawed human beings. Many of us have trouble putting love or gratitude into words, but keep in mind that out actions always reveal our feelings. Always.
C. JoyBell C.|It takes a really long time to realize this, but if you’re lucky you eventually see that you’ve got this life on this planet and you’re responsible for really loving yourself. And I mean really, really, really loving yourself. Love is never a corruption. I’m talking about loving yourself with a true love, a love that’s incorruptible and everlasting.
Christine Mason Miller|At any given moment, you have the power to say: This is not how the story is going to end.
C. JoyBell C.|Magic is only unexplained science. Science is explained magic. When I study science, I study magic. When I study magic, I study science.
Amit Kalantri|That's enough crying about the problems, let's begin killing the problems.
Amit Kalantri|Improvement is not enough, you also needs innovation.
Anastasia Novyh "Allatra"|Get to know everything is impossible, but we should to strive for this.
C. JoyBell C.|I study Astronomy because it is the loftiest form of science available. It is the highest possible reaches that we can go to with knowledge and understanding. Every day, we get to look into infinity, into the everlasting, into time, space, space-time and into both the past and the future. Every day, we redefine what exists; we dance on the borders of reality and the unreal. I hardly even dare say the word, “unreal.” We have yet to prove that word.
Amit Kalantri|My ideas will not be discussed, they will be executed.
Amit Kalantri|If you don't have the confidence to ask, you will never have the confidence to convince.
Amit Kalantri|Great ideas doesn't need approvals, they need application.
Amit Kalantri|Consistency is good, but progress is better.
Amit Kalantri|Healthy people sleep eight hours,Wealthy people sleep four hours.
Barbara W. Tuchman, The March of Folly: From Troy to Vietnam|A phenomenon noticeable throughout history regardless of place or period is the pursuit by governments of policies contrary to their own interests. Mankind, it seems, makes a poorer performance of government than of almost any other human activity. In this sphere, wisdom, which may be defined as the exercise of judgment acting on experience, common sense and available information, is less operative and more frustrated than it should be. Why do holders of high office so often act contrary to the way reason points and enlightened self-interest suggests? Why does intelligent mental process seem so often not to function?
Amit Kalantri|Your abilities are not enough to fulfill your wishes, so work considering your wishes and not your abilities.
Amit Kalantri|You have your God, I have my guts.
Amit Kalantri|If you wish to be a great family-man learn philosophy of people, if you wish to be a great businessman learn philosophy of finance.
Amit Kalantri|Improvement is not enough, you also need innovation.
Amit Kalantri|Statements of ordinary people are ignored like poor freebies, statements of great people are accepted like profound philosophy.
Amit Kalantri|As you grow old, if you don't earn some money or inspiration out of your hobby, you will stop pursuing your hobby.
Amit Kalantri|You don't need anybody's permission to prove yourself, just prove yourself.
Amit Kalantri|Jewelry maybe is more expensive than clothes, but clothes are more important than jewelry.
Amit Kalantri|Punctuality is not just limited to arriving at a place at right time, it is also about taking actions at right time.
Amit Kalantri|God has created you, not your future.
Amit Kalantri|Beginning in itself has no value, it is an end which makes beginning meaningful, we must end what we begun.
Amit Kalantri|A painting shouldn't be just a picture, it should be a philosophy.
Amit Kalantri|Don't feel bad if your youth cannot be joyful, but at least make it useful.
Amit Kalantri|Every person is a project, God's project, I want to be the most profitable one.
Amit Kalantri|God gave us ground we created a city, God gave us time we need to create a future.
Amit Kalantri|Lovers tend to be philosophical, achievers are practical.
Amit Kalantri|When it comes to creating things, I compete with nature not with men.
Amit Kalantri|People become followers of the God because of his fear, but they become a fan of a hero because of his work.
Amit Kalantri|Ordinary men earns responsibility towards their family, extraordinary men earns duty towards their nation.
Amit Kalantri|Let people stick to their philosophy, you stick to your passion.
Amit Kalantri|Responsibility and duty are different things, you can sacrifice your responsibility for your duty but you cannot sacrifice your duty for your responsibility.
Amit Kalantri|People enjoy convincing others, if others are wrong they convince them towards right, if others are already right they still want to convince them towards wrong.
Amit Kalantri|Nature has created countless number of wonders, we got a long way to go as man have created only seven wonders.
C. JoyBell C.|In the world that we live in— purity and innocence are the true strengths. It is strength to live in a world like this and remain pure of heart, it is strength to live in a world like this and retain innocence. These are things that the world wants to take away from you, that experiences tend to alter and attempt to redefine. The wild ones aren’t the defiled ones— the wild ones are the pure ones, the innocent ones. It takes a true wildness to retain these things through the fire and through the storms. It takes a real wildness to remain in the wild— not contorted and maligned by circumstance and experiences. And it takes power to stand up and to choose what experiences we allow to take root or to even come into our lives.
Amit Kalantri|To your parents you are still that innocent baby, and sometimes even you will need your father's hand and your mother's lap.
C. JoyBell C.|Roses are picked every day, they are told that they will be better off sold in the flower shoppe. And so they go from the hands of the picker; to the hands of the delivery man; to the hands of the florist; to the hands of the customer; and then often to the hands of the final recipient of the rose. From field, cut by scissors and passed from hand to hand. The world has forgotten that it is okay for roses to be in fields, the world has forgotten the beauty of the rose uncut. The bouquet is praised and given away but the wild roses are forgotten. People have forgotten what “wild” means; they think it means something entirely different. The wild rose remains untouched, with roots and swayed by the meadow winds. And that is wild. I am wild for having roots and for being untouched and for seeing things that people have forgotten. And I will always remember— that it is okay to be uncut, that it is okay to be untouched by darkness, it is okay to be wild.
Amit Kalantri|People never forget two things, their first love and the money they wasted watching a bad movie.
Amit Kalantri|The primary feature of women is not a 'beauty', it's a 'mystery'.
Amit Kalantri|I don't understand this irony - valuable things like cars, gold, diamond are made up of hard materials but most valuable things like money, contracts and books are made up of soft paper.
Amit Kalantri|Reading is the noblest of all the hobbies, that is why people mention it so frequently in their resume even if they don't read much.
Amit Kalantri|Two kinds of people have many friends, one with bank balance and other with boldness.
Amit Kalantri|I don't expect congratulations for successful beginning, what I want is the applaud at successful ending.
Amit Kalantri, Wealth of Words|At home I am a man, at work I am a machine.
Amit Kalantri|Beliefs are stronger than mere ideas, thoughts and notions, be careful about what you believe.
Amit Kalantri|There is enough knowledge in the books to explain the existing, your knowledge must inspire what is possible.
Amit Kalantri|Be bold, don't be boring.
Amit Kalantri|In modern times, beauty is more trusted than goodness.
Shahzaib Ansari|A mute mentor & blind noviceI grabbed your hand; made me wise..."-Shahzaib
Amit Kalantri|People come to me for the solution of their problem, if my knowledge and experience is not enough to solve the problem, I go to my library read the relevant book and provide the solution.
Mehmet Murat ildan|Wisdom is not to be at the top of a giant pyramid and hence see everywhere clearly, but wisdom is to be at the top, at the bottom, to be inside the pyramid, it is to be everywhere!
C. JoyBell C.|And I realized, that the reason why good things were not happening to me as often as wanted them to, was because I in fact was a good thing that needed to happen. I needed to happen to me, to other people and to the world. And so I happened.
Amit Kalantri|People are crazy about food, smoking, drinking, girls but not about their dreams.
Amit Kalantri|Check the history, more people died for freedom than love, people need freedom before they need love.
Radhe Maa|Love is God, and the one that believes in love, believes in God.
C. JoyBell C.|It's easy to get carried away in the search for “experience.” I think that people boast of “experience” as if all experience is good. The whole world will tell you that all mistakes are good and all experiences are worthwhile. Nevertheless, I believe in an equilibrium. I always say “throw yourself out there” but at the same time, I want to tell you, that there are so many experiences in life that you’re better off not experiencing. Experience is not always a positive thing, it can affect a person in such a way that it is like finding a tulip trampled under foot, run over by bicycles and spit on. And then the tulip is set on a windowsill for sale with a sign that says “I have had so much experience, that’s why I’m more expensive.” But the truth is, there’s nothing wrong with being that tulip in the field, untouched and caressed by moonlight. Yes, we have the choice to make mistakes, but we also have the choice to choose what things we allow in to make marks upon our lives. It is okay to be untouched by darkness.
Amit Kalantri, Wealth of Words|Be the love of your love, not the slave of your love.
Radhe Maa|If you won't improve yourself, who will?
C. JoyBell C.|People wonder if it’s possible to meet a person, or to just read their name out loud for the first time— and within those moments— to know them, to remember them, even if you have never met them before! Well of course this is possible and in fact, for some of us, our lives are spent reuniting with such people. There are different types of bonds. Some we have ran with, some we have swam with, others we have won battles side-by-side! And then there is the one whom we have loved. Some of us have been here so many times before— that we spend this lifetime not wasting any moments— but we spend our moments searching for those we have bonds with. And of course, searching for the one we are bound to. Our dreams at night— they contain our memories of places we think we’ve never even been to, of people we think we’ve never even met before. Of course, yes, it is possible to read a name out loud and for the vibration of that name on your lips to open up a casket filled with things that are anything but dead! Nothing dies.
C. JoyBell C.|Don't have an opinion about a person until you know them. And then when you do know the person, know him or her in such a way that you won't even think of having any opinions about them! Because you know them enough to believe that your opinions wouldn't matter, anyway. Because the importance of your opinions dim in the light of their meaningful souls. This is how to love humanity.
Radhe Maa|Respect those elder to you in years, in knowledge and spiritual attainment and act with love and compassion with those who are younger or less fortunate than you.
Amit Kalantri|Dreams can only be seen with open eyes, what you see while you asleep are nightmares.
Radhe Maa|By practicing compassion and forgiveness, one can control hatred.
Radhe Maa|Money comes to those who act intelligently, and God to those who hunger for his grace
Radhe Maa|If you wish to enjoy a position, find ways of being useful, hard working and cooperative with the people whose favour has given you the position
Radhe Maa|Live a virtuous life, help everyone and spread joy wherever you go.
Amit Kalantri|Worship the work not the God, because work is God.
Albert Einstein|If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.
C.S. Lewis|Critics who treat 'adult' as a term of approval, instead of as a merely descriptive term, cannot be adult themselves. To be concerned about being grown up, to admire the grown up because it is grown up, to blush at the suspicion of being childish; these things are the marks of childhood and adolescence. And in childhood and adolescence they are, in moderation, healthy symptoms. Young things ought to want to grow. But to carry on into middle life or even into early manhood this concern about being adult is a mark of really arrested development. When I was ten, I read fairy tales in secret and would have been ashamed if I had been found doing so. Now that I am fifty I read them openly. When I became a man I put away childish things, including the fear of childishness and the desire to be very grown up.
Rick Riordan|Young people don't always do what they're told, but if they can pull it off and do something wonderful, sometimes they escape punishment. 
Stephen King|Schizoid behavior is a pretty common thing in children. It's accepted, because all we adults have this unspoken agreement that children are lunatics.
Debra Ginsberg|Through the blur, I wondered if I was alone or if other parents felt the same way I did - that everything involving our children was painful in some way. The emotions, whether they were joy, sorrow, love or pride, were so deep and sharp that in the end they left you raw, exposed and yes, in pain. The human heart was not designed to beat outside the human body and yet, each child represented just that - a parent's heart bared, beating forever outside its chest.
Franklin D. Roosevelt, Great Speeches|We cannot always build the future for our youth, but we can build our youth for the future.
Isabel Allende|Accept the children the way we accept trees—with gratitude, because they are a blessing—but do not have expectations or desires. You don’t expect trees to change, you love them as they are.
J.M. Barrie, Peter Pan|All children, except one, grow up. They soon know that they will grow up, and the way Wendy knew was this. One day when she was two years old she was playing in a garden, and she plucked another flower and ran with it to her mother. I suppose she must have looked rather delightful, for Mrs Darling put her hand to her heart and cried, ‘Oh, why can’t you remain like this for ever!’ This was all that passed between them on the subject, but henceforth Wendy knew that she must grow up. You always know after you are two. Two is the beginning of the end.
N.K. Jemisin, The Hundred Thousand Kingdoms|In a child's eyes, a mother is a goddess. She can be glorious or terrible, benevolent or filled with wrath, but she commands love either way. I am convinced that this is the greatest power in the universe.
Walt Disney Company|You think the only people who are people, are the people who look and think like you. But if you walk the footsteps of a stranger, you'll learn things you never knew you never knew." - Pocahontas
Walt Whitman|God is a mean-spirited, pugnacious bully bent on revenge against His children for failing to live up to his impossible standards.
Richard Dawkins, The God Delusion|Do not indoctrinate your children. Teach them how to think for themselves, how to evaluate evidence, and how to disagree with you.
Diana Gabaldon, Dragonfly in Amber|Babies are soft. Anyone looking at them can see the tender, fragile skin and know it for the rose-leaf softness that invites a finger's touch. But when you live with them and love them, you feel the softness going inward, the round-cheeked flesh wobbly as custard, the boneless splay of the tiny hands. Their joints are melted rubber, and even when you kiss them hard, in the passion of loving their existence, your lips sink down and seem never to find bone. Holding them against you, they melt and mold, as though they might at any moment flow back into your body.But from the very start, there is that small streak of steel within each child. That thing that says "I am," and forms the core of personality.In the second year, the bone hardens and the child stands upright, skull wide and solid, a helmet protecting the softness within. And "I am" grows, too. Looking at them, you can almost see it, sturdy as heartwood, glowing through the translucent flesh.The bones of the face emerge at six, and the soul within is fixed at seven. The process of encapsulation goes on, to reach its peak in the glossy shell of adolescence, when all softness then is hidden under the nacreous layers of the multiple new personalities that teenagers try on to guard themselves.In the next years, the hardening spreads from the center, as one finds and fixes the facets of the soul, until "I am" is set, delicate and detailed as an insect in amber.
Haruki Murakami, Kafka on the Shore|Adults constantly raise the bar on smart children, precisely because they're able to handle it. The children get overwhelmed by the tasks in front of them and gradually lose the sort of openness and sense of accomplishment they innately have. When they're treated like that, children start to crawl inside a shell and keep everything inside. It takes a lot of time and effort to get them to open up again. Kids' hearts are malleable, but once they gel it's hard to get them back the way they were.
Russell Brand|Rebel children, I urge you, fight the turgid slick of conformity with which they seek to smother your glory.
Roald Dahl, Matilda|It's a funny thing about mothers and fathers. Even when their own child is the most disgusting little blister you could ever imagine, they still think that he or she is wonderful.
Rainer Maria Rilke|May what I do flow from me like a river, no forcing and no holding back, the way it is with children.
Walt Disney Company|Children are people, and they should have to reach to learn about things, to understand things, just as adults have to reach if they want to grow in mental stature. Life is composed of lights and shadows, and we would be untruthful, insincere, and saccharine if we tried to pretend there were no shadows. Most things are good, and they are the strongest things; but there are evil things too, and you are not doing a child a favor by trying to shield him from reality. The important thing is to teach a child that good can always triumph over evil.
Joanne Harris, The Girl with No Shadow|Children are knives, my mother once said. They don’t mean to, but they cut. And yet we cling to them, don’t we, we clasp them until the blood flows.
Johnny Depp|When kids hit 1 year old, it's like hanging out with a miniature drunk. You have to hold onto them. They bump into things. They laugh and cry. They urinate. They vomit.
Milan Kundera, The Unbearable Lightness of Being|Indeed, the only truly serious questions are ones that even a child can formulate. Only the most naive of questions are truly serious. They are the questions with no answers. A question with no answer is a barrier that cannot be breached. In other words, it is questions with no answers that set the limit of human possibilities, describe the boundaries of human existence.
Elizabeth Berg|You are always in my thoughts. When you were little, I knew your whereabouts at any given moment. Now that you are...off on your own, I still always know where you are, because I keep you in my heart.
Mark  Lawrence, King of Thorns|There is no sound more annoying than the chatter of a child, and none more sad than the silence they leave when they are gone.
J.M. Barrie, Peter Pan|It was then that Hook bit him.Not the pain of this but its unfairness was what dazed Peter. It made him quite helpless. He could only stare, horrified. Every child is affected thus the first time he is treated unfairly. All he thinks he has a right to when he comes to you to be yours is fairness. After you have been unfair to him he will love you again, but he will never afterwards be quite the same boy. No one ever gets over the first unfairness; no one except Peter.
Bertrand Russell|When you want to teach children to think, you begin by treating them seriously when they are little, giving them responsibilities, talking to them candidly, providing privacy and solitude for them, and making them readers and thinkers of significant thoughts from the beginning. That’s if you want to teach them to think.
Brian Andreas|I sometimes wake in the early morning & listen to the soft breathing of my child & I think to myself, this is one thing I will never regret & I carry that quiet with me all day long.
Gordon B. Hinckley, Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes|If we are worried about the future, then we must look today at the upbringing of children.
Ralph Waldo Emerson|A child is a curly, dimpled lunatic.
J.M. Barrie|It is the custom of every good mother after her children are asleep to rummage in their minds and put things straight for next morning, repacking into their proper places the many articles that have wandered during the day. If you could keep awake (but of course you can’t) you would see your own mother doing this, and you would find it very interesting to watch her. It is quite like tidying up drawers. You would see her on her knees, I expect, lingering humorously over some of your contents, wondering where on earth you had picked this thing up, making discoveries sweet and not so sweet, pressing this to her cheek as if it were as nice as a kitten, and hurriedly stowing that out of sight. When you wake in the morning, the naughtinesses and evil passions with which you went to bed have been folded up small and placed at the bottom of your mind; and on the top, beautifully aired, are spread out prettier thoughts, ready for you to put on.
Fyodor Dostoyevsky, The Brothers Karamazov|Love children especially, for they too are sinless like the angels; they live to soften and purify our hearts and, as it were, to guide us.
Norman Douglas|If you want to see what children can do, you must stop giving them things.
Laurie Halse Anderson, Wintergirls|If I had lady-spider legs, I would weave a sky where the stars lined up. Matresses would be tied down tight to their trucks, bodies would never crash through windshields. The moon would rise above the wine-dark sea and give babies only to maidens and musicians who had prayed long and hard. Lost girls wouldn't need compasses or maps. They would find gingerbread paths to lead them out of the forest and home again. They would never sleep in silver boxes with white velvet sheets, not until they were wrinkled-paper grandmas and ready for the trip. 
Justine Larbalestier, Zombies Vs. Unicorns|The job of every generation is to discover the flaws of the one that came before it. That's part of growing up, figuring out all the ways your parents and their friends are broken.
Gillian Flynn, Dark Places|I was raised feral, and I mostly stayed that way.
Betty  Smith, A Tree Grows in Brooklyn|It's come at last", she thought, "the time when you can no longer stand between your children and heartache.
Michael  Jackson|In their innocence, very young children know themselves to be light and love. If we will allow them, they can teach us to see ourselves the same way. 
Peggy O'Mara|Don't stand unmoving outside the door of a crying baby whose only desire is to touch you. Go to your baby. Go to your baby a million times. Demonstrate that people can be trusted, that the environment can be trusted, that we live in a benign universe.
Brad Pitt|Let us be the ones who say we do not accept that a child dies every three seconds simply because he does not have the drugs you and I have. Let us be the ones to say we are not satisfied that your place of birth determines your right for life. Let us be outraged, let us be loud, let us be bold.
J.D. Robb, Survivor In Death|He stepped to her again, laid his lips on her brow. "But I want children with you, my lovely Eve. One day.""One day being far, far in the future. Like, I don't know, say a decade when...Hold on. Children is plural."He eased back, grinned. "Why, so it is--nothing slips by my canny cop.""You really think if I ever actually let you plant something in me--they're like aliens in there, growing little hands and feet." She shuddered. "Creepy. If I ever did that, popped a kid out--which I think is probably as pleasant a process as having your eyeballs pierced by burning, poisonous sticks, I'd say, 'Whoopee, let's do this again?' Have you recently suffered head trauma?""Not to my knowledge.""Could be coming. Any second.
Orson Scott Card, Ender's Game|Because never in my entire childhood did I feel like a child. I felt like a person all along--the same person that I am today. I never felt that I spoke childishly. I never felt that my emotions and desires were somehow less real than adult emotions and desires. And in writing _Ender's Game_, I forced the audience to experience the lives of these children from that perspective--the perspective in which their feelings and decisions are just as real and important as any adult's. ... _Ender's Game_ asserts the personhood of children, and those who are used to thinking of children in another way ... are going to find _Ender's Game_ a very unpleasant place to live.
Mario Puzo, The Godfather|A man who is not a father to his children can never be a real man,
Suzanne Collins, Mockingjay|They play in the Meadow. The dancing girl with the dark hair and blue eyes. The boy with blond curls and gray eyes, struggling to keep up with her on his chubby toddler legs. It took five, ten, fifteen years for me to agree. But Peeta wanted them so badly. When I first felt her stirring inside of me, I was consumed with a terror that felt as old as life itself. Only the joy of holding her in my arms could tame it.
Deborah Harkness, A Discovery of Witches|All that children need is love, a grown-up to take responsibility for them, and a soft place to land.
Jodi Picoult, Vanishing Acts|Sometimes parents don't find what they're looking for it their child, so they plant seeds for what they'd like to grow there instead. I've witnessed this with the former hockey player who takes his son out to skate before he can even walk. Or in the mother who gave up her ballet dreams when she married, but now scrapes her daughter's hair into a bun and watched from the wings of the stage. We are not, as you'd expect, orchestrating their lives; we are not even trying for a second chance. We are hoping that if this one thing takes root, it might take up enough light and space to keep something else from developing in our children: the disappointment we've already lived.
Joe Hill, Horns|I mean, when the world comes for your children, with the knives out, it's your job to stand in the way.
Randy Pausch, The Last Lecture|There's a lot of talk these days about giving children self-esteem. It's not something you can give; it's something they have to build. Coach Graham worked in a no-coddling zone. Self-esteem? He knew there was really only one way to teach kids how to develop it: You give them something they can't do, they work hard until they find they can do it, and you just keep repeating the process.
Jodi Picoult, Handle with Care|Was it the act of giving birth that made you a mother? Did you lose that label when you relinquished your child? If people were measured by their deeds, on the one hand, I had a woman who had chosen to give me up; on the other, I had a woman who'd sat up with me at night when I was sick as a child, who'd cried with me over boyfriends, who'd clapped fiercely at my law school graduation. Which acts made you more of a mother?Both, I realized. Being a parent wasn't just about bearing a child. It was about bearing witness to its life.
Frank Herbert, Children of Dune|The child who refuses to travel in the father's harness, this is the symbol of man's most unique capability. "I do not have to be what my father was. I do not have to obey my father's rules or even believe everything he believed. It is my strength as a human that I can make my own choices of what to believe and what not to believe, of what to be and what not to be.
Maurice Sendak|But the wild things cried, “Oh please don’t go - we’ll eat you up - we love you so!”And Max said, “No!”The wild things roared their terrible roars and gnashed their terrible teeth and rolled their terrible eyes and showed their terrible claws but Max stepped into his private boat and waved goodbye.
Ezra Taft Benson|It is a fundamental truth that the responsibilities of motherhood cannot be successfully delegated. No, not to day-care centers, not to schools, not to nurseries, not to babysitters. We become enamored with men’s theories such as the idea of preschool training outside the home for young children. Not only does this put added pressure on the budget, but it places young children in an environment away from mother’s influence. Too often the pressure for popularity, on children and teens, places an economic burden on the income of the father, so mother feels she must go to work to satisfy her children’s needs. That decision can be most shortsighted. It is mother’s influence during the crucial formative years that forms a child’s basic character. Home is the place where a child learns faith, feels love, and thereby learns from mother’s loving example to choose righteousness. How vital are mother’s influence and teaching in the home—and how apparent when neglected!
Nancy E. Turner, These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901|Children are a burden to a mother, but not the way a heavy box is to a mule. Our children weight hard on my heart, and thinking about them growing up honest and healthy, or just living to grow up at all, makes a load in my chest that is bigger than the safe at the bank,and more valuable to me than all the gold inside it.
